,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,REIGEL.RUSTY,SULLIVAN.BRIAN,143:57,239.52,66.5846,0.13,0.0458,0.71,1.073,0.7,1.0272,0.6,0.5024,0.43,0.3774,0.56,0.1795,0.58,0.313,0.74,0.2736,0.07,0.4907,0.78,0.3116,0.95,0.1226,0.01,0.2248,0.98,0.2279,0.99
1,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,SULLIVAN.BRIAN,WATKINS.JORDAN,121:21,205.24,68.0264,0.32,0.0698,0.75,1.296,0.99,1.2263,0.01,0.5676,0.96,0.4703,0.96,0.1267,0.99,0.3333,0.88,0.3838,0.85,0.5483,0.09,0.3295,0.88,0.1599,0.11,0.3627,0.01,0.4432,0.03
2,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,MICHELSEN.OSKAR,SULLIVAN.BRIAN,97:02,167.12,69.732,0.56,0.0448,0.71,1.1788,0.98,1.134,0.04,0.5261,0.71,0.4444,0.88,0.1077,0.99,0.2747,0.38,0.3137,0.32,0.5584,0.05,0.3571,0.66,0.1461,0.03,0.2558,0.86,0.2078,0.99
3,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,GIBBS.JACK,SULLIVAN.BRIAN,WATKINS.JORDAN,85:14,157.96,73.7976,0.94,-0.1006,0.15,1.1649,0.98,1.2654,0.01,0.5612,0.95,0.4101,0.76,0.1393,0.99,0.2432,0.13,0.2446,0.01,0.6045,0.01,0.2612,0.99,0.1606,0.12,0.3478,0.02,0.3507,0.38
4,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,SULLIVAN.BRIAN,WATKINS.JORDAN,67:07,115.16,68.4896,0.37,-0.0955,0.17,1.0333,0.46,1.1288,0.05,0.4554,0.03,0.4554,0.92,0.1216,0.99,0.2537,0.19,0.3861,0.86,0.5659,0.03,0.3077,0.97,0.245,0.99,0.4468,0.01,0.4066,0.12
5,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,GIBBS.JACK,MICHELSEN.OSKAR,SULLIVAN.BRIAN,64:22,127.76,78.2375,0.99,-0.0911,0.17,1.0019,0.26,1.093,0.18,0.55,0.93,0.43,0.82,0.1879,0.42,0.1475,0.01,0.29,0.15,0.5748,0.01,0.3458,0.77,0.1958,0.72,0.2727,0.7,0.1402,0.99
6,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,REIGEL.RUSTY,SULLIVAN.BRIAN,54:34,89.6,67.1556,0.19,0.0782,0.78,1.0268,0.41,0.9485,0.97,0.5,0.42,0.3875,0.61,0.1339,0.99,0.1915,0.01,0.1875,0.01,0.4937,0.73,0.3165,0.94,0.1635,0.16,0.1702,0.99,0.1646,0.99
7,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,MICHELSEN.OSKAR,SULLIVAN.BRIAN,49:41,85.12,68.9143,0.42,0.1133,0.89,1.0808,0.74,0.9675,0.95,0.5,0.42,0.5143,0.99,0.1762,0.63,0.2381,0.12,0.3286,0.45,0.4506,0.98,0.4074,0.19,0.215,0.93,0.3889,0.01,0.1605,0.99
8,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,MICHELSEN.OSKAR,WATKINS.JORDAN,45:33,77.68,69.9911,0.6,0.0521,0.73,1.017,0.33,0.9649,0.95,0.4296,0.01,0.4085,0.75,0.1287,0.99,0.2889,0.51,0.3099,0.28,0.4315,0.99,0.411,0.17,0.1378,0.01,0.2766,0.64,0.274,0.88
9,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,BELFORD.JAKE,GIBBS.JACK,SULLIVAN.BRIAN,39:37,82.24,83.7333,0.99,0.0351,0.67,0.9606,0.08,0.9255,0.99,0.4627,0.05,0.4776,0.98,0.1216,0.99,0.0909,0.01,0.3134,0.32,0.4924,0.74,0.3636,0.62,0.2098,0.89,0.2195,0.99,0.2424,0.97
10,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,MICHELSEN.OSKAR,REIGEL.RUSTY,SULLIVAN.BRIAN,24:34,37.08,59.9,0.01,0.3303,0.99,1.5372,0.99,1.2069,0.01,0.7286,0.99,0.5714,0.99,0.1618,0.89,0.4375,0.99,0.2,0.01,0.5345,0.18,0.2069,0.99,0.0575,0.01,0.2273,0.96,0.6897,0.01
11,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,GIBBS.JACK,REIGEL.RUSTY,WATKINS.JORDAN,24:03,44.0,78.7333,0.99,0.0783,0.78,1.2273,0.99,1.149,0.03,0.4706,0.08,0.5,0.98,0.0909,0.99,0.2273,0.08,0.7353,0.99,0.5714,0.01,0.5714,0.01,0.1585,0.11,0.2593,0.83,0.4048,0.12
12,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,MICHELSEN.OSKAR,WATKINS.JORDAN,23:04,48.2,78.0174,0.99,0.0873,0.82,0.9544,0.07,0.8671,0.99,0.4886,0.25,0.4091,0.75,0.2075,0.11,0.2963,0.6,0.1136,0.01,0.3947,0.99,0.4211,0.12,0.1927,0.66,0.32,0.12,0.2105,0.99
13,DAVIDSON,ALDRIDGE.PEYTON,GIBBS.JACK,MCAULIFFE.ANDREW,REIGEL.RUSTY,WATKINS.JORDAN,22:50,38.08,70.1091,0.63,0.1322,0.95,1.208,0.99,1.0758,0.26,0.5735,0.97,0.4118,0.76,0.2101,0.07,0.4118,0.99,0.2059,0.01,0.4531,0.98,0.2812,0.99,0.1281,0.01,0.2381,0.94,0.5,0.01
14,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,REIGEL.RUSTY,SULLIVAN.BRIAN,WATKINS.JORDAN,22:48,35.32,66.9818,0.17,-0.1777,0.03,1.0476,0.55,1.2252,0.01,0.5645,0.95,0.6452,0.99,0.1982,0.21,0.2222,0.05,0.0968,0.01,0.4714,0.92,0.2571,0.99,0.0782,0.01,0.3636,0.01,0.5429,0.01
15,DAVIDSON,ALDRIDGE.PEYTON,EKWU.NATHAN,MICHELSEN.OSKAR,SULLIVAN.BRIAN,WATKINS.JORDAN,18:18,30.4,70.6667,0.71,-0.4807,0.01,1.0855,0.77,1.5663,0.01,0.5,0.42,0.48,0.98,0.0987,0.99,0.1176,0.01,0.4,0.9,0.8,0.01,0.3333,0.87,0.1205,0.01,0.375,0.01,0.1667,0.99
16,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,GIBBS.JACK,REIGEL.RUSTY,SULLIVAN.BRIAN,18:16,37.96,75.1111,0.97,-0.3073,0.01,0.9747,0.14,1.2821,0.01,0.4429,0.01,0.4,0.71,0.0527,0.99,0.1364,0.01,0.2571,0.03,0.7083,0.01,0.4167,0.13,0.1687,0.23,0.1818,0.99,0.25,0.96
17,DAVIDSON,ALDRIDGE.PEYTON,BARHAM.JORDAN,MICHELSEN.OSKAR,SULLIVAN.BRIAN,WATKINS.JORDAN,14:48,23.2,68.8571,0.41,0.1883,0.97,0.9483,0.05,0.76,0.99,0.5,0.42,0.4,0.71,0.0862,0.99,0.0769,0.01,0.25,0.03,0.3519,0.99,0.5185,0.01,0.12,0.01,0.2632,0.8,0.0,0.99
18,DAVIDSON,ALDRIDGE.PEYTON,MCAULIFFE.ANDREW,REIGEL.RUSTY,SULLIVAN.BRIAN,WATKINS.JORDAN,14:06,21.0,61.0857,0.01,-0.4313,0.01,0.8095,0.01,1.2408,0.01,0.3696,0.01,0.4783,0.98,0.1429,0.98,0.3125,0.74,0.0,0.01,0.5476,0.09,0.2857,0.99,0.1379,0.01,0.4,0.01,0.1905,0.99
19,DAVIDSON,EKWU.NATHAN,GIBBS.JACK,MCAULIFFE.ANDREW,SULLIVAN.BRIAN,WATKINS.JORDAN,13:40,19.64,65.2308,0.05,-0.2049,0.01,1.0692,0.69,1.2742,0.01,0.5625,0.95,0.375,0.55,0.1527,0.95,0.1818,0.01,0.375,0.81,0.5909,0.01,0.4545,0.02,0.1318,0.01,0.3077,0.23,0.1818,0.99
