,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,GRADY.KELLAN,GUDMUNDSSON.JONAX,2005:31,3286.52,65.3139,0.05,0.1456,0.96,1.1468,0.96,1.0012,0.8,0.5657,0.95,0.4609,0.93,0.1488,0.97,0.2249,0.06,0.2595,0.04,0.4921,0.74,0.4173,0.13,0.168,0.23,0.231,0.96,0.2818,0.86
1,DAVIDSON,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,1528:11,2492.64,64.6251,0.02,0.1451,0.96,1.1514,0.96,1.0063,0.76,0.5724,0.97,0.4647,0.94,0.15,0.96,0.2203,0.04,0.248,0.02,0.4957,0.71,0.4317,0.08,0.1726,0.29,0.2479,0.91,0.2552,0.95
2,DAVIDSON,GRADY.KELLAN,PRITCHETT.KISHAWN,1479:05,2405.84,64.7037,0.03,0.1576,0.97,1.1555,0.97,0.9979,0.83,0.573,0.97,0.4601,0.93,0.1496,0.96,0.2208,0.04,0.2607,0.04,0.4919,0.77,0.4394,0.04,0.1736,0.3,0.2387,0.94,0.2577,0.94
3,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,1114:25,1801.4,64.046,0.01,0.1569,0.97,1.1824,0.99,1.0255,0.62,0.5855,0.99,0.4727,0.96,0.1416,0.98,0.2228,0.05,0.2287,0.01,0.5079,0.52,0.406,0.2,0.1665,0.21,0.2388,0.94,0.2709,0.9
4,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,1112:17,1807.12,64.4942,0.02,0.1573,0.97,1.1726,0.98,1.0153,0.69,0.5811,0.98,0.4713,0.96,0.1444,0.98,0.2209,0.04,0.2382,0.01,0.5097,0.49,0.4056,0.2,0.172,0.29,0.2257,0.97,0.2695,0.9
5,DAVIDSON,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,891:15,1491.28,66.1962,0.08,0.0959,0.84,1.0803,0.74,0.9844,0.9,0.5306,0.76,0.4737,0.96,0.1723,0.72,0.2523,0.19,0.2643,0.05,0.4787,0.88,0.428,0.1,0.1749,0.33,0.2369,0.94,0.3101,0.66
6,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,844:54,1390.08,65.3621,0.05,0.0989,0.84,1.0812,0.74,0.9823,0.9,0.5292,0.75,0.4729,0.96,0.1698,0.79,0.25,0.17,0.2809,0.1,0.4683,0.95,0.4404,0.04,0.1696,0.25,0.2454,0.92,0.3042,0.7
7,DAVIDSON,ALDRIDGE.PEYTON,PRITCHETT.KISHAWN,787:59,1268.24,63.4897,0.01,0.1472,0.96,1.1788,0.98,1.0316,0.56,0.5786,0.98,0.4708,0.96,0.1419,0.98,0.2258,0.07,0.221,0.01,0.5151,0.39,0.4336,0.07,0.1699,0.25,0.2413,0.93,0.2422,0.97
8,DAVIDSON,COLLINS.CARTER,GUDMUNDSSON.JONAX,749:02,1236.08,66.9736,0.17,0.0306,0.67,1.0549,0.61,1.0243,0.63,0.5139,0.55,0.4608,0.93,0.1715,0.75,0.2469,0.15,0.2935,0.17,0.4953,0.71,0.4197,0.12,0.1667,0.21,0.2432,0.93,0.3352,0.47
9,DAVIDSON,BRAJKOVIC.LUKA,GUDMUNDSSON.JONAX,731:42,1237.32,66.2358,0.09,0.12,0.92,1.1161,0.9,0.9961,0.83,0.5547,0.94,0.4443,0.88,0.1657,0.85,0.239,0.12,0.2645,0.05,0.4911,0.77,0.4249,0.11,0.1724,0.29,0.2354,0.94,0.2619,0.93
