,TEAM,TEAM A,TEAM B,TEAM C,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,1277:59,2077.76,64.5995,0.02,0.184,0.97,1.1792,0.98,0.9952,0.83,0.5816,0.98,0.4579,0.93,0.141,0.98,0.219,0.04,0.2529,0.03,0.4926,0.74,0.4385,0.05,0.1734,0.3,0.2383,0.94,0.2523,0.95
1,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,1018:32,1648.84,64.213,0.02,0.1669,0.97,1.1869,0.99,1.02,0.68,0.5882,0.99,0.4686,0.95,0.1413,0.98,0.2202,0.04,0.2343,0.01,0.5091,0.49,0.4049,0.21,0.1698,0.25,0.2335,0.95,0.2649,0.92
2,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,723:47,1204.52,65.839,0.07,0.1278,0.92,1.0967,0.83,0.9689,0.94,0.5365,0.8,0.466,0.95,0.1644,0.87,0.2441,0.14,0.2753,0.07,0.464,0.96,0.4326,0.07,0.1693,0.25,0.2382,0.94,0.2987,0.75
3,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,PRITCHETT.KISHAWN,699:16,1125.68,63.5777,0.01,0.1491,0.96,1.1788,0.98,1.0298,0.58,0.5788,0.98,0.4675,0.95,0.143,0.98,0.225,0.07,0.2256,0.01,0.5208,0.32,0.435,0.07,0.1733,0.3,0.231,0.95,0.2335,0.99
4,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,688:56,1099.76,62.9977,0.01,0.1568,0.97,1.193,0.99,1.0362,0.52,0.5888,0.99,0.4613,0.94,0.1391,0.99,0.2213,0.05,0.2105,0.01,0.515,0.39,0.4307,0.09,0.1696,0.25,0.2541,0.87,0.2352,0.98
5,DAVIDSON,BRAJKOVIC.LUKA,GRADY.KELLAN,GUDMUNDSSON.JONAX,594:47,999.16,65.9259,0.07,0.1532,0.97,1.143,0.95,0.9897,0.88,0.5649,0.95,0.434,0.84,0.1561,0.92,0.234,0.1,0.2818,0.11,0.4861,0.82,0.4352,0.06,0.1648,0.18,0.2241,0.98,0.2558,0.95
6,DAVIDSON,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,581:26,974.68,65.6096,0.06,0.1578,0.97,1.1296,0.92,0.9718,0.94,0.5671,0.96,0.4768,0.98,0.1683,0.8,0.2373,0.11,0.2707,0.06,0.4725,0.91,0.433,0.07,0.1772,0.37,0.2466,0.91,0.2653,0.91
7,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,568:30,972.2,66.1169,0.08,0.1174,0.89,1.0903,0.79,0.9729,0.93,0.5364,0.8,0.4553,0.92,0.1666,0.84,0.2469,0.15,0.2443,0.01,0.4779,0.89,0.4156,0.15,0.18,0.43,0.2424,0.93,0.2701,0.9
8,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,MAGARITY.WILL,545:15,851.4,63.6242,0.01,0.11,0.89,1.1334,0.93,1.0234,0.65,0.5576,0.94,0.4779,0.98,0.1621,0.89,0.2581,0.24,0.2142,0.01,0.5071,0.52,0.3984,0.26,0.1575,0.1,0.2261,0.96,0.2186,0.99
9,DAVIDSON,BRAJKOVIC.LUKA,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,539:53,908.8,65.9547,0.07,0.1565,0.97,1.1477,0.96,0.9912,0.87,0.5906,0.99,0.4537,0.91,0.1717,0.75,0.2219,0.05,0.2579,0.03,0.4914,0.77,0.435,0.06,0.1658,0.19,0.2244,0.98,0.2281,0.99
