,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,617:42,986.16,63.1468,0.01,0.1621,0.97,1.2006,0.99,1.0385,0.5,0.5893,0.99,0.4597,0.93,0.1379,0.99,0.2239,0.05,0.2177,0.01,0.5235,0.29,0.4361,0.06,0.1726,0.29,0.2434,0.93,0.2325,0.99
1,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MAGARITY.WILL,492:24,766.44,63.3415,0.01,0.1344,0.95,1.1625,0.98,1.0281,0.59,0.5656,0.95,0.4735,0.96,0.1566,0.92,0.2692,0.32,0.2227,0.01,0.5021,0.59,0.3969,0.27,0.1528,0.06,0.237,0.94,0.2191,0.99
2,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,456:16,772.44,65.407,0.06,0.148,0.96,1.1121,0.89,0.9641,0.95,0.5429,0.87,0.4466,0.89,0.1554,0.94,0.2375,0.11,0.2647,0.05,0.467,0.95,0.4277,0.1,0.1725,0.29,0.2426,0.93,0.2588,0.94
3,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,446:27,745.56,65.3453,0.05,0.2268,0.99,1.1682,0.98,0.9415,0.98,0.5841,0.99,0.4746,0.96,0.1542,0.94,0.2249,0.06,0.2762,0.08,0.4522,0.98,0.4425,0.04,0.1771,0.37,0.2463,0.91,0.2528,0.95
4,DAVIDSON,BRAJKOVIC.LUKA,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,428:22,715.4,65.6355,0.06,0.213,0.98,1.1895,0.99,0.9765,0.92,0.6085,0.99,0.4474,0.89,0.1594,0.9,0.2186,0.04,0.2671,0.05,0.4866,0.82,0.4524,0.02,0.1611,0.13,0.2063,0.99,0.217,0.99
5,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,MICHELSEN.OSKAR,420:42,699.64,64.181,0.02,0.2189,0.98,1.2263,0.99,1.0075,0.76,0.6205,0.99,0.4818,0.98,0.1301,0.99,0.1821,0.01,0.2162,0.01,0.5165,0.37,0.4099,0.18,0.179,0.39,0.2246,0.98,0.2555,0.95
6,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,393:13,669.2,65.5756,0.06,0.1608,0.97,1.1118,0.88,0.951,0.96,0.571,0.97,0.4725,0.96,0.1763,0.63,0.2262,0.07,0.2309,0.01,0.4694,0.94,0.4304,0.09,0.1728,0.29,0.2297,0.96,0.2208,0.99
7,DAVIDSON,ALDRIDGE.PEYTON,GRADY.KELLAN,GUDMUNDSSON.JONAX,REIGEL.RUSTY,392:16,643.68,65.2755,0.05,0.2102,0.98,1.1792,0.98,0.969,0.94,0.5802,0.98,0.4613,0.94,0.1321,0.99,0.2047,0.02,0.2649,0.05,0.47,0.93,0.3801,0.42,0.1667,0.21,0.2229,0.98,0.3052,0.69
8,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,367:16,612.2,64.7237,0.03,0.177,0.97,1.1205,0.91,0.9436,0.98,0.5728,0.97,0.4621,0.94,0.165,0.87,0.2163,0.04,0.2524,0.03,0.46,0.97,0.456,0.02,0.1703,0.26,0.2256,0.97,0.234,0.99
9,DAVIDSON,ALDRIDGE.PEYTON,GUDMUNDSSON.JONAX,MICHELSEN.OSKAR,PRITCHETT.KISHAWN,315:20,520.2,63.8959,0.01,0.2095,0.98,1.2092,0.99,0.9997,0.81,0.6076,0.99,0.487,0.98,0.1326,0.99,0.1897,0.01,0.1739,0.01,0.5244,0.28,0.4254,0.11,0.1892,0.61,0.225,0.98,0.2176,0.99
