,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,GUDMUNDSSON.JONAX,1164:11,1933.88,66.2371,0.09,0.0964,0.84,1.0885,0.78,0.9921,0.86,0.5368,0.8,0.4635,0.94,0.165,0.87,0.2359,0.1,0.2753,0.07,0.4831,0.86,0.4294,0.09,0.1718,0.27,0.2391,0.94,0.2902,0.81
1,DAVIDSON,GRADY.KELLAN,1110:29,1818.04,65.5683,0.06,0.1138,0.89,1.1006,0.84,0.9868,0.89,0.5415,0.86,0.4585,0.93,0.1617,0.89,0.2377,0.11,0.286,0.13,0.4743,0.91,0.4407,0.04,0.1686,0.23,0.2425,0.93,0.2886,0.82
2,DAVIDSON,FRAMPTON.LUKE,1028:25,1703.6,65.7603,0.07,0.0728,0.78,1.0648,0.66,0.992,0.87,0.5242,0.69,0.4769,0.98,0.1761,0.63,0.2523,0.19,0.2692,0.05,0.4784,0.88,0.4348,0.07,0.1724,0.29,0.2407,0.94,0.313,0.64
3,DAVIDSON,PRITCHETT.KISHAWN,942:06,1546.6,65.4004,0.06,0.1257,0.92,1.1102,0.87,0.9845,0.9,0.5602,0.95,0.4584,0.93,0.1675,0.82,0.2222,0.05,0.2836,0.12,0.4762,0.9,0.4349,0.07,0.1741,0.33,0.2509,0.89,0.2678,0.9
4,DAVIDSON,BRAJKOVIC.LUKA,840:59,1411.48,65.92,0.07,0.1248,0.92,1.1151,0.9,0.9903,0.87,0.554,0.94,0.4406,0.86,0.1644,0.87,0.2411,0.13,0.2635,0.05,0.4845,0.84,0.4328,0.07,0.1732,0.3,0.2395,0.94,0.2707,0.9
5,DAVIDSON,COLLINS.CARTER,769:47,1254.6,66.2336,0.09,0.0378,0.67,1.037,0.49,0.9992,0.81,0.5042,0.46,0.457,0.93,0.1769,0.63,0.2523,0.19,0.2975,0.19,0.4782,0.88,0.4369,0.06,0.1703,0.26,0.2493,0.89,0.3015,0.72
6,DAVIDSON,KOVACEVIC.DUSAN,281:46,446.12,65.079,0.04,-0.0214,0.39,0.993,0.22,1.0144,0.71,0.5041,0.46,0.5082,0.99,0.1995,0.21,0.2379,0.11,0.2663,0.05,0.4987,0.66,0.4137,0.16,0.1687,0.23,0.2358,0.94,0.3071,0.68
7,DAVIDSON,CZERAPOWICZ.DAVID,206:30,340.28,66.7767,0.15,-0.0539,0.29,1.0021,0.27,1.0561,0.37,0.5052,0.47,0.5258,0.99,0.1793,0.58,0.2241,0.06,0.2131,0.01,0.5167,0.37,0.4448,0.04,0.164,0.18,0.2432,0.93,0.2776,0.87
8,DAVIDSON,JONES.BATES,173:30,281.4,66.6543,0.15,-0.0344,0.34,1.0057,0.29,1.0401,0.48,0.488,0.23,0.51,0.99,0.1457,0.98,0.2188,0.04,0.241,0.01,0.4798,0.88,0.4879,0.01,0.1728,0.29,0.2654,0.78,0.3589,0.33
9,DAVIDSON,EKWU.NATHAN,82:47,136.04,66.2634,0.09,0.0191,0.59,1.0071,0.29,0.9879,0.89,0.5466,0.9,0.4915,0.98,0.2205,0.02,0.2754,0.38,0.1356,0.01,0.4664,0.96,0.4622,0.01,0.1843,0.51,0.2933,0.4,0.2605,0.93
10,DAVIDSON,GUDMUNSSON.JONAXEL,61:41,99.32,64.7869,0.03,0.0594,0.73,1.1176,0.9,1.0582,0.35,0.557,0.94,0.3797,0.57,0.1913,0.34,0.2683,0.32,0.3544,0.68,0.4602,0.97,0.5682,0.01,0.1221,0.01,0.2812,0.57,0.4205,0.06
11,DAVIDSON,WYNTER.MALCOLM,38:47,71.84,75.6211,0.98,-0.1531,0.04,1.044,0.54,1.1971,0.01,0.4929,0.31,0.5286,0.99,0.1253,0.99,0.2667,0.3,0.1571,0.01,0.5182,0.35,0.4364,0.06,0.1114,0.01,0.2,0.99,0.6545,0.01
12,DAVIDSON,BOACHIE-YIADOM.NEL,17:16,30.08,75.0588,0.97,-0.4809,0.01,0.7646,0.01,1.2456,0.01,0.38,0.01,0.52,0.99,0.2327,0.01,0.2778,0.4,0.28,0.1,0.5172,0.36,0.4828,0.01,0.089,0.01,0.2222,0.98,0.4483,0.03
13,DAVIDSON,GUDMUNDSSON.JONAXEL,12:17,16.32,53.6667,0.01,0.1039,0.86,0.7966,0.01,0.6927,0.99,0.4231,0.01,0.6923,0.99,0.1838,0.51,0.1,0.01,0.2308,0.01,0.375,0.99,0.25,0.99,0.4408,0.99,0.5,0.01,0.1667,0.99
14,DAVIDSON,FREUNDLICH.CAL,10:55,18.32,72.16,0.85,-0.3637,0.01,0.8188,0.01,1.1824,0.01,0.3684,0.01,0.4737,0.96,0.1092,0.99,0.2857,0.48,0.1579,0.01,0.5294,0.22,0.5882,0.01,0.0,0.01,0.0909,0.99,0.2353,0.98
15,DAVIDSON,CASEY.PAT,02:49,5.0,108.8,0.99,-0.5905,0.01,0.6,0.01,1.1905,0.01,0.375,0.01,0.5,0.98,0.2,0.21,0.0,0.01,0.0,0.01,0.4167,0.99,0.5,0.01,0.0,0.01,0.25,0.89,0.3333,0.49
