,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,514:43,888.68,68.3128,0.36,0.1014,0.86,1.0622,0.64,0.9608,0.95,0.527,0.73,0.4763,0.98,0.171,0.75,0.2411,0.13,0.2599,0.04,0.4855,0.83,0.4491,0.03,0.1903,0.63,0.2023,0.99,0.3401,0.42
1,DAVIDSON,GRADY.KELLAN,GUDMUNDSSON.JONAX,486:50,828.24,67.9918,0.31,0.1472,0.96,1.1035,0.85,0.9564,0.96,0.5393,0.84,0.4572,0.93,0.1473,0.97,0.2252,0.07,0.2749,0.07,0.4769,0.9,0.4612,0.01,0.182,0.48,0.2042,0.99,0.3119,0.65
2,DAVIDSON,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,476:17,807.04,66.9613,0.17,0.1207,0.92,1.0817,0.74,0.961,0.95,0.5466,0.9,0.4643,0.94,0.1636,0.88,0.2196,0.04,0.2416,0.01,0.4808,0.88,0.4356,0.06,0.1945,0.69,0.2408,0.94,0.2776,0.87
3,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,433:10,735.44,67.0744,0.19,0.1407,0.96,1.0783,0.72,0.9376,0.98,0.5288,0.74,0.4776,0.98,0.1591,0.9,0.2304,0.08,0.2812,0.11,0.4614,0.97,0.4683,0.01,0.1842,0.51,0.2104,0.99,0.3225,0.57
4,DAVIDSON,BRAJKOVIC.LUKA,GUDMUNDSSON.JONAX,425:36,732.72,67.4504,0.25,0.1307,0.95,1.1041,0.85,0.9735,0.93,0.542,0.86,0.4564,0.92,0.1624,0.89,0.2472,0.16,0.2583,0.04,0.4947,0.71,0.4273,0.1,0.1913,0.65,0.2175,0.99,0.289,0.82
5,DAVIDSON,FRAMPTON.LUKE,PRITCHETT.KISHAWN,414:43,703.12,66.5874,0.13,0.0864,0.82,1.0638,0.65,0.9774,0.92,0.5499,0.92,0.4682,0.95,0.1835,0.51,0.2202,0.04,0.2547,0.03,0.4846,0.84,0.4304,0.09,0.1881,0.59,0.2312,0.95,0.3092,0.66
6,DAVIDSON,GRADY.KELLAN,PRITCHETT.KISHAWN,400:12,667.16,66.55,0.13,0.1842,0.97,1.1227,0.92,0.9385,0.98,0.5657,0.95,0.4553,0.92,0.1544,0.94,0.2173,0.04,0.2434,0.01,0.4625,0.97,0.4487,0.03,0.1988,0.76,0.2422,0.93,0.2949,0.78
7,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,390:21,675.56,67.2574,0.22,0.1588,0.97,1.0865,0.77,0.9277,0.99,0.5282,0.74,0.4608,0.93,0.1584,0.91,0.2448,0.14,0.2543,0.03,0.4631,0.96,0.4369,0.06,0.195,0.69,0.2179,0.99,0.3087,0.66
8,DAVIDSON,COLLINS.CARTER,GUDMUNDSSON.JONAX,381:52,641.52,67.9496,0.31,0.0318,0.67,1.0304,0.44,0.9986,0.82,0.4972,0.38,0.4853,0.98,0.1699,0.79,0.2396,0.12,0.2904,0.15,0.4871,0.82,0.4669,0.01,0.1777,0.37,0.2348,0.95,0.3088,0.66
9,DAVIDSON,BRAJKOVIC.LUKA,PRITCHETT.KISHAWN,370:59,627.44,66.3568,0.1,0.1132,0.89,1.1029,0.84,0.9897,0.88,0.5644,0.95,0.4621,0.94,0.1753,0.65,0.2284,0.08,0.2386,0.01,0.489,0.8,0.4183,0.13,0.1766,0.36,0.2248,0.98,0.2769,0.87
