,TEAM,TEAM A,TEAM B,TEAM C,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,357:35,620.44,68.5311,0.38,0.1689,0.97,1.0895,0.78,0.9206,0.99,0.5361,0.8,0.4592,0.93,0.1563,0.92,0.2273,0.08,0.2865,0.13,0.4584,0.97,0.4615,0.01,0.1858,0.53,0.1912,0.99,0.3347,0.48
1,DAVIDSON,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,351:06,604.32,67.339,0.23,0.1231,0.92,1.0772,0.72,0.9541,0.96,0.5525,0.93,0.4653,0.95,0.1771,0.62,0.227,0.07,0.2535,0.03,0.4797,0.88,0.4307,0.09,0.1939,0.68,0.2245,0.98,0.3028,0.71
2,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,335:49,585.88,67.8042,0.29,0.1649,0.97,1.0907,0.79,0.9257,0.99,0.5314,0.77,0.4529,0.9,0.1621,0.89,0.2542,0.2,0.249,0.03,0.4716,0.92,0.4205,0.12,0.2019,0.79,0.2155,0.99,0.3091,0.66
3,DAVIDSON,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,328:06,555.92,67.3244,0.23,0.2156,0.98,1.1405,0.95,0.9248,0.99,0.5685,0.96,0.4481,0.89,0.1439,0.98,0.2205,0.04,0.2448,0.01,0.4629,0.97,0.4517,0.02,0.1988,0.76,0.2211,0.98,0.2921,0.8
4,DAVIDSON,BRAJKOVIC.LUKA,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,325:47,555.84,66.6732,0.15,0.1282,0.92,1.11,0.87,0.9818,0.91,0.567,0.96,0.4638,0.94,0.1763,0.63,0.2383,0.12,0.2362,0.01,0.4921,0.74,0.414,0.15,0.1763,0.36,0.2164,0.99,0.2602,0.93
5,DAVIDSON,BRAJKOVIC.LUKA,GRADY.KELLAN,GUDMUNDSSON.JONAX,303:17,517.2,67.0997,0.19,0.1952,0.97,1.1504,0.96,0.9552,0.96,0.5586,0.94,0.4414,0.87,0.1469,0.97,0.2419,0.13,0.2928,0.17,0.484,0.86,0.4444,0.04,0.1842,0.51,0.1953,0.99,0.2938,0.79
6,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,PRITCHETT.KISHAWN,288:52,494.12,66.4333,0.11,0.1385,0.95,1.0746,0.71,0.9362,0.98,0.5493,0.92,0.4639,0.94,0.1801,0.58,0.2328,0.09,0.2356,0.01,0.4621,0.97,0.4178,0.13,0.1816,0.45,0.2149,0.99,0.282,0.86
7,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,281:28,480.32,66.9295,0.17,0.1838,0.97,1.1076,0.87,0.9238,0.99,0.5686,0.96,0.4564,0.92,0.1666,0.84,0.21,0.03,0.2569,0.03,0.4532,0.98,0.4385,0.05,0.1956,0.72,0.2254,0.97,0.3102,0.66
8,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,275:13,468.36,66.2371,0.09,0.2208,0.99,1.1295,0.92,0.9087,0.99,0.5381,0.83,0.4472,0.89,0.1366,0.99,0.2361,0.11,0.2924,0.17,0.4474,0.98,0.4598,0.01,0.1944,0.69,0.2208,0.99,0.3047,0.7
9,DAVIDSON,BRAJKOVIC.LUKA,GRADY.KELLAN,PRITCHETT.KISHAWN,272:22,453.68,65.7676,0.07,0.1839,0.97,1.1572,0.97,0.9733,0.93,0.5855,0.99,0.4534,0.91,0.1587,0.91,0.2282,0.08,0.2513,0.03,0.4781,0.88,0.4372,0.05,0.1724,0.29,0.2061,0.99,0.2842,0.85
