,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,250:11,430.52,66.5696,0.13,0.1613,0.97,1.0801,0.74,0.9188,0.99,0.5521,0.93,0.463,0.94,0.1812,0.55,0.2426,0.13,0.2274,0.01,0.4581,0.97,0.4102,0.17,0.1843,0.51,0.217,0.99,0.2695,0.9
1,DAVIDSON,BRAJKOVIC.LUKA,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,228:52,385.08,66.3789,0.1,0.2134,0.98,1.1686,0.98,0.9552,0.96,0.5912,0.99,0.4559,0.92,0.161,0.89,0.2414,0.13,0.2492,0.03,0.4805,0.88,0.4318,0.08,0.1722,0.29,0.1885,0.99,0.263,0.92
2,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,228:32,395.12,67.2561,0.22,0.2512,0.99,1.1338,0.93,0.8827,0.99,0.5436,0.88,0.4331,0.84,0.1392,0.99,0.2398,0.12,0.2849,0.13,0.4433,0.99,0.44,0.04,0.1991,0.77,0.209,0.99,0.3,0.74
3,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,225:39,391.84,68.0284,0.32,0.2391,0.99,1.128,0.92,0.8889,0.99,0.5758,0.98,0.4485,0.89,0.1582,0.91,0.2135,0.04,0.2606,0.04,0.4431,0.99,0.4381,0.05,0.2035,0.82,0.2132,0.99,0.3077,0.68
4,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,203:48,344.12,65.7379,0.07,0.2364,0.99,1.1246,0.92,0.8882,0.99,0.5663,0.96,0.4524,0.9,0.1569,0.92,0.2236,0.05,0.2483,0.02,0.4328,0.99,0.4366,0.06,0.1826,0.48,0.2045,0.99,0.2724,0.88
5,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,136:48,242.4,69.1824,0.45,0.023,0.63,1.0272,0.41,1.0042,0.77,0.4786,0.13,0.4762,0.98,0.1815,0.55,0.2857,0.48,0.2857,0.13,0.5084,0.5,0.3933,0.31,0.2105,0.9,0.2411,0.93,0.3708,0.25
6,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,124:58,213.68,66.9226,0.17,-0.0566,0.29,1.0764,0.72,1.133,0.04,0.5449,0.89,0.4831,0.98,0.2059,0.14,0.2843,0.46,0.264,0.05,0.5457,0.1,0.4114,0.16,0.154,0.07,0.2632,0.8,0.2629,0.92
7,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,122:34,213.88,71.4033,0.8,0.0491,0.71,1.0099,0.3,0.9608,0.95,0.4564,0.04,0.4942,0.98,0.1683,0.8,0.2414,0.13,0.4477,0.99,0.4684,0.95,0.5172,0.01,0.1534,0.06,0.15,0.99,0.4138,0.09
8,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,110:55,191.44,68.9891,0.42,-0.0245,0.39,1.0499,0.58,1.0745,0.26,0.5258,0.7,0.529,0.99,0.1985,0.21,0.2581,0.24,0.329,0.45,0.519,0.35,0.462,0.01,0.1702,0.26,0.2609,0.83,0.3165,0.62
9,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,107:14,178.6,67.3794,0.23,0.153,0.97,1.1646,0.98,1.0117,0.73,0.527,0.73,0.4054,0.74,0.1456,0.98,0.2727,0.36,0.4392,0.99,0.5105,0.47,0.4476,0.03,0.1814,0.45,0.1889,0.99,0.3636,0.31
10,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,93:01,153.68,68.4731,0.37,0.2372,0.99,1.1843,0.99,0.9471,0.97,0.5485,0.92,0.4179,0.79,0.1106,0.99,0.2368,0.11,0.3507,0.63,0.45,0.98,0.5286,0.01,0.1882,0.59,0.2527,0.88,0.2714,0.89
11,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,PRITCHETT.KISHAWN,86:35,152.08,67.9907,0.31,-0.1526,0.04,0.9666,0.1,1.1192,0.07,0.4881,0.25,0.5079,0.99,0.217,0.05,0.2692,0.32,0.254,0.03,0.5378,0.17,0.4034,0.22,0.164,0.16,0.2727,0.7,0.3109,0.66
12,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,77:42,129.88,67.2519,0.22,0.1632,0.97,1.1164,0.9,0.9532,0.96,0.4558,0.03,0.4336,0.84,0.0924,0.99,0.2466,0.15,0.4602,0.99,0.4657,0.96,0.4804,0.01,0.217,0.95,0.2676,0.76,0.402,0.13
13,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,PRITCHETT.KISHAWN,72:45,114.52,65.6889,0.06,0.0658,0.75,1.2138,0.99,1.1479,0.03,0.5816,0.98,0.4082,0.75,0.1484,0.97,0.2778,0.4,0.3367,0.52,0.549,0.08,0.4608,0.01,0.1558,0.08,0.2456,0.92,0.3333,0.49
14,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,JONES.BATES,51:51,80.12,65.3176,0.05,-0.0071,0.49,1.011,0.31,1.018,0.68,0.4437,0.02,0.4789,0.98,0.1123,0.99,0.2128,0.03,0.3239,0.4,0.4383,0.99,0.5185,0.01,0.1157,0.01,0.2857,0.52,0.321,0.59
15,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,48:09,84.6,71.7667,0.83,-0.0805,0.19,0.9693,0.12,1.0497,0.41,0.5373,0.81,0.5522,0.99,0.2009,0.19,0.1463,0.01,0.2239,0.01,0.5385,0.16,0.4615,0.01,0.1712,0.27,0.15,0.99,0.4769,0.01
16,DAVIDSON,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,46:56,81.4,70.1043,0.63,0.0538,0.73,1.0934,0.81,1.0396,0.49,0.597,0.99,0.4478,0.89,0.1474,0.97,0.0606,0.01,0.1493,0.01,0.5746,0.01,0.3582,0.66,0.2129,0.91,0.2368,0.94,0.1642,0.99
17,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,44:29,78.84,73.8727,0.95,0.0102,0.59,1.002,0.27,0.9919,0.87,0.5,0.42,0.5556,0.99,0.1522,0.95,0.2222,0.05,0.1528,0.01,0.5154,0.39,0.4923,0.01,0.1793,0.41,0.1429,0.99,0.3385,0.44
18,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,42:30,76.84,73.6762,0.94,-0.1027,0.15,0.963,0.09,1.0657,0.31,0.5317,0.77,0.5556,0.99,0.2082,0.1,0.1842,0.01,0.1746,0.01,0.5424,0.13,0.4407,0.04,0.1156,0.01,0.0541,0.99,0.4576,0.02
19,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,JONES.BATES,42:05,68.48,67.1619,0.19,0.1377,0.95,0.9784,0.15,0.8407,0.99,0.4516,0.03,0.5645,0.99,0.1022,0.99,0.1905,0.01,0.2742,0.07,0.4245,0.99,0.5283,0.01,0.2067,0.87,0.1579,0.99,0.4528,0.02
20,DAVIDSON,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,41:04,70.72,68.2146,0.34,-0.2255,0.01,0.9898,0.2,1.2153,0.01,0.5769,0.98,0.4615,0.94,0.2262,0.02,0.1111,0.01,0.25,0.03,0.6481,0.01,0.4444,0.04,0.1736,0.3,0.2333,0.95,0.4259,0.05
21,DAVIDSON,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,40:54,72.96,71.94,0.84,0.0965,0.84,1.0554,0.62,0.9588,0.95,0.5,0.42,0.4348,0.84,0.1371,0.99,0.25,0.17,0.1304,0.01,0.6042,0.01,0.4792,0.01,0.2679,0.99,0.1429,0.99,0.375,0.25
