,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DAVIDSON,BRAJKOVIC.LUKA,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,166:49,283.52,66.1639,0.08,0.2852,0.99,1.1322,0.93,0.847,0.99,0.5717,0.97,0.4508,0.9,0.1587,0.91,0.2348,0.1,0.2377,0.01,0.4208,0.99,0.4253,0.11,0.1882,0.59,0.2027,0.99,0.2534,0.95
1,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,65:02,116.24,67.7292,0.28,-0.1724,0.03,0.9635,0.09,1.1359,0.04,0.5,0.42,0.5312,0.99,0.2409,0.01,0.2931,0.56,0.2188,0.01,0.5389,0.16,0.3889,0.34,0.154,0.07,0.2857,0.52,0.3,0.74
2,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,48:09,84.4,69.65,0.54,0.2314,0.99,1.1256,0.92,0.8942,0.99,0.4648,0.06,0.3803,0.57,0.1066,0.99,0.2391,0.12,0.493,0.99,0.4508,0.98,0.4098,0.18,0.2296,0.98,0.2222,0.98,0.4754,0.01
3,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,46:23,73.68,65.6696,0.06,0.113,0.89,1.2894,0.99,1.1763,0.01,0.629,0.99,0.4194,0.79,0.1764,0.63,0.3438,0.94,0.3548,0.68,0.5859,0.01,0.4688,0.01,0.1293,0.01,0.1515,0.99,0.2969,0.77
4,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,25:16,46.96,75.904,0.98,-0.1699,0.03,0.8944,0.01,1.0643,0.31,0.4868,0.22,0.6316,0.99,0.2129,0.06,0.1923,0.01,0.2368,0.01,0.5278,0.24,0.4722,0.01,0.1043,0.01,0.0435,0.99,0.5,0.01
5,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,JONES.BATES,24:06,37.28,65.0,0.04,0.2916,0.99,1.1266,0.92,0.835,0.99,0.4571,0.04,0.6,0.99,0.1341,0.99,0.3478,0.95,0.3429,0.58,0.3939,0.99,0.5758,0.01,0.1228,0.01,0.125,0.99,0.3939,0.15
6,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,20:36,32.64,67.48,0.25,0.1309,0.95,1.1642,0.98,1.0333,0.54,0.66,0.99,0.48,0.98,0.1838,0.51,0.0833,0.01,0.24,0.01,0.537,0.17,0.4444,0.04,0.2296,0.98,0.3125,0.18,0.4074,0.12
7,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,19:51,32.84,69.2632,0.47,-0.0568,0.29,1.0658,0.67,1.1226,0.05,0.4655,0.06,0.4138,0.77,0.0914,0.99,0.2105,0.03,0.3793,0.83,0.537,0.17,0.4815,0.01,0.182,0.48,0.2667,0.77,0.3333,0.49
8,DAVIDSON,EKWU.NATHAN,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,17:59,31.32,70.4,0.69,0.4581,0.99,1.4049,0.99,0.9467,0.97,0.7593,0.99,0.2963,0.07,0.2235,0.02,0.4,0.99,0.1111,0.01,0.4348,0.99,0.3043,0.98,0.3156,0.99,0.5,0.01,0.3478,0.38
9,DAVIDSON,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,17:43,29.76,71.7176,0.83,0.274,0.99,1.0753,0.71,0.8013,0.99,0.5833,0.99,0.2917,0.06,0.168,0.8,0.0909,0.01,0.1667,0.01,0.5,0.64,0.3478,0.76,0.2564,0.99,0.1333,0.99,0.2174,0.99
10,DAVIDSON,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,15:40,27.88,75.36,0.97,-0.1422,0.06,1.2195,0.99,1.3617,0.01,0.6957,0.99,0.6087,0.99,0.1435,0.98,0.0,0.01,0.087,0.01,0.7609,0.01,0.3913,0.33,0.1397,0.01,0.1,0.99,0.2609,0.93
11,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,JONES.BATES,PRITCHETT.KISHAWN,15:00,26.32,71.04,0.74,-0.095,0.17,0.6839,0.01,0.7789,0.99,0.3913,0.01,0.5652,0.99,0.076,0.99,0.0,0.01,0.1304,0.01,0.4667,0.96,0.5333,0.01,0.3338,0.99,0.1,0.99,0.6,0.01
12,DAVIDSON,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,13:57,24.88,75.1385,0.97,-0.2071,0.01,1.045,0.55,1.2521,0.01,0.6,0.99,0.4,0.71,0.201,0.19,0.1111,0.01,0.1,0.01,0.7059,0.01,0.4118,0.16,0.1669,0.21,0.1111,0.99,0.5294,0.01
13,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,13:50,21.0,70.7692,0.71,0.7905,0.99,1.1905,0.99,0.4,0.99,0.5208,0.65,0.4167,0.78,0.0476,0.99,0.3077,0.7,0.0,0.01,0.2632,0.99,0.5789,0.01,0.4,0.99,0.2667,0.77,0.0,0.99
14,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,13:33,23.76,67.3231,0.23,0.018,0.59,0.968,0.11,0.95,0.96,0.5,0.42,0.45,0.9,0.1263,0.99,0.0833,0.01,0.2,0.01,0.4524,0.98,0.3333,0.87,0.25,0.99,0.4615,0.01,0.0,0.99
15,DAVIDSON,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,12:21,25.32,79.2,0.99,-0.161,0.03,1.1453,0.96,1.3063,0.01,0.5192,0.63,0.4615,0.94,0.0395,0.99,0.2,0.02,0.1154,0.01,0.7353,0.01,0.7059,0.01,0.2252,0.98,0.2857,0.52,0.2941,0.78
16,DAVIDSON,COLLINS.CARTER,EKWU.NATHAN,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,12:03,18.44,62.2,0.01,-0.8424,0.01,0.2169,0.01,1.0593,0.34,0.1667,0.01,0.3333,0.19,0.4338,0.01,0.1818,0.01,0.0833,0.01,0.5,0.64,0.6667,0.01,0.053,0.01,0.0909,0.99,0.1111,0.99
17,DAVIDSON,COLLINS.CARTER,FRAMPTON.LUKE,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,11:54,25.8,98.5455,0.99,0.2579,0.99,1.2791,0.99,1.0211,0.66,0.5625,0.95,0.5625,0.99,0.1163,0.99,0.2,0.02,1.25,0.99,0.4565,0.98,0.6522,0.01,0.1408,0.01,0.1875,0.99,0.4348,0.04
18,DAVIDSON,COLLINS.CARTER,GRADY.KELLAN,GUDMUNDSSON.JONAX,JONES.BATES,PRITCHETT.KISHAWN,11:50,17.88,66.6182,0.15,-0.2377,0.01,0.6152,0.01,0.8529,0.99,0.2647,0.01,0.2941,0.07,0.0,0.99,0.0,0.01,0.1176,0.01,0.2955,0.99,0.5,0.01,0.1599,0.11,0.5,0.01,0.1818,0.99
19,DAVIDSON,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,10:32,15.88,65.04,0.04,-0.1487,0.06,0.6927,0.01,0.8413,0.99,0.2647,0.01,0.5882,0.99,0.2519,0.01,0.4286,0.99,0.1176,0.01,0.625,0.01,0.375,0.48,0.3606,0.99,0.0,0.99,0.75,0.01
20,DAVIDSON,BRAJKOVIC.LUKA,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,GRADY.KELLAN,PRITCHETT.KISHAWN,09:24,14.88,63.6444,0.01,0.125,0.92,1.1425,0.95,1.0174,0.69,0.625,0.99,0.6667,0.99,0.2016,0.18,0.1667,0.01,0.1667,0.01,0.4545,0.98,0.6364,0.01,0.0727,0.01,0.0,0.99,0.3636,0.31
21,DAVIDSON,COLLINS.CARTER,EKWU.NATHAN,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,09:07,11.76,57.2444,0.01,0.1054,0.86,1.1054,0.86,1.0,0.81,0.4583,0.04,0.5833,0.99,0.085,0.99,0.3333,0.88,0.3333,0.5,0.5,0.64,0.5714,0.01,0.0714,0.01,0.125,0.99,0.0,0.99
22,DAVIDSON,COLLINS.CARTER,EKWU.NATHAN,GRADY.KELLAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,09:04,15.32,67.8222,0.29,0.517,0.99,1.1749,0.98,0.6579,0.99,0.5667,0.96,0.4,0.71,0.0,0.99,0.125,0.01,0.2,0.01,0.2917,0.99,0.5833,0.01,0.2632,0.99,0.2727,0.7,0.4167,0.08
