,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DEPAUL,STRUS.MAX,860:58,1524.92,70.5321,0.7,0.0203,0.63,1.084,0.75,1.0637,0.31,0.5252,0.7,0.3292,0.17,0.1954,0.25,0.3249,0.83,0.3245,0.42,0.5273,0.24,0.445,0.04,0.1784,0.39,0.2443,0.92,0.2842,0.85
1,DEPAUL,CAIN.ELI,847:08,1470.48,69.3828,0.49,0.0587,0.73,1.0847,0.76,1.026,0.62,0.5254,0.7,0.3277,0.16,0.1952,0.25,0.3238,0.83,0.3366,0.52,0.5094,0.49,0.4427,0.04,0.188,0.59,0.25,0.89,0.2881,0.82
2,DEPAUL,GAGE.DEVIN,716:16,1263.32,70.6883,0.71,-0.0069,0.49,1.0749,0.71,1.0818,0.23,0.5149,0.57,0.3246,0.15,0.1916,0.34,0.3214,0.82,0.3293,0.45,0.5449,0.11,0.4455,0.03,0.1839,0.49,0.2397,0.94,0.2897,0.82
3,DEPAUL,REED.PAUL,624:48,1103.08,70.8462,0.72,0.0304,0.67,1.0906,0.79,1.0602,0.33,0.5167,0.6,0.3182,0.12,0.1994,0.21,0.3486,0.96,0.3581,0.71,0.5231,0.29,0.4248,0.11,0.1815,0.45,0.2374,0.94,0.3052,0.69
4,DEPAUL,OLUJOBI.FEMI,616:58,1080.24,69.4351,0.5,0.0112,0.59,1.1044,0.85,1.0932,0.18,0.5218,0.67,0.3148,0.11,0.1888,0.39,0.3395,0.91,0.3497,0.63,0.5375,0.17,0.4441,0.04,0.1776,0.37,0.2679,0.76,0.3009,0.73
5,DEPAUL,BUTZ.JAYLEN,526:08,895.4,69.089,0.43,0.0146,0.59,1.0465,0.55,1.0319,0.56,0.5153,0.58,0.3364,0.22,0.21,0.07,0.3203,0.81,0.3125,0.31,0.5159,0.39,0.4444,0.04,0.192,0.66,0.2467,0.91,0.3056,0.69
6,DEPAUL,SHREINER.LYRIK,321:39,555.28,69.4305,0.5,-0.0556,0.29,1.0355,0.48,1.0911,0.18,0.5033,0.44,0.3202,0.13,0.2089,0.1,0.3143,0.76,0.3553,0.69,0.5224,0.31,0.4252,0.11,0.1646,0.18,0.2509,0.89,0.3355,0.47
7,DEPAUL,COLEMAN-LANDS.JALEN,252:58,442.84,70.6571,0.71,0.0821,0.82,1.032,0.45,0.9498,0.96,0.4905,0.28,0.4135,0.77,0.1897,0.37,0.3008,0.63,0.3676,0.77,0.5043,0.57,0.4517,0.02,0.228,0.98,0.2318,0.95,0.2869,0.83
8,DEPAUL,CAMERON.FLYNN,109:31,185.36,69.8202,0.58,-0.079,0.22,1.079,0.72,1.158,0.01,0.5743,0.97,0.3041,0.09,0.2482,0.01,0.3218,0.82,0.2973,0.19,0.5728,0.01,0.4106,0.17,0.1845,0.51,0.2326,0.95,0.4238,0.06
9,DEPAUL,MASLENNIKOV.GEORGE,10:04,19.08,82.32,0.99,0.0279,0.63,1.2055,0.99,1.1775,0.01,0.8182,0.99,0.0909,0.01,0.3669,0.01,0.6667,0.99,0.6364,0.99,0.5263,0.25,0.3684,0.57,0.1359,0.01,0.2727,0.7,0.3684,0.27
10,DEPAUL,MALONGA.JASON,02:58,5.88,126.4,0.99,0.007,0.54,1.1905,0.99,1.1834,0.01,0.75,0.99,0.0,0.01,0.5102,0.01,1.0,0.99,0.5,0.99,0.5,0.64,0.0,0.99,0.2959,0.99,0.5,0.01,1.0,0.01
11,DEPAUL,SULLIVAN.MICK,02:54,6.88,142.0,0.99,-0.2295,0.01,0.7267,0.01,0.9563,0.96,0.4,0.01,0.4,0.71,0.436,0.01,0.5,0.99,0.4,0.9,0.4,0.99,0.0,0.99,0.2732,0.99,0.3333,0.06,0.6,0.01
12,DEPAUL,XIDIAS.PANTELIS,00:36,0.0,inf,0.99,-3.0,0.01,0.0,0.01,3.0,0.01,0.0,0.01,0.0,0.01,0.0,0.99,0.0,0.01,0.0,0.01,0.75,0.01,0.5,0.01,0.0,0.01,1.0,0.01,0.0,0.99
