,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DEPAUL,CAIN.ELI,STRUS.MAX,737:49,1299.76,69.9745,0.6,0.0595,0.73,1.091,0.79,1.0314,0.56,0.5304,0.76,0.3267,0.16,0.1923,0.31,0.3235,0.83,0.3212,0.39,0.5116,0.45,0.4507,0.02,0.1822,0.48,0.2446,0.92,0.2747,0.88
1,DEPAUL,GAGE.DEVIN,STRUS.MAX,626:52,1118.36,71.3137,0.78,-0.0197,0.43,1.0757,0.71,1.0954,0.17,0.5199,0.63,0.3232,0.15,0.1931,0.3,0.3226,0.82,0.3085,0.27,0.5523,0.07,0.4494,0.03,0.1787,0.39,0.2367,0.94,0.2737,0.88
2,DEPAUL,CAIN.ELI,GAGE.DEVIN,599:45,1047.16,70.0528,0.62,0.0276,0.63,1.0762,0.72,1.0486,0.42,0.5162,0.6,0.3196,0.12,0.1881,0.39,0.3197,0.8,0.3229,0.4,0.5281,0.23,0.4524,0.02,0.1875,0.57,0.2408,0.94,0.279,0.87
3,DEPAUL,OLUJOBI.FEMI,STRUS.MAX,539:35,957.2,69.8731,0.58,0.0227,0.63,1.1178,0.9,1.0952,0.17,0.534,0.78,0.3111,0.1,0.1901,0.37,0.3391,0.91,0.3457,0.6,0.5368,0.17,0.446,0.03,0.176,0.36,0.2678,0.76,0.2884,0.82
4,DEPAUL,CAIN.ELI,REED.PAUL,534:39,937.4,70.2891,0.65,0.0597,0.73,1.0934,0.81,1.0337,0.54,0.5197,0.63,0.3142,0.11,0.1995,0.21,0.3477,0.95,0.3626,0.73,0.5103,0.47,0.4221,0.12,0.1831,0.49,0.2386,0.94,0.2934,0.79
5,DEPAUL,REED.PAUL,STRUS.MAX,533:40,960.32,71.7644,0.83,0.0284,0.63,1.0996,0.84,1.0712,0.28,0.5228,0.68,0.3165,0.12,0.1958,0.25,0.3476,0.95,0.3424,0.58,0.5271,0.24,0.43,0.09,0.1701,0.26,0.2261,0.96,0.29,0.81
6,DEPAUL,CAIN.ELI,OLUJOBI.FEMI,531:42,924.88,68.7051,0.4,0.0726,0.78,1.1212,0.92,1.0487,0.42,0.5298,0.75,0.308,0.1,0.1871,0.42,0.3449,0.94,0.3511,0.65,0.5178,0.36,0.4465,0.03,0.1846,0.51,0.2636,0.8,0.2919,0.81
7,DEPAUL,BUTZ.JAYLEN,STRUS.MAX,458:06,792.56,69.6472,0.54,-0.0009,0.49,1.0485,0.57,1.0494,0.41,0.5156,0.58,0.3378,0.22,0.2044,0.15,0.3193,0.8,0.2961,0.19,0.5263,0.25,0.4466,0.03,0.1857,0.53,0.2443,0.92,0.2917,0.81
8,DEPAUL,GAGE.DEVIN,OLUJOBI.FEMI,455:58,813.52,70.4949,0.69,-0.0398,0.34,1.094,0.82,1.1338,0.04,0.5164,0.6,0.3167,0.12,0.1758,0.65,0.3182,0.79,0.3324,0.49,0.5602,0.04,0.4502,0.02,0.1658,0.19,0.2604,0.83,0.2912,0.81
9,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,446:56,758.32,69.0493,0.43,0.045,0.71,1.0431,0.54,0.9981,0.82,0.519,0.63,0.3428,0.26,0.2031,0.17,0.301,0.63,0.3207,0.38,0.4984,0.66,0.4495,0.03,0.1996,0.77,0.255,0.87,0.2986,0.75
10,DEPAUL,GAGE.DEVIN,REED.PAUL,442:50,792.2,72.0109,0.84,-0.0256,0.39,1.0666,0.68,1.0923,0.18,0.503,0.43,0.3088,0.1,0.2032,0.17,0.346,0.94,0.3448,0.59,0.5475,0.09,0.4248,0.11,0.1877,0.57,0.2405,0.94,0.3006,0.73
11,DEPAUL,BUTZ.JAYLEN,GAGE.DEVIN,360:58,615.36,69.8889,0.58,0.0163,0.59,1.0807,0.74,1.0644,0.31,0.5201,0.65,0.3231,0.15,0.2015,0.18,0.3376,0.9,0.3231,0.4,0.5423,0.13,0.45,0.03,0.1914,0.65,0.2262,0.96,0.3,0.74
12,DEPAUL,OLUJOBI.FEMI,REED.PAUL,345:04,609.44,70.131,0.63,-0.0002,0.49,1.1125,0.89,1.1127,0.08,0.5107,0.53,0.3087,0.1,0.1871,0.42,0.3612,0.98,0.3903,0.88,0.5467,0.1,0.4076,0.19,0.1716,0.27,0.2526,0.88,0.3042,0.7
13,DEPAUL,BUTZ.JAYLEN,REED.PAUL,262:52,464.8,72.0733,0.84,0.0271,0.63,1.0306,0.44,1.0034,0.78,0.509,0.51,0.3273,0.16,0.2216,0.02,0.3319,0.87,0.3093,0.28,0.5013,0.6,0.4465,0.03,0.1961,0.73,0.2174,0.99,0.3107,0.66
14,DEPAUL,SHREINER.LYRIK,STRUS.MAX,250:41,446.44,70.5824,0.7,-0.0416,0.31,1.0483,0.57,1.0898,0.19,0.5151,0.58,0.3233,0.15,0.2083,0.1,0.3088,0.7,0.3452,0.6,0.5172,0.36,0.4324,0.07,0.156,0.09,0.2589,0.83,0.2944,0.78
15,DEPAUL,CAIN.ELI,SHREINER.LYRIK,223:32,386.24,68.7426,0.4,0.0206,0.63,1.0279,0.41,1.0073,0.76,0.5182,0.63,0.3399,0.24,0.2175,0.04,0.2842,0.46,0.3993,0.9,0.4755,0.9,0.4281,0.09,0.1604,0.12,0.2439,0.93,0.2936,0.79
16,DEPAUL,CAIN.ELI,COLEMAN-LANDS.JALEN,213:06,366.52,69.3934,0.49,0.1591,0.97,1.045,0.55,0.8859,0.99,0.4968,0.37,0.4135,0.77,0.1773,0.62,0.2915,0.53,0.3462,0.62,0.4644,0.96,0.4441,0.04,0.2389,0.99,0.2487,0.91,0.2814,0.86
17,DEPAUL,BUTZ.JAYLEN,SHREINER.LYRIK,193:15,325.72,68.2984,0.34,-0.0518,0.29,1.0131,0.32,1.0649,0.31,0.4944,0.34,0.3271,0.16,0.2149,0.06,0.3059,0.67,0.3271,0.44,0.5145,0.41,0.4058,0.2,0.177,0.36,0.2606,0.83,0.3406,0.42
18,DEPAUL,OLUJOBI.FEMI,SHREINER.LYRIK,192:43,338.12,69.8208,0.58,-0.0997,0.17,1.0263,0.41,1.126,0.05,0.4928,0.31,0.3094,0.1,0.207,0.11,0.3136,0.75,0.3525,0.66,0.5383,0.16,0.4355,0.06,0.1535,0.06,0.2632,0.8,0.3101,0.66
19,DEPAUL,COLEMAN-LANDS.JALEN,STRUS.MAX,189:12,337.24,71.5132,0.82,0.069,0.75,1.0289,0.42,0.9599,0.95,0.4965,0.37,0.4161,0.78,0.172,0.75,0.2737,0.37,0.3357,0.52,0.4982,0.66,0.48,0.01,0.2068,0.87,0.2281,0.96,0.2691,0.9
20,DEPAUL,REED.PAUL,SHREINER.LYRIK,183:07,310.44,68.1661,0.33,0.0611,0.75,1.1081,0.87,1.047,0.43,0.5154,0.58,0.3115,0.1,0.1933,0.3,0.3506,0.96,0.3885,0.87,0.4924,0.74,0.4275,0.1,0.1724,0.29,0.2562,0.85,0.3321,0.5
21,DEPAUL,BUTZ.JAYLEN,OLUJOBI.FEMI,180:51,295.08,65.7822,0.07,0.0273,0.63,1.1183,0.91,1.0911,0.18,0.5354,0.8,0.3031,0.09,0.1966,0.24,0.3487,0.96,0.3228,0.4,0.5275,0.24,0.4667,0.01,0.1886,0.59,0.3188,0.14,0.3294,0.52
22,DEPAUL,COLEMAN-LANDS.JALEN,GAGE.DEVIN,173:50,314.6,72.4948,0.88,0.0251,0.63,1.014,0.32,0.9889,0.89,0.4904,0.28,0.41,0.75,0.1875,0.42,0.2695,0.32,0.3448,0.59,0.5218,0.32,0.4405,0.04,0.2176,0.95,0.2418,0.93,0.2659,0.91
23,DEPAUL,GAGE.DEVIN,SHREINER.LYRIK,160:00,271.0,69.395,0.49,-0.0915,0.17,1.0627,0.64,1.1543,0.02,0.5021,0.43,0.3064,0.1,0.1734,0.7,0.3077,0.7,0.3191,0.37,0.5582,0.05,0.444,0.04,0.1584,0.11,0.2388,0.94,0.3836,0.19
24,DEPAUL,COLEMAN-LANDS.JALEN,OLUJOBI.FEMI,154:26,274.28,70.7948,0.71,0.0971,0.84,1.0755,0.71,0.9784,0.92,0.4978,0.38,0.4026,0.71,0.1896,0.37,0.3381,0.91,0.3766,0.81,0.5114,0.45,0.4612,0.01,0.2326,0.99,0.2714,0.71,0.2785,0.87
25,DEPAUL,BUTZ.JAYLEN,COLEMAN-LANDS.JALEN,125:40,209.0,68.608,0.39,0.0652,0.75,0.9569,0.07,0.8917,0.99,0.475,0.11,0.4333,0.84,0.2057,0.14,0.2951,0.6,0.2778,0.08,0.4912,0.77,0.4327,0.07,0.2229,0.97,0.1887,0.99,0.2632,0.92
26,DEPAUL,COLEMAN-LANDS.JALEN,REED.PAUL,108:59,193.76,71.9111,0.84,0.0607,0.75,1.0219,0.36,0.9611,0.95,0.4771,0.12,0.3987,0.69,0.2013,0.18,0.3173,0.78,0.5163,0.99,0.5245,0.28,0.4056,0.2,0.2416,0.99,0.1932,0.99,0.3427,0.41
