,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DEPAUL,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,STRUS.MAX,324:35,580.88,69.9309,0.6,0.0339,0.67,1.1173,0.9,1.0833,0.22,0.5334,0.78,0.2986,0.08,0.179,0.58,0.3345,0.89,0.2986,0.2,0.5394,0.15,0.4638,0.01,0.1721,0.29,0.25,0.89,0.266,0.91
1,DEPAUL,CAIN.ELI,GAGE.DEVIN,REED.PAUL,STRUS.MAX,302:05,540.04,71.9894,0.84,-0.034,0.34,1.061,0.64,1.0951,0.17,0.5032,0.44,0.2916,0.06,0.2037,0.17,0.3532,0.97,0.3045,0.25,0.5498,0.08,0.4403,0.04,0.1755,0.34,0.2231,0.98,0.2765,0.87
2,DEPAUL,CAIN.ELI,OLUJOBI.FEMI,REED.PAUL,STRUS.MAX,254:15,448.68,69.6409,0.54,0.0896,0.82,1.159,0.97,1.0694,0.29,0.534,0.79,0.2853,0.05,0.185,0.5,0.3785,0.99,0.3848,0.85,0.5261,0.25,0.4038,0.22,0.1675,0.22,0.2249,0.98,0.2857,0.83
3,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,STRUS.MAX,244:53,420.96,70.0262,0.62,0.0237,0.63,1.069,0.69,1.0453,0.44,0.518,0.61,0.3287,0.16,0.1877,0.42,0.3192,0.8,0.3011,0.22,0.538,0.16,0.4676,0.01,0.1984,0.76,0.2333,0.95,0.2648,0.92
4,DEPAUL,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,REED.PAUL,219:43,386.72,70.1041,0.63,-0.0346,0.34,1.068,0.69,1.1026,0.14,0.494,0.34,0.2994,0.08,0.1836,0.51,0.3366,0.9,0.3383,0.55,0.5469,0.1,0.4125,0.16,0.1706,0.26,0.25,0.89,0.2906,0.81
5,DEPAUL,GAGE.DEVIN,OLUJOBI.FEMI,REED.PAUL,STRUS.MAX,214:12,389.96,72.086,0.84,-0.0922,0.17,1.0668,0.68,1.159,0.01,0.5015,0.43,0.3114,0.1,0.1872,0.42,0.3299,0.86,0.3263,0.43,0.5644,0.03,0.4018,0.23,0.1547,0.07,0.2542,0.87,0.2883,0.82
6,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,REED.PAUL,STRUS.MAX,186:27,338.96,73.6731,0.94,-0.0048,0.49,1.0119,0.32,1.0168,0.69,0.5035,0.44,0.338,0.23,0.2065,0.13,0.3059,0.67,0.2958,0.18,0.507,0.53,0.4634,0.01,0.1762,0.36,0.2164,0.99,0.2787,0.87
7,DEPAUL,BUTZ.JAYLEN,GAGE.DEVIN,REED.PAUL,STRUS.MAX,150:20,271.48,74.1013,0.95,-0.0154,0.43,1.0645,0.66,1.0799,0.24,0.5087,0.5,0.29,0.06,0.2247,0.02,0.3846,0.99,0.29,0.15,0.5647,0.03,0.4732,0.01,0.2005,0.78,0.1935,0.99,0.2768,0.87
8,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,REED.PAUL,140:17,247.12,73.2171,0.92,0.0496,0.71,1.0481,0.57,0.9985,0.82,0.505,0.46,0.2921,0.06,0.2347,0.01,0.3719,0.99,0.3614,0.73,0.5071,0.52,0.4692,0.01,0.2185,0.95,0.2362,0.94,0.2844,0.85
9,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,OLUJOBI.FEMI,STRUS.MAX,120:35,198.76,64.8667,0.03,0.1227,0.92,1.1572,0.97,1.0344,0.54,0.5578,0.94,0.2948,0.07,0.1912,0.34,0.36,0.98,0.3121,0.31,0.5062,0.53,0.4753,0.01,0.2205,0.96,0.3396,0.04,0.3148,0.63
10,DEPAUL,CAIN.ELI,COLEMAN-LANDS.JALEN,GAGE.DEVIN,STRUS.MAX,102:20,179.72,70.7843,0.71,0.0916,0.84,1.0294,0.43,0.9378,0.98,0.5064,0.48,0.4076,0.74,0.1558,0.94,0.2292,0.08,0.242,0.01,0.4739,0.91,0.4837,0.01,0.2096,0.89,0.268,0.75,0.2418,0.98
11,DEPAUL,CAIN.ELI,OLUJOBI.FEMI,SHREINER.LYRIK,STRUS.MAX,99:57,184.08,71.0061,0.74,0.0384,0.67,1.0539,0.61,1.0155,0.69,0.5504,0.93,0.3309,0.18,0.2499,0.01,0.321,0.81,0.4101,0.93,0.4704,0.93,0.4671,0.01,0.1493,0.05,0.2577,0.84,0.2303,0.99
12,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,SHREINER.LYRIK,STRUS.MAX,96:53,169.36,69.25,0.47,-0.013,0.43,0.9684,0.11,0.9814,0.91,0.4963,0.37,0.3704,0.5,0.2185,0.03,0.2588,0.24,0.3259,0.42,0.4583,0.97,0.4028,0.22,0.1656,0.19,0.2857,0.52,0.2847,0.85
13,DEPAUL,BUTZ.JAYLEN,GAGE.DEVIN,OLUJOBI.FEMI,STRUS.MAX,91:40,157.12,67.3846,0.23,-0.0478,0.31,1.1965,0.99,1.2443,0.01,0.562,0.95,0.2774,0.04,0.1782,0.6,0.3718,0.99,0.3504,0.63,0.6124,0.01,0.4651,0.01,0.1539,0.06,0.2877,0.49,0.3256,0.54
14,DEPAUL,CAIN.ELI,COLEMAN-LANDS.JALEN,OLUJOBI.FEMI,STRUS.MAX,90:58,161.56,70.3378,0.67,0.318,0.99,1.1698,0.98,0.8518,0.99,0.539,0.84,0.3617,0.42,0.1609,0.9,0.3418,0.92,0.3475,0.62,0.4355,0.99,0.4919,0.01,0.2646,0.99,0.2976,0.35,0.2742,0.88
15,DEPAUL,CAIN.ELI,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,89:28,160.52,69.3303,0.49,0.2138,0.98,1.1463,0.96,0.9324,0.99,0.5595,0.94,0.3333,0.19,0.1994,0.21,0.3239,0.83,0.4603,0.99,0.4343,0.99,0.4234,0.12,0.1419,0.01,0.2414,0.93,0.1825,0.99
16,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,COLEMAN-LANDS.JALEN,STRUS.MAX,86:05,142.52,67.8698,0.29,0.0642,0.75,0.9683,0.11,0.9041,0.99,0.4727,0.08,0.4531,0.91,0.1544,0.94,0.2558,0.22,0.2578,0.03,0.4758,0.9,0.4677,0.01,0.2076,0.87,0.2308,0.96,0.2258,0.99
17,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,81:05,133.48,64.7407,0.03,0.0558,0.73,1.2212,0.99,1.1653,0.01,0.562,0.95,0.2727,0.03,0.1274,0.99,0.3194,0.8,0.3471,0.62,0.558,0.05,0.5089,0.01,0.1554,0.08,0.2899,0.45,0.3393,0.43
18,DEPAUL,BUTZ.JAYLEN,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,75:46,133.64,70.9227,0.73,0.0797,0.78,1.1,0.84,1.0203,0.68,0.5439,0.88,0.3333,0.19,0.202,0.18,0.3231,0.83,0.2719,0.06,0.5183,0.35,0.4312,0.08,0.1814,0.45,0.2097,0.99,0.2569,0.94
19,DEPAUL,CAIN.ELI,COLEMAN-LANDS.JALEN,GAGE.DEVIN,OLUJOBI.FEMI,74:40,137.92,72.0108,0.84,0.1378,0.95,1.0948,0.82,0.957,0.95,0.4958,0.36,0.3866,0.6,0.1523,0.95,0.2877,0.5,0.3613,0.73,0.4679,0.95,0.4954,0.01,0.2256,0.98,0.3288,0.08,0.3028,0.71
20,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,COLEMAN-LANDS.JALEN,GAGE.DEVIN,71:05,118.0,69.6113,0.54,0.0817,0.82,0.9492,0.05,0.8674,0.99,0.4949,0.34,0.4592,0.93,0.2034,0.17,0.2273,0.08,0.2551,0.03,0.4755,0.9,0.3824,0.39,0.2169,0.95,0.1746,0.99,0.2255,0.99
21,DEPAUL,GAGE.DEVIN,OLUJOBI.FEMI,SHREINER.LYRIK,STRUS.MAX,68:57,129.2,75.4706,0.97,-0.2107,0.01,1.0217,0.36,1.2323,0.01,0.5234,0.69,0.3364,0.22,0.1935,0.3,0.2581,0.24,0.2804,0.1,0.5746,0.01,0.4386,0.05,0.1334,0.01,0.2923,0.42,0.307,0.68
22,DEPAUL,COLEMAN-LANDS.JALEN,GAGE.DEVIN,OLUJOBI.FEMI,STRUS.MAX,68:56,135.16,77.1059,0.99,-0.0592,0.29,1.0432,0.54,1.1024,0.14,0.4956,0.36,0.3894,0.62,0.1776,0.62,0.2754,0.38,0.3451,0.6,0.5636,0.03,0.5,0.01,0.189,0.59,0.2857,0.52,0.2273,0.99
23,DEPAUL,BUTZ.JAYLEN,GAGE.DEVIN,SHREINER.LYRIK,STRUS.MAX,65:45,108.76,68.8369,0.41,-0.1773,0.03,1.0666,0.68,1.2439,0.01,0.4842,0.19,0.2947,0.07,0.2207,0.02,0.4107,0.99,0.3053,0.26,0.6359,0.01,0.3804,0.42,0.1566,0.09,0.2174,0.99,0.3696,0.26
24,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,REED.PAUL,SHREINER.LYRIK,62:55,105.76,68.9161,0.42,0.2053,0.98,1.0117,0.32,0.8065,0.99,0.5361,0.8,0.3855,0.6,0.208,0.1,0.2264,0.07,0.3494,0.63,0.3587,0.99,0.413,0.16,0.1947,0.69,0.2656,0.78,0.2935,0.79
25,DEPAUL,OLUJOBI.FEMI,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,62:45,112.0,69.9226,0.6,0.0962,0.84,1.2321,0.99,1.1359,0.04,0.5444,0.89,0.2889,0.06,0.1786,0.6,0.4167,0.99,0.5556,0.99,0.4847,0.84,0.4082,0.18,0.1336,0.01,0.3226,0.11,0.2959,0.78
