,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,DEPAUL,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,REED.PAUL,STRUS.MAX,179:51,319.4,70.7218,0.71,-0.036,0.34,1.077,0.72,1.113,0.08,0.5054,0.47,0.2878,0.06,0.191,0.37,0.3476,0.95,0.3058,0.26,0.5511,0.07,0.4091,0.18,0.1595,0.11,0.2292,0.96,0.2803,0.86
1,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,REED.PAUL,STRUS.MAX,113:09,205.76,75.1221,0.97,-0.0303,0.34,1.0352,0.48,1.0655,0.31,0.4942,0.34,0.2948,0.07,0.2187,0.03,0.3636,0.98,0.3121,0.31,0.5514,0.07,0.4914,0.01,0.2012,0.79,0.2121,0.99,0.2686,0.9
2,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,GAGE.DEVIN,OLUJOBI.FEMI,STRUS.MAX,61:26,103.64,64.4721,0.02,0.1027,0.86,1.264,0.99,1.1613,0.01,0.5781,0.98,0.2604,0.02,0.1351,0.99,0.3704,0.99,0.3229,0.4,0.575,0.01,0.5,0.01,0.1828,0.48,0.3061,0.25,0.3125,0.64
3,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,COLEMAN-LANDS.JALEN,GAGE.DEVIN,STRUS.MAX,53:14,88.6,69.5547,0.52,0.0166,0.59,0.9255,0.03,0.9089,0.99,0.4933,0.33,0.4667,0.95,0.1693,0.79,0.1667,0.01,0.2,0.01,0.4877,0.82,0.4321,0.07,0.1985,0.76,0.2,0.99,0.1605,0.99
4,DEPAUL,CAIN.ELI,COLEMAN-LANDS.JALEN,GAGE.DEVIN,OLUJOBI.FEMI,STRUS.MAX,48:32,91.12,72.8833,0.9,0.1877,0.97,1.1304,0.92,0.9427,0.98,0.5183,0.63,0.3537,0.34,0.1427,0.98,0.2917,0.53,0.2805,0.1,0.4583,0.97,0.5417,0.01,0.2267,0.98,0.3404,0.03,0.2778,0.87
5,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,45:58,83.36,72.6756,0.89,0.1709,0.97,1.0317,0.45,0.8608,0.99,0.5522,0.93,0.3881,0.61,0.1919,0.34,0.2051,0.02,0.2836,0.12,0.4167,0.99,0.4167,0.13,0.1622,0.14,0.2391,0.94,0.1944,0.99
6,DEPAUL,CAIN.ELI,OLUJOBI.FEMI,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,41:59,74.16,67.8049,0.29,0.2034,0.98,1.2675,0.99,1.0642,0.31,0.5625,0.95,0.2857,0.05,0.2157,0.05,0.4839,0.99,0.6964,0.99,0.4683,0.95,0.4127,0.16,0.108,0.01,0.2564,0.85,0.1746,0.99
7,DEPAUL,BUTZ.JAYLEN,CAIN.ELI,OLUJOBI.FEMI,SHREINER.LYRIK,STRUS.MAX,29:38,52.4,69.7379,0.56,-0.0458,0.31,0.8779,0.01,0.9236,0.99,0.475,0.11,0.325,0.15,0.2863,0.01,0.28,0.43,0.25,0.03,0.4302,0.99,0.4419,0.04,0.2258,0.98,0.3667,0.01,0.3023,0.71
8,DEPAUL,BUTZ.JAYLEN,GAGE.DEVIN,REED.PAUL,SHREINER.LYRIK,STRUS.MAX,28:13,47.28,69.3714,0.49,0.0028,0.54,1.2267,0.99,1.2239,0.01,0.5595,0.94,0.2619,0.02,0.2327,0.01,0.5,0.99,0.2857,0.13,0.7083,0.01,0.4722,0.01,0.2207,0.96,0.125,0.99,0.3056,0.69
9,DEPAUL,BUTZ.JAYLEN,GAGE.DEVIN,OLUJOBI.FEMI,SHREINER.LYRIK,STRUS.MAX,24:04,42.96,72.7,0.89,-0.3548,0.01,0.9777,0.14,1.3324,0.01,0.4595,0.04,0.2703,0.02,0.2328,0.01,0.3636,0.98,0.2432,0.01,0.6538,0.01,0.359,0.66,0.1129,0.01,0.2632,0.8,0.3077,0.68
