,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,GEORGETOWN,GOVAN.JESSIE,830:44,1504.48,72.3884,0.87,0.0391,0.67,1.1034,0.85,1.0643,0.31,0.5311,0.77,0.3748,0.54,0.1848,0.5,0.3006,0.63,0.3772,0.82,0.5114,0.45,0.3944,0.28,0.154,0.07,0.2548,0.87,0.2715,0.89
1,GEORGETOWN,AKINJO.JAMES,829:25,1501.28,72.3571,0.87,0.0169,0.59,1.0777,0.72,1.0608,0.33,0.5089,0.5,0.3862,0.6,0.1785,0.6,0.2817,0.44,0.3959,0.89,0.505,0.54,0.3995,0.24,0.1636,0.16,0.2737,0.69,0.3037,0.7
2,GEORGETOWN,LEBLANC.JOSH,652:57,1175.52,72.8969,0.9,0.084,0.82,1.0982,0.84,1.0142,0.71,0.5253,0.7,0.3791,0.57,0.1948,0.27,0.3113,0.73,0.3698,0.78,0.4975,0.67,0.4087,0.18,0.1674,0.22,0.2228,0.98,0.2907,0.81
3,GEORGETOWN,PICKETT.JAMORKO,627:05,1150.12,73.4915,0.93,0.0311,0.67,1.0555,0.62,1.0244,0.63,0.5101,0.53,0.3874,0.61,0.1913,0.34,0.2812,0.44,0.3714,0.79,0.496,0.71,0.4083,0.18,0.1681,0.23,0.2607,0.83,0.2883,0.82
4,GEORGETOWN,MCCLUNG.MAC,588:22,1090.96,73.4435,0.93,0.0306,0.67,1.0715,0.69,1.0409,0.48,0.5038,0.44,0.3513,0.32,0.1888,0.39,0.3168,0.77,0.3666,0.77,0.5155,0.39,0.4205,0.12,0.1769,0.36,0.249,0.89,0.2616,0.93
5,GEORGETOWN,MALINOWSKI.GREG,454:18,838.8,73.3938,0.92,0.08,0.78,1.1111,0.88,1.0311,0.56,0.5393,0.84,0.4263,0.81,0.1836,0.51,0.3058,0.67,0.3505,0.63,0.4842,0.84,0.3894,0.34,0.1608,0.12,0.2489,0.91,0.3534,0.35
6,GEORGETOWN,MOSELY.JAGAN,438:19,772.36,72.2849,0.86,0.0952,0.84,1.1264,0.92,1.0312,0.56,0.5365,0.8,0.3841,0.6,0.1774,0.62,0.3026,0.64,0.3795,0.83,0.5103,0.47,0.4258,0.11,0.1628,0.14,0.2181,0.99,0.2893,0.82
7,GEORGETOWN,MOURNING.TREY,359:49,647.76,72.1092,0.85,0.0012,0.54,1.0359,0.48,1.0346,0.54,0.5095,0.51,0.3864,0.6,0.1883,0.39,0.258,0.24,0.339,0.55,0.5079,0.52,0.4621,0.01,0.1748,0.33,0.2786,0.61,0.2469,0.97
8,GEORGETOWN,BLAIR.JAHVON,333:00,609.2,72.5646,0.89,0.1016,0.86,1.1917,0.99,1.0902,0.19,0.584,0.99,0.456,0.92,0.1641,0.87,0.2812,0.44,0.41,0.93,0.5135,0.43,0.4255,0.11,0.1469,0.03,0.2594,0.83,0.3385,0.44
9,GEORGETOWN,JOHNSON.KALEB,322:36,572.4,72.6609,0.89,0.0198,0.59,1.1111,0.88,1.0913,0.18,0.5101,0.53,0.3935,0.66,0.1695,0.79,0.3235,0.83,0.3753,0.81,0.518,0.35,0.3968,0.27,0.1573,0.1,0.2483,0.91,0.3527,0.35
10,GEORGETOWN,CARTER.GRAYSON,51:22,99.52,78.0863,0.99,0.061,0.75,0.9747,0.14,0.9137,0.99,0.4688,0.07,0.4375,0.86,0.1809,0.58,0.2281,0.08,0.4125,0.94,0.4315,0.99,0.3836,0.39,0.2309,0.99,0.2642,0.79,0.5479,0.01
11,GEORGETOWN,MURESAN.GEORGE,02:12,3.2,62.0,0.01,1.25,0.99,1.25,0.99,0.0,0.99,0.0,0.01,0.0,0.01,0.0,0.99,0.5,0.99,2.5,0.99,0.0,0.99,0.3333,0.87,0.0,0.01,0.0,0.99,0.0,0.99
12,GEORGETOWN,ROBINSON.JADEN,02:12,3.2,62.0,0.01,1.25,0.99,1.25,0.99,0.0,0.99,0.0,0.01,0.0,0.01,0.0,0.99,0.5,0.99,2.5,0.99,0.0,0.99,0.3333,0.87,0.0,0.01,0.0,0.99,0.0,0.99
