,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,666:33,1208.88,72.1393,0.85,-0.0081,0.49,1.0754,0.71,1.0835,0.22,0.5105,0.53,0.3788,0.57,0.182,0.55,0.2922,0.54,0.3778,0.82,0.5147,0.41,0.3859,0.37,0.1559,0.08,0.2788,0.61,0.2795,0.87
1,GEORGETOWN,AKINJO.JAMES,PICKETT.JAMORKO,535:08,981.52,73.2501,0.92,0.0054,0.54,1.0321,0.45,1.0267,0.61,0.4956,0.36,0.3864,0.6,0.1895,0.37,0.2694,0.32,0.3889,0.87,0.4912,0.77,0.4035,0.22,0.1667,0.21,0.272,0.7,0.2859,0.83
2,GEORGETOWN,GOVAN.JESSIE,PICKETT.JAMORKO,520:45,949.24,73.1062,0.92,0.0457,0.71,1.0819,0.74,1.0362,0.52,0.5221,0.68,0.3776,0.56,0.1865,0.46,0.2781,0.41,0.3854,0.86,0.4946,0.71,0.3923,0.32,0.165,0.18,0.2752,0.66,0.2804,0.86
3,GEORGETOWN,GOVAN.JESSIE,MCCLUNG.MAC,490:59,907.72,72.9861,0.91,0.03,0.63,1.0851,0.77,1.0552,0.37,0.5178,0.61,0.3544,0.36,0.1884,0.39,0.3151,0.76,0.3465,0.62,0.5263,0.25,0.4184,0.13,0.167,0.21,0.2391,0.94,0.2316,0.99
4,GEORGETOWN,AKINJO.JAMES,LEBLANC.JOSH,484:17,871.2,72.5289,0.89,0.0461,0.71,1.0767,0.72,1.0305,0.57,0.5014,0.43,0.371,0.5,0.1882,0.39,0.3023,0.64,0.3905,0.88,0.4987,0.66,0.3899,0.34,0.1663,0.21,0.2434,0.93,0.3004,0.73
5,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,483:41,874.96,72.8381,0.9,0.0531,0.73,1.0903,0.79,1.0372,0.51,0.5233,0.69,0.3621,0.44,0.1943,0.27,0.3202,0.81,0.3553,0.69,0.5113,0.45,0.3853,0.37,0.1595,0.11,0.2173,0.99,0.276,0.87
6,GEORGETOWN,AKINJO.JAMES,MCCLUNG.MAC,461:31,855.8,72.9423,0.91,0.0016,0.54,1.0785,0.72,1.0769,0.25,0.5021,0.43,0.352,0.32,0.1788,0.6,0.3084,0.7,0.3771,0.82,0.525,0.26,0.4256,0.11,0.1684,0.23,0.2736,0.69,0.2545,0.95
7,GEORGETOWN,LEBLANC.JOSH,PICKETT.JAMORKO,365:26,660.6,73.0893,0.92,0.0661,0.75,1.0672,0.69,1.0011,0.8,0.5119,0.54,0.3638,0.45,0.1953,0.25,0.3009,0.63,0.3473,0.62,0.4894,0.8,0.3996,0.24,0.1753,0.34,0.24,0.94,0.2852,0.83
8,GEORGETOWN,MCCLUNG.MAC,PICKETT.JAMORKO,355:09,659.48,73.4175,0.93,0.0135,0.59,1.0326,0.45,1.0191,0.68,0.4945,0.34,0.3474,0.28,0.1971,0.23,0.2982,0.61,0.3529,0.66,0.5062,0.53,0.4411,0.04,0.1771,0.37,0.2569,0.85,0.2179,0.99
9,GEORGETOWN,LEBLANC.JOSH,MCCLUNG.MAC,333:41,607.88,73.2036,0.92,0.0676,0.75,1.0676,0.69,1.0001,0.8,0.4971,0.38,0.3307,0.18,0.1941,0.27,0.3301,0.87,0.3444,0.59,0.4951,0.71,0.4008,0.24,0.1784,0.39,0.2298,0.96,0.2607,0.93
10,GEORGETOWN,GOVAN.JESSIE,MALINOWSKI.GREG,312:33,573.2,72.4538,0.88,0.0858,0.82,1.1305,0.92,1.0447,0.45,0.543,0.87,0.4109,0.76,0.1797,0.58,0.3173,0.78,0.3774,0.82,0.4824,0.87,0.3595,0.65,0.14,0.01,0.2426,0.93,0.3244,0.55
11,GEORGETOWN,LEBLANC.JOSH,MALINOWSKI.GREG,288:07,527.6,74.15,0.95,0.1333,0.95,1.1164,0.9,0.983,0.9,0.5575,0.94,0.423,0.8,0.2047,0.15,0.3143,0.76,0.3218,0.39,0.482,0.87,0.4077,0.19,0.1703,0.26,0.2043,0.99,0.3131,0.64
12,GEORGETOWN,LEBLANC.JOSH,MOSELY.JAGAN,277:35,486.64,72.1617,0.85,0.1107,0.89,1.1384,0.95,1.0277,0.6,0.5415,0.86,0.392,0.64,0.187,0.46,0.3034,0.66,0.392,0.88,0.5164,0.37,0.4416,0.04,0.156,0.09,0.1868,0.99,0.2804,0.86
13,GEORGETOWN,AKINJO.JAMES,MOURNING.TREY,270:47,479.6,71.2504,0.78,0.0016,0.54,1.0342,0.47,1.0326,0.55,0.5078,0.49,0.374,0.54,0.1856,0.48,0.2424,0.13,0.3636,0.74,0.4953,0.71,0.4545,0.02,0.168,0.22,0.2939,0.4,0.2611,0.93
14,GEORGETOWN,AKINJO.JAMES,MALINOWSKI.GREG,262:46,492.4,73.8779,0.95,0.0324,0.67,1.0946,0.82,1.0623,0.32,0.5223,0.68,0.4218,0.8,0.1807,0.58,0.2954,0.6,0.397,0.89,0.4886,0.8,0.3561,0.67,0.1683,0.23,0.284,0.54,0.404,0.12
15,GEORGETOWN,GOVAN.JESSIE,MOSELY.JAGAN,258:46,452.88,72.4186,0.88,0.1014,0.86,1.188,0.99,1.0866,0.21,0.5784,0.98,0.3568,0.37,0.1789,0.6,0.3125,0.74,0.4108,0.93,0.5308,0.22,0.4028,0.22,0.135,0.01,0.2099,0.99,0.2441,0.97
16,GEORGETOWN,MALINOWSKI.GREG,MOSELY.JAGAN,256:41,449.28,71.2406,0.78,0.119,0.89,1.1285,0.92,1.0095,0.74,0.5499,0.92,0.4066,0.74,0.1781,0.6,0.3227,0.82,0.2864,0.13,0.4911,0.77,0.4337,0.07,0.1643,0.18,0.2249,0.98,0.2934,0.79
