,TEAM,TEAM A,TEAM B,TEAM C,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,PICKETT.JAMORKO,463:40,846.48,72.9296,0.91,0.0132,0.59,1.0561,0.63,1.043,0.46,0.5051,0.47,0.383,0.59,0.1878,0.42,0.2774,0.4,0.3904,0.88,0.4926,0.74,0.3897,0.34,0.1627,0.14,0.2822,0.55,0.2855,0.83
1,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MCCLUNG.MAC,409:04,759.36,72.798,0.9,-0.0083,0.49,1.068,0.69,1.0763,0.25,0.5055,0.47,0.3464,0.28,0.1844,0.5,0.3091,0.71,0.3433,0.58,0.5336,0.19,0.4203,0.12,0.1673,0.22,0.2645,0.79,0.225,0.99
2,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,380:50,689.32,72.6505,0.89,-0.0061,0.49,1.0576,0.63,1.0636,0.31,0.4974,0.38,0.3679,0.49,0.1886,0.39,0.3079,0.7,0.3506,0.63,0.5221,0.31,0.365,0.6,0.1621,0.14,0.2385,0.94,0.2818,0.86
3,GEORGETOWN,GOVAN.JESSIE,MCCLUNG.MAC,PICKETT.JAMORKO,324:55,599.8,73.1136,0.92,0.0039,0.54,1.0387,0.5,1.0348,0.54,0.501,0.43,0.3563,0.37,0.1984,0.21,0.2963,0.6,0.3441,0.59,0.5156,0.39,0.4288,0.09,0.1728,0.29,0.2568,0.85,0.2066,0.99
4,GEORGETOWN,AKINJO.JAMES,MCCLUNG.MAC,PICKETT.JAMORKO,322:35,602.2,73.4534,0.93,-0.0072,0.49,1.0179,0.33,1.0252,0.62,0.4858,0.21,0.3522,0.34,0.1943,0.27,0.2904,0.53,0.3644,0.74,0.5039,0.58,0.4364,0.06,0.174,0.33,0.2667,0.77,0.2153,0.99
5,GEORGETOWN,AKINJO.JAMES,LEBLANC.JOSH,PICKETT.JAMORKO,313:07,569.04,73.0914,0.92,0.0208,0.63,1.0245,0.39,1.0038,0.78,0.4903,0.28,0.3627,0.44,0.1968,0.24,0.2837,0.46,0.3562,0.7,0.4907,0.78,0.3889,0.34,0.1774,0.37,0.245,0.92,0.2798,0.87
6,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,PICKETT.JAMORKO,309:16,558.16,72.7871,0.9,0.0368,0.67,1.075,0.71,1.0381,0.5,0.5107,0.53,0.3562,0.37,0.1845,0.5,0.2964,0.6,0.3519,0.65,0.5104,0.47,0.382,0.39,0.1748,0.33,0.2465,0.91,0.2818,0.86
7,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,MCCLUNG.MAC,270:50,490.6,72.6874,0.89,0.0797,0.78,1.0864,0.77,1.0068,0.76,0.5072,0.49,0.3294,0.17,0.1916,0.34,0.3429,0.93,0.3341,0.51,0.5036,0.58,0.4,0.24,0.1692,0.25,0.22,0.99,0.231,0.99
8,GEORGETOWN,AKINJO.JAMES,LEBLANC.JOSH,MCCLUNG.MAC,260:49,476.12,72.9046,0.91,0.0259,0.63,1.0712,0.69,1.0453,0.44,0.4889,0.25,0.3259,0.15,0.1827,0.53,0.3266,0.84,0.3654,0.76,0.5123,0.44,0.4074,0.19,0.1739,0.3,0.2594,0.83,0.2617,0.93
9,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MALINOWSKI.GREG,198:12,373.68,73.2162,0.92,-0.0127,0.43,1.0865,0.77,1.0992,0.15,0.5129,0.55,0.4258,0.81,0.1793,0.58,0.3065,0.68,0.3935,0.89,0.4935,0.73,0.3235,0.91,0.1452,0.02,0.2932,0.4,0.3725,0.25
10,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,197:37,364.8,74.2619,0.95,0.1147,0.89,1.102,0.84,0.9872,0.89,0.549,0.92,0.4085,0.75,0.2029,0.18,0.3257,0.84,0.3105,0.3,0.4786,0.88,0.3618,0.63,0.1609,0.12,0.2021,0.99,0.3191,0.59
11,GEORGETOWN,LEBLANC.JOSH,MCCLUNG.MAC,PICKETT.JAMORKO,193:48,355.56,73.6622,0.94,0.0189,0.59,1.0322,0.45,1.0133,0.71,0.4802,0.16,0.3201,0.13,0.1941,0.27,0.3191,0.8,0.3267,0.43,0.5098,0.49,0.4314,0.08,0.183,0.48,0.2389,0.94,0.2026,0.99
12,GEORGETOWN,AKINJO.JAMES,MOURNING.TREY,PICKETT.JAMORKO,175:35,318.52,72.9874,0.91,-0.0171,0.43,0.9607,0.08,0.9778,0.92,0.4749,0.1,0.3861,0.6,0.1884,0.39,0.2256,0.07,0.3205,0.38,0.4786,0.88,0.4662,0.01,0.1749,0.33,0.2784,0.61,0.2598,0.94
13,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MOURNING.TREY,170:44,303.08,70.7765,0.71,0.0203,0.63,1.0822,0.75,1.0619,0.33,0.5363,0.8,0.3669,0.48,0.1815,0.55,0.259,0.24,0.3306,0.46,0.5,0.64,0.4409,0.04,0.1608,0.12,0.3214,0.11,0.2079,0.99
14,GEORGETOWN,AKINJO.JAMES,MCCLUNG.MAC,MOURNING.TREY,167:23,298.48,70.4479,0.69,-0.0561,0.29,1.062,0.64,1.1182,0.07,0.5359,0.8,0.3625,0.44,0.191,0.37,0.2708,0.34,0.2669,0.05,0.5238,0.29,0.4542,0.02,0.1622,0.14,0.3418,0.03,0.1978,0.99
15,GEORGETOWN,AKINJO.JAMES,LEBLANC.JOSH,MALINOWSKI.GREG,165:50,306.96,75.2194,0.97,0.0678,0.75,1.0946,0.82,1.0268,0.61,0.5292,0.75,0.4047,0.73,0.1987,0.21,0.32,0.81,0.3268,0.43,0.4923,0.74,0.3577,0.66,0.1658,0.19,0.2346,0.95,0.3462,0.38
16,GEORGETOWN,LEBLANC.JOSH,MALINOWSKI.GREG,MOSELY.JAGAN,161:19,282.92,72.1292,0.85,0.1418,0.96,1.0957,0.82,0.9539,0.96,0.5485,0.92,0.4177,0.79,0.2085,0.1,0.3185,0.79,0.2869,0.13,0.4898,0.8,0.4672,0.01,0.1713,0.27,0.1645,0.99,0.2582,0.94
17,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,MOSELY.JAGAN,160:29,285.6,73.15,0.92,0.0707,0.78,1.1555,0.97,1.0848,0.22,0.5596,0.94,0.3574,0.38,0.1926,0.31,0.3259,0.84,0.383,0.84,0.5428,0.13,0.4047,0.21,0.1335,0.01,0.1733,0.99,0.2529,0.95
18,GEORGETOWN,GOVAN.JESSIE,MALINOWSKI.GREG,MOSELY.JAGAN,154:43,262.68,69.839,0.58,0.1557,0.97,1.1954,0.99,1.0397,0.49,0.5764,0.98,0.3843,0.6,0.1751,0.65,0.352,0.97,0.3144,0.33,0.498,0.67,0.4098,0.18,0.1309,0.01,0.2,0.99,0.2336,0.99
19,GEORGETOWN,GOVAN.JESSIE,MCCLUNG.MAC,MOURNING.TREY,150:19,272.28,71.6533,0.83,-0.0557,0.29,1.0834,0.75,1.1391,0.03,0.5439,0.88,0.3684,0.5,0.1836,0.51,0.2619,0.27,0.2719,0.06,0.5517,0.07,0.4587,0.01,0.1697,0.25,0.3185,0.14,0.1983,0.99
20,GEORGETOWN,MCCLUNG.MAC,MOURNING.TREY,PICKETT.JAMORKO,141:33,255.84,72.1589,0.85,-0.0078,0.49,1.0084,0.3,1.0163,0.69,0.5023,0.43,0.3474,0.28,0.1915,0.34,0.2558,0.22,0.2864,0.13,0.4933,0.73,0.4753,0.01,0.1859,0.53,0.3008,0.31,0.2332,0.99
