,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MCCLUNG.MAC,PICKETT.JAMORKO,300:44,557.4,73.0347,0.92,-0.0069,0.49,1.0226,0.36,1.0295,0.58,0.4902,0.28,0.3573,0.38,0.1956,0.25,0.2924,0.54,0.3486,0.63,0.5084,0.5,0.4286,0.09,0.171,0.26,0.2626,0.81,0.2059,0.99
1,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,PICKETT.JAMORKO,275:43,498.68,72.6982,0.89,-0.0033,0.49,1.0407,0.52,1.0441,0.45,0.4927,0.31,0.368,0.5,0.1905,0.37,0.2913,0.53,0.3559,0.69,0.513,0.44,0.3726,0.51,0.1757,0.34,0.249,0.89,0.2783,0.87
2,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MCCLUNG.MAC,223:19,407.04,72.5883,0.89,0.0297,0.63,1.0662,0.68,1.0365,0.52,0.4929,0.31,0.3229,0.15,0.1843,0.5,0.3301,0.87,0.3314,0.48,0.5201,0.32,0.4023,0.22,0.174,0.3,0.2475,0.91,0.2241,0.99
3,GEORGETOWN,AKINJO.JAMES,LEBLANC.JOSH,MCCLUNG.MAC,PICKETT.JAMORKO,180:33,333.92,73.8889,0.95,-0.0147,0.43,1.0062,0.29,1.0209,0.68,0.475,0.11,0.3286,0.16,0.1947,0.27,0.2971,0.61,0.3321,0.49,0.5157,0.39,0.4266,0.11,0.1842,0.51,0.2455,0.92,0.1993,0.99
4,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,MCCLUNG.MAC,PICKETT.JAMORKO,173:43,314.72,72.9017,0.91,0.0101,0.59,1.039,0.51,1.0289,0.59,0.4796,0.15,0.3259,0.15,0.1938,0.3,0.3293,0.86,0.3259,0.42,0.5219,0.32,0.4197,0.12,0.1804,0.43,0.239,0.94,0.1898,0.99
5,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MCCLUNG.MAC,MOURNING.TREY,137:26,246.0,70.8905,0.72,-0.0537,0.29,1.0732,0.7,1.1269,0.05,0.5407,0.85,0.3589,0.39,0.1911,0.34,0.2807,0.43,0.2392,0.01,0.5402,0.15,0.4554,0.02,0.1628,0.14,0.3228,0.11,0.1786,0.99
6,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,126:01,237.52,75.2889,0.97,0.0052,0.54,1.0568,0.63,1.0515,0.4,0.5146,0.57,0.4195,0.79,0.1937,0.3,0.3145,0.76,0.2829,0.11,0.5025,0.59,0.2995,0.98,0.1605,0.12,0.2377,0.94,0.3553,0.34
7,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MOURNING.TREY,PICKETT.JAMORKO,125:08,224.76,71.8912,0.84,0.0258,0.63,1.0233,0.37,0.9975,0.83,0.5082,0.5,0.3804,0.57,0.1869,0.46,0.2358,0.1,0.2935,0.17,0.473,0.91,0.4363,0.06,0.1692,0.25,0.3047,0.28,0.2402,0.98
8,GEORGETOWN,AKINJO.JAMES,MCCLUNG.MAC,MOURNING.TREY,PICKETT.JAMORKO,124:49,225.32,71.8839,0.84,-0.0315,0.34,0.9941,0.23,1.0256,0.62,0.4973,0.38,0.3583,0.39,0.1953,0.25,0.2566,0.23,0.2834,0.12,0.4875,0.82,0.46,0.01,0.177,0.36,0.3167,0.15,0.22,0.99
9,GEORGETOWN,GOVAN.JESSIE,MCCLUNG.MAC,MOURNING.TREY,PICKETT.JAMORKO,115:59,206.36,71.3948,0.78,-0.0453,0.31,1.0176,0.33,1.0629,0.32,0.5175,0.61,0.3684,0.5,0.1938,0.3,0.2424,0.13,0.2573,0.03,0.522,0.32,0.4451,0.03,0.1812,0.45,0.3048,0.28,0.2143,0.99
