,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MCCLUNG.MAC,PICKETT.JAMORKO,164:31,299.96,72.9902,0.91,-0.0115,0.43,1.0168,0.33,1.0283,0.59,0.4744,0.1,0.3346,0.2,0.1934,0.3,0.3101,0.72,0.3307,0.46,0.5212,0.32,0.4192,0.12,0.1809,0.43,0.245,0.92,0.1885,0.99
1,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,MCCLUNG.MAC,MOURNING.TREY,PICKETT.JAMORKO,107:38,190.72,70.8636,0.72,-0.0389,0.34,1.0015,0.26,1.0403,0.48,0.5062,0.48,0.3688,0.5,0.1992,0.21,0.2609,0.27,0.2375,0.01,0.5029,0.59,0.4386,0.05,0.1752,0.34,0.3069,0.25,0.2047,0.99
2,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,PICKETT.JAMORKO,70:40,135.96,76.4114,0.98,0.0095,0.54,1.0591,0.64,1.0496,0.41,0.5263,0.71,0.4298,0.82,0.1839,0.51,0.2647,0.29,0.2982,0.2,0.4953,0.71,0.2804,0.99,0.1825,0.48,0.2687,0.75,0.3925,0.16
3,GEORGETOWN,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,MCCLUNG.MAC,MOSELY.JAGAN,29:54,53.04,74.7862,0.96,0.2271,0.99,1.0935,0.81,0.8664,0.99,0.5476,0.91,0.4286,0.82,0.2262,0.02,0.3478,0.95,0.381,0.84,0.4444,0.99,0.3778,0.44,0.1625,0.14,0.1034,0.99,0.2222,0.99
4,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,MOSELY.JAGAN,28:46,49.08,74.6286,0.96,-0.08,0.19,1.0391,0.51,1.1191,0.07,0.4694,0.08,0.4082,0.75,0.1834,0.51,0.375,0.99,0.1429,0.01,0.5729,0.01,0.375,0.48,0.1444,0.01,0.1786,0.99,0.2083,0.99
5,GEORGETOWN,AKINJO.JAMES,BLAIR.JAHVON,GOVAN.JESSIE,LEBLANC.JOSH,PICKETT.JAMORKO,27:24,42.48,63.9111,0.01,-0.0808,0.19,1.1064,0.86,1.1872,0.01,0.5152,0.58,0.3939,0.66,0.1883,0.39,0.3,0.63,0.5152,0.99,0.5606,0.04,0.3636,0.62,0.1826,0.48,0.3,0.33,0.6061,0.01
6,GEORGETOWN,BLAIR.JAHVON,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,MOSELY.JAGAN,23:13,39.84,68.7304,0.4,0.3111,0.99,1.255,0.99,0.9439,0.98,0.6667,0.99,0.4242,0.8,0.251,0.01,0.4444,0.99,0.3333,0.5,0.5,0.64,0.5758,0.01,0.1531,0.06,0.1,0.99,0.1515,0.99
7,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,JOHNSON.KALEB,MCCLUNG.MAC,PICKETT.JAMORKO,23:11,44.04,75.9304,0.98,0.0972,0.84,1.0445,0.55,0.9473,0.97,0.5645,0.95,0.3871,0.61,0.2498,0.01,0.2778,0.4,0.5161,0.99,0.4444,0.99,0.4444,0.04,0.0924,0.01,0.0952,0.99,0.3333,0.49
8,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MALINOWSKI.GREG,MCCLUNG.MAC,19:43,36.84,76.5053,0.99,0.2465,0.99,1.1672,0.98,0.9208,0.99,0.5469,0.9,0.3125,0.1,0.2172,0.04,0.4706,0.99,0.3438,0.58,0.4483,0.98,0.3103,0.96,0.1674,0.22,0.2222,0.98,0.3793,0.22
9,GEORGETOWN,AKINJO.JAMES,GOVAN.JESSIE,LEBLANC.JOSH,MCCLUNG.MAC,MOSELY.JAGAN,18:53,35.28,74.8444,0.96,-0.1725,0.03,1.4172,0.99,1.5898,0.01,0.6452,0.99,0.2581,0.02,0.085,0.99,0.2857,0.48,0.3871,0.87,0.7667,0.01,0.4,0.24,0.1247,0.01,0.4545,0.01,0.2333,0.99
