,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,MINNESOTA,COFFEY.AMIR,949:10,1606.72,67.5945,0.27,0.0634,0.75,1.0786,0.72,1.0152,0.69,0.4901,0.28,0.2886,0.06,0.1668,0.84,0.328,0.84,0.4308,0.98,0.4918,0.77,0.3331,0.87,0.1756,0.34,0.2625,0.81,0.3204,0.59
1,MINNESOTA,MURPHY.JORDAN,861:10,1442.56,66.5143,0.13,0.1167,0.89,1.1175,0.9,1.0008,0.8,0.5048,0.46,0.2903,0.06,0.1678,0.82,0.3574,0.98,0.4202,0.96,0.4827,0.87,0.3404,0.82,0.1738,0.3,0.2561,0.85,0.3387,0.44
2,MINNESOTA,KALSCHEUR.GABE,840:57,1397.96,66.1724,0.08,0.0782,0.78,1.0766,0.72,0.9983,0.82,0.4945,0.34,0.3045,0.09,0.1753,0.65,0.332,0.87,0.4071,0.93,0.4851,0.83,0.3467,0.76,0.1788,0.39,0.2696,0.74,0.3091,0.66
3,MINNESOTA,MCBRAYER.DUPREE,833:22,1411.0,67.7215,0.28,0.0351,0.67,1.0687,0.69,1.0336,0.54,0.4983,0.4,0.2926,0.06,0.1736,0.7,0.3153,0.76,0.4241,0.97,0.5055,0.54,0.3266,0.9,0.1703,0.26,0.2595,0.83,0.3299,0.52
4,MINNESOTA,OTURU.DANIEL,632:25,1036.28,65.5063,0.06,0.0197,0.59,1.0422,0.54,1.0225,0.65,0.4671,0.07,0.2673,0.02,0.1891,0.37,0.3729,0.99,0.4031,0.91,0.4905,0.78,0.3255,0.91,0.1664,0.21,0.269,0.74,0.2952,0.78
5,MINNESOTA,WASHINGTON.ISAIAH,416:27,730.0,69.6365,0.54,-0.0113,0.43,1.0493,0.58,1.0606,0.33,0.47,0.08,0.2853,0.05,0.1877,0.42,0.3652,0.98,0.4457,0.99,0.504,0.57,0.314,0.95,0.1656,0.19,0.2973,0.35,0.3237,0.56
6,MINNESOTA,CURRY.ERIC,264:55,434.84,66.4576,0.11,-0.1118,0.13,0.9981,0.25,1.1099,0.1,0.4776,0.12,0.3221,0.15,0.1702,0.77,0.2456,0.15,0.381,0.84,0.5446,0.11,0.3622,0.63,0.165,0.19,0.2913,0.42,0.2887,0.82
7,MINNESOTA,STULL.BROCK,242:10,396.64,65.7653,0.07,-0.1218,0.1,0.9656,0.1,1.0874,0.2,0.4434,0.02,0.2704,0.02,0.2143,0.06,0.3409,0.92,0.4906,0.99,0.5125,0.44,0.2936,0.99,0.1528,0.06,0.3158,0.15,0.2715,0.89
8,MINNESOTA,STOCKMAN.MATZ,213:33,374.2,69.8028,0.58,0.0963,0.84,1.0903,0.79,0.994,0.84,0.5231,0.69,0.3003,0.08,0.1897,0.37,0.3081,0.7,0.429,0.98,0.4623,0.97,0.305,0.97,0.1842,0.51,0.3088,0.22,0.3302,0.51
9,MINNESOTA,HURT.MICHAEL,173:22,295.36,68.6798,0.39,-0.0892,0.19,0.9988,0.25,1.088,0.2,0.4453,0.02,0.3086,0.1,0.193,0.31,0.3533,0.97,0.3672,0.77,0.507,0.52,0.3134,0.95,0.1506,0.05,0.3473,0.02,0.2218,0.99
10,MINNESOTA,OMERSA.JARVIS,156:03,276.64,71.2821,0.78,-0.199,0.01,0.8892,0.01,1.0882,0.2,0.4265,0.01,0.3033,0.09,0.2313,0.01,0.3041,0.66,0.5024,0.99,0.5333,0.19,0.3208,0.93,0.1826,0.48,0.3043,0.28,0.2875,0.82
11,MINNESOTA,RUDRUD.BRADY,03:37,6.0,91.7333,0.99,-1.2887,0.01,0.0,0.01,1.2887,0.01,0.0,0.01,0.3333,0.19,0.6667,0.01,0.3333,0.88,0.0,0.01,0.5833,0.01,0.3333,0.87,0.1289,0.01,0.25,0.89,0.6667,0.01
12,MINNESOTA,CONROY.HUNT,01:47,3.0,137.6,0.99,-1.8041,0.01,0.0,0.01,1.8041,0.01,0.0,0.01,0.0,0.01,0.6667,0.01,0.5,0.99,0.0,0.01,0.8333,0.01,0.6667,0.01,0.0,0.01,0.0,0.99,0.6667,0.01
