,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,512:47,863.56,67.2344,0.22,0.1241,0.92,1.114,0.89,0.9899,0.88,0.5189,0.63,0.3041,0.09,0.1575,0.92,0.3144,0.76,0.4041,0.91,0.4873,0.82,0.3451,0.77,0.1714,0.27,0.2301,0.96,0.3254,0.54
1,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MURPHY.JORDAN,OTURU.DANIEL,376:45,628.92,66.4,0.1,0.1075,0.86,1.0955,0.82,0.9881,0.89,0.491,0.3,0.2729,0.03,0.1733,0.7,0.3768,0.99,0.3914,0.88,0.4854,0.83,0.3398,0.83,0.1808,0.43,0.2419,0.93,0.3125,0.64
2,MINNESOTA,COFFEY.AMIR,MCBRAYER.DUPREE,MURPHY.JORDAN,OTURU.DANIEL,353:32,594.96,67.1343,0.19,0.1515,0.97,1.1244,0.92,0.9729,0.93,0.5115,0.54,0.275,0.04,0.1698,0.79,0.3676,0.98,0.4019,0.9,0.4753,0.9,0.3313,0.88,0.1712,0.27,0.2226,0.98,0.3272,0.53
3,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MCBRAYER.DUPREE,OTURU.DANIEL,337:14,560.92,66.6849,0.15,0.0994,0.84,1.0839,0.75,0.9845,0.9,0.4919,0.3,0.2764,0.04,0.1694,0.79,0.3524,0.97,0.3923,0.89,0.4893,0.8,0.3326,0.88,0.1813,0.45,0.2349,0.95,0.2961,0.77
4,MINNESOTA,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,OTURU.DANIEL,324:07,539.08,66.1284,0.08,0.1193,0.89,1.0945,0.82,0.9752,0.92,0.4948,0.34,0.2866,0.05,0.167,0.84,0.3597,0.98,0.3808,0.84,0.4875,0.82,0.3364,0.85,0.1823,0.48,0.2348,0.95,0.2955,0.78
5,MINNESOTA,COFFEY.AMIR,CURRY.ERIC,MCBRAYER.DUPREE,MURPHY.JORDAN,142:17,236.16,66.3099,0.1,-0.0452,0.31,1.0544,0.61,1.0996,0.15,0.4896,0.26,0.3472,0.28,0.1609,0.9,0.2677,0.31,0.4611,0.99,0.5498,0.08,0.3731,0.49,0.1577,0.1,0.25,0.89,0.2786,0.87
6,MINNESOTA,COFFEY.AMIR,CURRY.ERIC,KALSCHEUR.GABE,MURPHY.JORDAN,139:07,225.8,65.8072,0.07,0.0227,0.63,1.085,0.77,1.0624,0.32,0.5103,0.53,0.3436,0.26,0.1329,0.99,0.2459,0.15,0.359,0.71,0.5605,0.04,0.3789,0.43,0.19,0.63,0.233,0.95,0.2579,0.94
7,MINNESOTA,COFFEY.AMIR,CURRY.ERIC,KALSCHEUR.GABE,MCBRAYER.DUPREE,137:45,225.0,66.3766,0.1,-0.0438,0.31,1.0578,0.63,1.1015,0.14,0.4947,0.34,0.3211,0.14,0.1467,0.97,0.25,0.17,0.3947,0.89,0.5578,0.05,0.3668,0.59,0.148,0.04,0.2222,0.98,0.2362,0.98
8,MINNESOTA,CURRY.ERIC,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,124:17,204.6,66.3161,0.1,0.025,0.63,1.1046,0.85,1.0796,0.24,0.5257,0.7,0.36,0.41,0.1417,0.98,0.2569,0.23,0.3714,0.79,0.5462,0.1,0.3699,0.55,0.1598,0.11,0.2165,0.99,0.2832,0.85
9,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MURPHY.JORDAN,WASHINGTON.ISAIAH,99:01,170.8,68.8889,0.41,0.2015,0.98,1.1885,0.99,0.9871,0.89,0.4873,0.23,0.293,0.06,0.1405,0.98,0.4227,0.99,0.4459,0.99,0.4888,0.8,0.3806,0.42,0.1998,0.77,0.2529,0.88,0.4104,0.1
10,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MURPHY.JORDAN,STOCKMAN.MATZ,92:55,157.68,68.0696,0.32,0.2337,0.99,1.1923,0.99,0.9586,0.95,0.5714,0.97,0.3083,0.1,0.1649,0.87,0.2973,0.61,0.3534,0.67,0.4058,0.99,0.3406,0.82,0.1544,0.07,0.2959,0.38,0.3696,0.26
11,MINNESOTA,COFFEY.AMIR,MCBRAYER.DUPREE,MURPHY.JORDAN,STOCKMAN.MATZ,90:06,150.0,66.6933,0.15,0.2541,0.99,1.2133,0.99,0.9592,0.95,0.55,0.93,0.2692,0.02,0.14,0.99,0.3108,0.72,0.3846,0.85,0.4286,0.99,0.3016,0.98,0.1932,0.68,0.3023,0.3,0.381,0.22
12,MINNESOTA,COFFEY.AMIR,MCBRAYER.DUPREE,MURPHY.JORDAN,WASHINGTON.ISAIAH,85:07,149.64,70.4659,0.69,0.2486,0.99,1.2229,0.99,0.9744,0.93,0.5123,0.55,0.2869,0.05,0.1403,0.98,0.3766,0.99,0.6639,0.99,0.438,0.99,0.2893,0.99,0.1668,0.21,0.2738,0.69,0.5041,0.01
13,MINNESOTA,COFFEY.AMIR,MURPHY.JORDAN,OTURU.DANIEL,WASHINGTON.ISAIAH,80:39,139.88,68.94,0.42,0.2445,0.99,1.1939,0.99,0.9494,0.96,0.5039,0.44,0.2326,0.01,0.193,0.3,0.5065,0.99,0.4031,0.91,0.4174,0.99,0.3486,0.75,0.1619,0.13,0.2308,0.96,0.4771,0.01
14,MINNESOTA,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,STOCKMAN.MATZ,72:45,120.84,66.4111,0.11,0.2864,0.99,1.2082,0.99,0.9219,0.99,0.6134,0.99,0.2887,0.06,0.1738,0.7,0.2549,0.2,0.3711,0.79,0.395,0.99,0.34,0.83,0.1861,0.54,0.3117,0.19,0.46,0.01
15,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MCBRAYER.DUPREE,STOCKMAN.MATZ,71:50,122.4,69.4197,0.5,0.2654,0.99,1.1683,0.98,0.9029,0.99,0.6,0.99,0.3263,0.16,0.1961,0.24,0.24,0.13,0.3684,0.78,0.402,0.99,0.3431,0.78,0.1935,0.68,0.274,0.69,0.402,0.13
16,MINNESOTA,KALSCHEUR.GABE,MURPHY.JORDAN,OTURU.DANIEL,WASHINGTON.ISAIAH,68:01,114.6,65.5882,0.06,0.1042,0.86,1.082,0.75,0.9779,0.92,0.4393,0.01,0.2897,0.06,0.2094,0.07,0.5075,0.99,0.3738,0.8,0.454,0.98,0.3333,0.87,0.1753,0.34,0.2321,0.95,0.4023,0.13
17,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,OTURU.DANIEL,WASHINGTON.ISAIAH,67:23,111.36,65.0746,0.04,-0.0367,0.34,1.0417,0.53,1.0784,0.24,0.43,0.01,0.25,0.01,0.1706,0.77,0.4091,0.99,0.44,0.99,0.5169,0.37,0.4157,0.15,0.1782,0.39,0.2727,0.7,0.3483,0.38
18,MINNESOTA,COFFEY.AMIR,MCBRAYER.DUPREE,OTURU.DANIEL,WASHINGTON.ISAIAH,57:25,101.28,71.3825,0.78,0.1173,0.89,1.1157,0.9,0.9984,0.82,0.5298,0.75,0.25,0.01,0.1777,0.62,0.3469,0.95,0.4405,0.99,0.4121,0.99,0.2747,0.99,0.0979,0.01,0.25,0.89,0.4286,0.05
