,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,OTURU.DANIEL,307:53,513.56,66.5511,0.13,0.1218,0.92,1.1021,0.84,0.9803,0.91,0.5011,0.43,0.2819,0.05,0.1636,0.88,0.3531,0.97,0.3833,0.85,0.4904,0.78,0.3325,0.88,0.1811,0.45,0.228,0.96,0.299,0.74
1,MINNESOTA,COFFEY.AMIR,CURRY.ERIC,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,116:13,191.16,66.3931,0.1,-0.0156,0.43,1.0776,0.72,1.0932,0.18,0.5062,0.48,0.3457,0.27,0.1412,0.98,0.25,0.17,0.3951,0.89,0.5576,0.05,0.3697,0.55,0.1547,0.07,0.2198,0.99,0.2606,0.93
2,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MCBRAYER.DUPREE,MURPHY.JORDAN,STOCKMAN.MATZ,63:03,104.76,66.6413,0.15,0.2709,0.99,1.2123,0.99,0.9414,0.98,0.6118,0.99,0.3059,0.09,0.1718,0.75,0.25,0.17,0.3412,0.57,0.3889,0.99,0.3333,0.87,0.1617,0.13,0.2879,0.49,0.4333,0.04
3,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MURPHY.JORDAN,OTURU.DANIEL,WASHINGTON.ISAIAH,46:57,78.88,66.9043,0.17,0.0509,0.73,1.0776,0.72,1.0267,0.61,0.4342,0.01,0.2368,0.01,0.1902,0.37,0.5,0.99,0.3553,0.69,0.4914,0.77,0.4138,0.16,0.1867,0.54,0.2162,0.99,0.431,0.04
4,MINNESOTA,COFFEY.AMIR,MCBRAYER.DUPREE,MURPHY.JORDAN,OTURU.DANIEL,WASHINGTON.ISAIAH,29:37,51.68,73.4897,0.93,0.5379,0.99,1.4125,0.99,0.8746,0.99,0.6333,0.99,0.2444,0.01,0.1741,0.67,0.5217,0.99,0.4889,0.99,0.3191,0.99,0.2979,0.98,0.1093,0.01,0.2564,0.85,0.5745,0.01
5,MINNESOTA,COFFEY.AMIR,MCBRAYER.DUPREE,MURPHY.JORDAN,STOCKMAN.MATZ,WASHINGTON.ISAIAH,21:36,36.8,69.9429,0.6,0.2948,0.99,1.25,0.99,0.9552,0.96,0.4429,0.01,0.2286,0.01,0.0543,0.99,0.375,0.99,0.5714,0.99,0.5167,0.37,0.2,0.99,0.2729,0.99,0.3529,0.01,0.2,0.99
6,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MURPHY.JORDAN,OTURU.DANIEL,STULL.BROCK,20:43,34.48,68.88,0.41,0.1428,0.96,1.1021,0.84,0.9593,0.95,0.4815,0.17,0.2222,0.01,0.232,0.01,0.4211,0.99,0.6296,0.99,0.3824,0.99,0.3235,0.91,0.1744,0.33,0.4348,0.01,0.2941,0.78
7,MINNESOTA,COFFEY.AMIR,KALSCHEUR.GABE,MURPHY.JORDAN,STOCKMAN.MATZ,WASHINGTON.ISAIAH,20:31,36.6,74.44,0.95,0.2781,0.99,1.2295,0.99,0.9514,0.96,0.5147,0.57,0.3235,0.15,0.1366,0.99,0.4091,0.99,0.4412,0.99,0.4143,0.99,0.4286,0.09,0.1321,0.01,0.28,0.6,0.3143,0.63
8,MINNESOTA,COFFEY.AMIR,CURRY.ERIC,MCBRAYER.DUPREE,MURPHY.JORDAN,WASHINGTON.ISAIAH,16:35,30.48,69.3,0.49,0.0009,0.54,1.0827,0.75,1.0817,0.23,0.4318,0.01,0.3636,0.45,0.1969,0.24,0.3333,0.88,0.7727,0.99,0.525,0.28,0.35,0.74,0.2003,0.78,0.3333,0.06,0.45,0.02
9,MINNESOTA,COFFEY.AMIR,CURRY.ERIC,MCBRAYER.DUPREE,OTURU.DANIEL,WASHINGTON.ISAIAH,14:16,26.2,71.2,0.78,-0.5397,0.01,0.687,0.01,1.2267,0.01,0.381,0.01,0.0952,0.01,0.1908,0.37,0.1538,0.01,0.2381,0.01,0.5217,0.32,0.2174,0.99,0.0846,0.01,0.3333,0.06,0.2609,0.93
