,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,NORTH CAROLINA,MAYE.LUKE,WILLIAMS.KENNY,761:05,1440.16,75.3156,0.97,0.149,0.96,1.1402,0.95,0.9912,0.87,0.5235,0.69,0.3784,0.57,0.1673,0.82,0.3472,0.95,0.3041,0.25,0.5067,0.53,0.4247,0.11,0.1775,0.37,0.2126,0.99,0.2649,0.92
1,NORTH CAROLINA,JOHNSON.CAMERON,MAYE.LUKE,735:26,1394.36,75.4329,0.97,0.206,0.98,1.1575,0.97,0.9515,0.96,0.5304,0.76,0.3901,0.62,0.1621,0.89,0.348,0.96,0.295,0.18,0.4789,0.88,0.4368,0.06,0.1771,0.37,0.2166,0.99,0.2537,0.95
2,NORTH CAROLINA,MAYE.LUKE,WHITE.COBY,707:04,1352.36,75.8665,0.98,0.1563,0.97,1.1498,0.96,0.9936,0.85,0.5279,0.73,0.3867,0.6,0.1664,0.84,0.3476,0.95,0.3075,0.27,0.5068,0.53,0.4271,0.1,0.1753,0.34,0.2027,0.99,0.2805,0.86
3,NORTH CAROLINA,JOHNSON.CAMERON,WILLIAMS.KENNY,701:21,1326.24,75.2251,0.97,0.1972,0.97,1.174,0.98,0.9768,0.92,0.5349,0.79,0.3869,0.6,0.1538,0.95,0.3448,0.94,0.312,0.31,0.4941,0.71,0.4225,0.12,0.177,0.37,0.2187,0.99,0.2584,0.94
4,NORTH CAROLINA,WHITE.COBY,WILLIAMS.KENNY,691:20,1301.88,74.8619,0.96,0.1549,0.97,1.1576,0.97,1.0026,0.79,0.5314,0.77,0.3867,0.6,0.1605,0.9,0.3384,0.91,0.3032,0.23,0.5131,0.43,0.4203,0.12,0.1744,0.33,0.2056,0.99,0.272,0.88
5,NORTH CAROLINA,JOHNSON.CAMERON,WHITE.COBY,662:52,1250.76,74.9909,0.97,0.1976,0.97,1.1729,0.98,0.9753,0.92,0.5368,0.8,0.4048,0.73,0.1575,0.92,0.3459,0.94,0.2914,0.16,0.4971,0.67,0.4262,0.11,0.1811,0.45,0.2135,0.99,0.2698,0.9
6,NORTH CAROLINA,BROOKS.GARRISON,WILLIAMS.KENNY,571:39,1065.68,74.0764,0.95,0.1563,0.97,1.1542,0.97,0.9979,0.83,0.5516,0.93,0.3558,0.36,0.1698,0.79,0.3398,0.91,0.26,0.04,0.5092,0.49,0.4164,0.13,0.183,0.48,0.2126,0.99,0.2653,0.91
7,NORTH CAROLINA,BROOKS.GARRISON,JOHNSON.CAMERON,539:29,1006.56,74.0824,0.95,0.236,0.99,1.1644,0.98,0.9283,0.99,0.5538,0.94,0.3809,0.57,0.1649,0.87,0.34,0.92,0.2459,0.02,0.4795,0.88,0.4159,0.15,0.2051,0.86,0.2151,0.99,0.2603,0.93
8,NORTH CAROLINA,BROOKS.GARRISON,WHITE.COBY,539:00,1004.88,73.8345,0.95,0.2269,0.99,1.1783,0.98,0.9513,0.96,0.5579,0.94,0.3837,0.59,0.1602,0.9,0.334,0.89,0.2503,0.03,0.4919,0.77,0.4286,0.09,0.1899,0.61,0.1996,0.99,0.2596,0.94
9,NORTH CAROLINA,BROOKS.GARRISON,MAYE.LUKE,531:05,1002.52,74.968,0.97,0.1854,0.97,1.1521,0.96,0.9667,0.95,0.5469,0.9,0.3605,0.41,0.1686,0.8,0.3402,0.92,0.26,0.04,0.4945,0.71,0.438,0.05,0.1822,0.48,0.2036,0.99,0.2457,0.97
