,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,NORTH CAROLINA,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,502:57,955.68,75.5171,0.98,0.1928,0.97,1.1845,0.99,0.9917,0.87,0.5353,0.8,0.3922,0.65,0.1517,0.95,0.3579,0.98,0.2816,0.11,0.5057,0.54,0.4363,0.06,0.1702,0.26,0.2041,0.99,0.2459,0.97
1,NORTH CAROLINA,BROOKS.GARRISON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,408:34,773.16,74.4627,0.95,0.1771,0.97,1.1692,0.98,0.9921,0.86,0.5493,0.92,0.3732,0.54,0.1591,0.9,0.3455,0.94,0.231,0.01,0.5105,0.47,0.4309,0.09,0.173,0.29,0.1925,0.99,0.2444,0.97
2,NORTH CAROLINA,BROOKS.GARRISON,JOHNSON.CAMERON,WHITE.COBY,WILLIAMS.KENNY,399:33,747.12,73.8145,0.95,0.2099,0.98,1.1886,0.99,0.9787,0.92,0.5571,0.94,0.3857,0.6,0.1446,0.98,0.3351,0.89,0.2114,0.01,0.505,0.57,0.4288,0.09,0.1847,0.51,0.206,0.99,0.2351,0.98
3,NORTH CAROLINA,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WILLIAMS.KENNY,388:40,732.56,74.5278,0.96,0.1941,0.97,1.1685,0.98,0.9744,0.93,0.5461,0.9,0.3792,0.57,0.1543,0.94,0.3486,0.96,0.2182,0.01,0.5,0.64,0.44,0.04,0.1781,0.39,0.2027,0.99,0.2283,0.99
4,NORTH CAROLINA,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,376:04,716.6,75.2553,0.97,0.2378,0.99,1.1945,0.99,0.9567,0.96,0.5596,0.94,0.3875,0.61,0.1479,0.97,0.3437,0.94,0.2086,0.01,0.5,0.64,0.4404,0.04,0.1805,0.43,0.1823,0.99,0.2245,0.99
5,NORTH CAROLINA,LITTLE.NASSIR,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,167:34,314.48,75.8707,0.98,0.057,0.73,1.1384,0.95,1.0814,0.23,0.4908,0.28,0.4029,0.71,0.1844,0.5,0.3886,0.99,0.4286,0.97,0.5357,0.18,0.4098,0.18,0.1536,0.06,0.2278,0.96,0.3421,0.41
6,NORTH CAROLINA,JOHNSON.CAMERON,LITTLE.NASSIR,WHITE.COBY,WILLIAMS.KENNY,145:11,266.48,74.3007,0.95,0.2103,0.98,1.2646,0.99,1.0544,0.38,0.5278,0.73,0.4145,0.78,0.1576,0.92,0.4122,0.99,0.5,0.99,0.5,0.64,0.417,0.13,0.147,0.03,0.2517,0.88,0.3404,0.42
7,NORTH CAROLINA,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WILLIAMS.KENNY,141:17,268.4,76.2156,0.98,0.1733,0.97,1.1513,0.96,0.978,0.92,0.4662,0.07,0.4262,0.81,0.1565,0.92,0.3856,0.99,0.4641,0.99,0.4723,0.91,0.4553,0.02,0.145,0.02,0.2244,0.98,0.2894,0.82
8,NORTH CAROLINA,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WHITE.COBY,140:41,261.08,75.0114,0.97,0.1948,0.97,1.1759,0.98,0.9811,0.91,0.4764,0.11,0.4421,0.87,0.1724,0.72,0.4183,0.99,0.4592,0.99,0.4624,0.97,0.4469,0.03,0.1515,0.06,0.2333,0.95,0.3319,0.51
9,NORTH CAROLINA,JOHNSON.CAMERON,MAYE.LUKE,WILLIAMS.KENNY,WOODS.SEVENTH,89:11,164.76,75.9191,0.98,0.1727,0.97,1.0682,0.69,0.8955,0.99,0.465,0.06,0.3776,0.56,0.1699,0.79,0.3448,0.94,0.3776,0.82,0.4533,0.98,0.4267,0.11,0.1849,0.51,0.2421,0.93,0.2133,0.99
