,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,NORTHWESTERN,LAW.VIC,567:07,1027.92,65.6578,0.06,0.0683,0.75,1.0137,0.32,0.9454,0.97,0.4774,0.12,0.3975,0.69,0.1741,0.67,0.3043,0.66,0.3395,0.55,0.4592,0.97,0.3338,0.87,0.192,0.65,0.24,0.94,0.3109,0.66
1,NORTHWESTERN,PARDON.DERERK,535:38,948.56,65.2979,0.05,0.015,0.59,0.9973,0.25,0.9823,0.9,0.4665,0.07,0.3837,0.59,0.1666,0.84,0.305,0.67,0.3033,0.23,0.4711,0.92,0.3244,0.91,0.1842,0.51,0.2527,0.88,0.317,0.61
2,NORTHWESTERN,TURNER.AJ,473:58,839.4,66.3611,0.1,0.0482,0.71,1.0222,0.36,0.9739,0.93,0.4873,0.23,0.3909,0.62,0.1763,0.63,0.3018,0.63,0.3329,0.49,0.473,0.91,0.3262,0.9,0.189,0.61,0.2464,0.91,0.3131,0.64
3,NORTHWESTERN,TAYLOR.RYAN,467:32,832.44,65.4869,0.06,0.0632,0.75,1.0235,0.37,0.9603,0.95,0.4838,0.19,0.409,0.75,0.1814,0.55,0.3256,0.84,0.3188,0.36,0.4661,0.96,0.3194,0.93,0.1837,0.49,0.231,0.96,0.342,0.41
4,NORTHWESTERN,GAINES.ANTHONY,442:10,780.08,66.1611,0.08,0.079,0.78,1.0012,0.26,0.9222,0.99,0.4866,0.22,0.3728,0.52,0.1782,0.6,0.2633,0.29,0.3665,0.77,0.4373,0.99,0.3153,0.94,0.1833,0.49,0.2425,0.93,0.3171,0.61
5,NORTHWESTERN,KOPP.MILLER,240:07,427.28,64.53,0.02,-0.0192,0.43,1.0181,0.34,1.0372,0.51,0.464,0.06,0.3846,0.6,0.1545,0.94,0.362,0.98,0.2159,0.01,0.5278,0.24,0.3194,0.93,0.2132,0.92,0.2656,0.78,0.2847,0.85
6,NORTHWESTERN,BENSON.BARRET,172:06,306.08,66.8512,0.16,0.0709,0.78,0.9115,0.02,0.8406,0.99,0.4486,0.03,0.3951,0.67,0.2352,0.01,0.3061,0.68,0.3374,0.53,0.4256,0.99,0.3349,0.86,0.2083,0.88,0.1883,0.99,0.2837,0.85
7,NORTHWESTERN,NANCE.PETE,126:30,219.36,68.0444,0.32,0.1973,0.97,1.0667,0.68,0.8695,0.99,0.5351,0.8,0.3626,0.44,0.2279,0.01,0.3265,0.84,0.4035,0.91,0.439,0.99,0.3415,0.81,0.2102,0.9,0.2,0.99,0.3232,0.56
8,NORTHWESTERN,GREER.RYAN,109:38,197.44,64.6752,0.02,0.0699,0.75,0.9471,0.05,0.8772,0.99,0.4371,0.01,0.3657,0.47,0.2229,0.02,0.4272,0.99,0.2914,0.16,0.4538,0.98,0.3529,0.72,0.2064,0.87,0.1505,0.99,0.3445,0.4
9,NORTHWESTERN,FALZON.AARON,95:55,164.2,62.5684,0.01,-0.0754,0.22,0.8343,0.01,0.9098,0.99,0.3625,0.01,0.4312,0.83,0.1157,0.99,0.2828,0.44,0.1875,0.01,0.4509,0.98,0.3125,0.95,0.188,0.57,0.1807,0.99,0.2232,0.99
10,NORTHWESTERN,ASH.JORDAN,61:07,104.6,68.3934,0.36,0.1289,0.92,0.9847,0.18,0.8558,0.99,0.4643,0.06,0.369,0.5,0.1721,0.72,0.2679,0.31,0.4762,0.99,0.5,0.64,0.2568,0.99,0.2788,0.99,0.2326,0.95,0.3378,0.45
11,NORTHWESTERN,BAKER.GEO,07:52,21.76,62.1714,0.01,0.5515,0.99,0.5515,0.01,0.0,0.99,0.25,0.01,0.3333,0.19,0.2757,0.01,1.0,0.99,0.2222,0.01,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
12,NORTHWESTERN,BOLTON.RASIR,06:55,18.88,62.9333,0.01,0.9534,0.99,0.9534,0.06,0.0,0.99,0.381,0.01,0.3333,0.19,0.1059,0.99,1.0,0.99,0.0952,0.01,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
13,NORTHWESTERN,STEVENS.LAMAR,06:07,20.2,67.3333,0.23,1.0891,0.99,1.0891,0.78,0.0,0.99,0.5,0.42,0.2353,0.01,0.1485,0.97,1.0,0.99,0.2941,0.18,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
14,NORTHWESTERN,WILLIAMS.DA'MONTE,05:39,22.04,88.16,0.99,1.4065,0.99,1.4065,0.99,0.0,0.99,0.7083,0.99,0.1667,0.01,0.1815,0.55,1.0,0.99,1.3333,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
15,NORTHWESTERN,HARRIS.ANTHONY,05:28,17.52,70.08,0.62,1.1416,0.99,1.1416,0.95,0.0,0.99,0.5417,0.86,0.4167,0.78,0.2854,0.01,1.0,0.99,0.6667,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
16,NORTHWESTERN,OMORUYI.EUGENE,05:18,16.76,67.04,0.19,0.5967,0.99,0.5967,0.01,0.0,0.99,0.2692,0.01,0.4615,0.94,0.179,0.6,1.0,0.99,0.3077,0.27,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
17,NORTHWESTERN,WATKINS.MIKE,04:55,14.0,70.0,0.62,0.7143,0.99,0.7143,0.01,0.0,0.99,0.3571,0.01,0.2143,0.01,0.2143,0.06,1.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
18,NORTHWESTERN,FRAZIER.TRENT,04:37,19.2,96.0,0.99,0.7812,0.99,0.7812,0.01,0.0,0.99,0.5,0.42,0.1667,0.01,0.3125,0.01,1.0,0.99,0.4167,0.96,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
19,NORTHWESTERN,REAVES.JOSH,04:35,10.88,54.4,0.01,0.5515,0.99,0.5515,0.01,0.0,0.99,0.3,0.01,0.3,0.08,0.3676,0.01,1.0,0.99,0.2,0.01,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
20,NORTHWESTERN,GARZA.LUKA,04:30,14.64,73.2,0.92,1.0929,0.99,1.0929,0.81,0.0,0.99,0.4545,0.03,0.2727,0.03,0.2049,0.15,1.0,0.99,0.5455,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
21,NORTHWESTERN,DREAD.MYLES,04:06,11.32,56.6,0.01,0.53,0.99,0.53,0.01,0.0,0.99,0.125,0.01,0.5,0.98,0.0883,0.99,1.0,0.99,0.25,0.03,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
22,NORTHWESTERN,HARPER.RON,04:03,12.2,61.0,0.01,0.6557,0.99,0.6557,0.01,0.0,0.99,0.3125,0.01,0.5,0.98,0.2459,0.01,1.0,0.99,0.625,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
23,NORTHWESTERN,MORGAN.JUWAN,03:38,7.88,52.5333,0.01,1.9036,0.99,1.9036,0.99,0.0,0.99,0.8125,0.99,0.375,0.55,0.1269,0.99,1.0,0.99,0.25,0.03,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
24,NORTHWESTERN,DOSUNMU.AYO,03:36,16.08,107.2,0.99,0.9328,0.99,0.9328,0.04,0.0,0.99,0.625,0.99,0.125,0.01,0.3109,0.01,0.0,0.01,0.875,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
25,NORTHWESTERN,BELL.TRAVON,03:32,8.08,53.8667,0.01,1.2376,0.99,1.2376,0.99,0.0,0.99,0.3571,0.01,0.7143,0.99,0.2475,0.01,1.0,0.99,1.0,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
26,NORTHWESTERN,MCCLOSKEY.KYLE,03:31,12.32,82.1333,0.99,0.8929,0.99,0.8929,0.01,0.0,0.99,0.5556,0.94,0.0,0.01,0.2435,0.01,1.0,0.99,0.3333,0.5,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
27,NORTHWESTERN,WIESKAMP.JOE,03:24,7.88,52.5333,0.01,2.0305,0.99,2.0305,0.99,0.0,0.99,0.875,0.99,0.375,0.55,0.0,0.99,1.0,0.99,0.25,0.03,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
28,NORTHWESTERN,WHEELER.JAMARI,03:05,8.76,58.4,0.01,1.2557,0.99,1.2557,0.99,0.0,0.99,0.5625,0.95,0.25,0.01,0.1142,0.99,1.0,0.99,0.5,0.99,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
