,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,NORTHWESTERN,LAW.VIC,PARDON.DERERK,474:13,822.96,65.0262,0.04,0.0349,0.67,1.011,0.31,0.9761,0.92,0.4721,0.08,0.3969,0.68,0.1628,0.89,0.2973,0.61,0.2911,0.16,0.4689,0.95,0.3273,0.89,0.188,0.57,0.2707,0.72,0.3093,0.66
1,NORTHWESTERN,LAW.VIC,TURNER.AJ,396:10,701.56,66.4404,0.11,0.0619,0.75,1.0391,0.51,0.9773,0.92,0.4907,0.28,0.3959,0.67,0.1653,0.85,0.2888,0.51,0.3367,0.52,0.473,0.91,0.3353,0.86,0.1873,0.57,0.2557,0.86,0.3064,0.68
2,NORTHWESTERN,PARDON.DERERK,TURNER.AJ,392:10,680.28,66.0143,0.08,0.0223,0.63,1.0246,0.39,1.0023,0.79,0.4785,0.13,0.3918,0.64,0.1661,0.84,0.2948,0.59,0.3213,0.39,0.4864,0.82,0.3236,0.91,0.1923,0.66,0.2687,0.75,0.3216,0.58
3,NORTHWESTERN,LAW.VIC,TAYLOR.RYAN,387:11,687.28,65.4305,0.06,0.0848,0.82,1.0316,0.45,0.9468,0.97,0.4829,0.18,0.4232,0.8,0.1761,0.63,0.3188,0.79,0.3191,0.37,0.4581,0.97,0.3333,0.87,0.1883,0.59,0.2419,0.93,0.3564,0.34
4,NORTHWESTERN,PARDON.DERERK,TAYLOR.RYAN,385:44,680.12,65.4047,0.06,0.0319,0.67,1.0131,0.32,0.9811,0.91,0.4778,0.12,0.4103,0.76,0.1764,0.63,0.3146,0.76,0.2957,0.18,0.47,0.93,0.3223,0.92,0.1814,0.45,0.25,0.89,0.3471,0.38
5,NORTHWESTERN,GAINES.ANTHONY,LAW.VIC,353:44,614.2,66.2618,0.09,0.1131,0.89,1.0225,0.36,0.9094,0.99,0.4901,0.28,0.3881,0.61,0.171,0.77,0.2595,0.26,0.3564,0.7,0.4227,0.99,0.3263,0.9,0.1801,0.43,0.2601,0.83,0.3242,0.55
6,NORTHWESTERN,GAINES.ANTHONY,PARDON.DERERK,336:43,576.08,65.469,0.06,0.0297,0.63,0.9842,0.18,0.9546,0.96,0.4661,0.07,0.3696,0.5,0.1666,0.84,0.2676,0.31,0.3224,0.4,0.4364,0.99,0.318,0.94,0.1642,0.18,0.2645,0.79,0.318,0.61
7,NORTHWESTERN,TAYLOR.RYAN,TURNER.AJ,317:40,556.64,66.3243,0.1,0.0749,0.78,1.0474,0.55,0.9725,0.93,0.4926,0.31,0.4068,0.74,0.1796,0.58,0.3268,0.84,0.3305,0.46,0.4697,0.94,0.3107,0.96,0.182,0.45,0.2473,0.91,0.3398,0.43
8,NORTHWESTERN,GAINES.ANTHONY,TAYLOR.RYAN,287:40,498.04,65.8927,0.07,0.1009,0.86,1.026,0.41,0.9251,0.99,0.4916,0.3,0.4072,0.74,0.1747,0.67,0.2797,0.42,0.3398,0.55,0.4263,0.99,0.3132,0.95,0.1564,0.09,0.2293,0.96,0.35,0.38
9,NORTHWESTERN,GAINES.ANTHONY,TURNER.AJ,280:49,473.12,66.7143,0.15,0.0684,0.75,1.0209,0.36,0.9525,0.96,0.4857,0.21,0.3672,0.49,0.1712,0.75,0.2489,0.16,0.3854,0.86,0.4429,0.99,0.3299,0.88,0.1736,0.3,0.2695,0.74,0.3223,0.57
10,NORTHWESTERN,KOPP.MILLER,PARDON.DERERK,191:57,339.48,64.8,0.03,-0.0629,0.26,1.0074,0.29,1.0703,0.28,0.467,0.07,0.3805,0.57,0.1414,0.98,0.3218,0.82,0.2107,0.01,0.5274,0.24,0.2996,0.98,0.204,0.85,0.2903,0.43,0.2911,0.81
11,NORTHWESTERN,KOPP.MILLER,LAW.VIC,187:06,340.04,65.1422,0.04,-0.0179,0.43,1.0116,0.32,1.0296,0.58,0.4671,0.07,0.4075,0.74,0.147,0.97,0.3353,0.89,0.2069,0.01,0.5156,0.39,0.3422,0.79,0.2156,0.93,0.2829,0.55,0.2933,0.79
