,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,NORTHWESTERN,MISSING,MISSING,MISSING,MISSING,MISSING,181:41,618.84,68.3801,0.36,0.9566,0.99,0.9566,0.07,0.0,0.99,0.4404,0.01,0.367,0.48,0.1406,0.98,1.0,0.99,0.2954,0.18,0.0,0.99,0.0,0.99,0.0,0.01,0.0,0.99,0.0,0.99
1,NORTHWESTERN,GAINES.ANTHONY,LAW.VIC,PARDON.DERERK,TAYLOR.RYAN,TURNER.AJ,115:43,199.56,67.3113,0.23,0.1617,0.97,1.1325,0.93,0.9708,0.94,0.503,0.44,0.4146,0.78,0.1553,0.94,0.3182,0.79,0.4512,0.99,0.4228,0.99,0.3025,0.98,0.1493,0.05,0.2909,0.43,0.4136,0.09
2,NORTHWESTERN,KOPP.MILLER,LAW.VIC,PARDON.DERERK,TAYLOR.RYAN,TURNER.AJ,76:58,152.56,67.3158,0.23,-0.0011,0.49,1.016,0.33,1.017,0.69,0.4929,0.31,0.4429,0.87,0.177,0.63,0.4032,0.99,0.1714,0.01,0.5488,0.09,0.3171,0.94,0.2906,0.99,0.2903,0.43,0.2561,0.94
3,NORTHWESTERN,GAINES.ANTHONY,KOPP.MILLER,LAW.VIC,PARDON.DERERK,TURNER.AJ,36:01,56.84,64.7556,0.03,0.1062,0.86,1.1612,0.98,1.0549,0.38,0.5472,0.91,0.3208,0.13,0.1056,0.99,0.2333,0.09,0.2075,0.01,0.4727,0.91,0.3091,0.96,0.1842,0.51,0.375,0.01,0.2364,0.98
4,NORTHWESTERN,BENSON.BARRET,GAINES.ANTHONY,LAW.VIC,PARDON.DERERK,TAYLOR.RYAN,30:20,53.08,63.36,0.01,0.0613,0.75,0.8478,0.01,0.7865,0.99,0.4444,0.02,0.4222,0.8,0.2449,0.01,0.3077,0.7,0.1556,0.01,0.3095,0.99,0.3095,0.96,0.1192,0.01,0.2647,0.79,0.2143,0.99
5,NORTHWESTERN,LAW.VIC,NANCE.PETE,PARDON.DERERK,TAYLOR.RYAN,TURNER.AJ,22:19,35.92,65.7455,0.07,0.0151,0.59,1.1414,0.95,1.1264,0.05,0.5625,0.95,0.3333,0.19,0.2227,0.02,0.2667,0.3,0.75,0.99,0.5625,0.04,0.4062,0.2,0.1374,0.01,0.2632,0.8,0.3125,0.64
6,NORTHWESTERN,FALZON.AARON,GAINES.ANTHONY,LAW.VIC,PARDON.DERERK,TAYLOR.RYAN,19:09,34.2,62.9895,0.01,-0.0783,0.22,0.8187,0.01,0.897,0.99,0.3529,0.01,0.5,0.98,0.0877,0.99,0.25,0.17,0.1471,0.01,0.5278,0.24,0.3333,0.87,0.273,0.99,0.1333,0.99,0.3333,0.49
7,NORTHWESTERN,GAINES.ANTHONY,LAW.VIC,NANCE.PETE,PARDON.DERERK,TURNER.AJ,17:39,28.64,68.3294,0.36,-0.0414,0.31,0.9777,0.14,1.019,0.68,0.6053,0.99,0.2105,0.01,0.2793,0.01,0.1111,0.01,0.3158,0.34,0.58,0.01,0.4,0.24,0.1698,0.25,0.0833,0.99,0.04,0.99
8,NORTHWESTERN,FALZON.AARON,KOPP.MILLER,LAW.VIC,PARDON.DERERK,TURNER.AJ,15:09,22.64,61.28,0.01,-0.0561,0.29,1.0159,0.33,1.072,0.27,0.38,0.01,0.4,0.71,0.0,0.99,0.2778,0.4,0.24,0.01,0.5,0.64,0.3182,0.94,0.1286,0.01,0.25,0.89,0.1364,0.99
9,NORTHWESTERN,BENSON.BARRET,GAINES.ANTHONY,LAW.VIC,TAYLOR.RYAN,TURNER.AJ,13:09,24.72,73.5385,0.93,0.6128,0.99,1.1327,0.93,0.5199,0.99,0.5938,0.99,0.4375,0.86,0.1214,0.99,0.0,0.01,0.8125,0.99,0.2368,0.99,0.5263,0.01,0.13,0.01,0.1176,0.99,0.3684,0.27
10,NORTHWESTERN,FALZON.AARON,GAINES.ANTHONY,LAW.VIC,PARDON.DERERK,TURNER.AJ,12:49,20.32,69.0,0.43,-0.2598,0.01,0.689,0.01,0.9488,0.97,0.2619,0.01,0.4762,0.98,0.0984,0.99,0.25,0.17,0.1429,0.01,0.4333,0.99,0.3333,0.87,0.2846,0.99,0.3333,0.06,0.4667,0.01
