,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VCU,JENKINS.DE'RIANTE,312:10,545.36,69.1744,0.45,0.1808,0.97,1.0782,0.72,0.8974,0.99,0.5351,0.8,0.432,0.83,0.2017,0.18,0.3111,0.73,0.3158,0.34,0.446,0.99,0.3678,0.58,0.2529,0.99,0.3286,0.08,0.2966,0.77
1,VCU,EVANS.MARCUS,309:54,559.68,71.7748,0.83,0.2271,0.99,1.0792,0.73,0.8521,0.99,0.5339,0.78,0.4026,0.71,0.184,0.5,0.2714,0.36,0.3764,0.81,0.4205,0.99,0.3802,0.42,0.2658,0.99,0.3242,0.1,0.3364,0.46
2,VCU,VANN.ISSAC,276:52,488.68,70.3246,0.67,0.2278,0.99,1.0498,0.58,0.8219,0.99,0.494,0.33,0.3966,0.68,0.178,0.6,0.2992,0.62,0.3534,0.67,0.4094,0.99,0.3596,0.65,0.2781,0.99,0.3308,0.08,0.315,0.63
3,VCU,SANTOS-SILVA.MARCUS,272:44,470.56,68.9,0.41,0.3051,0.99,1.1454,0.96,0.8403,0.99,0.5515,0.93,0.3844,0.6,0.1658,0.85,0.2958,0.6,0.3744,0.8,0.4134,0.99,0.357,0.67,0.2701,0.99,0.3525,0.01,0.3071,0.68
4,VCU,SIMMS.MIKE'L,220:10,393.08,71.9418,0.84,0.0758,0.78,0.9947,0.23,0.919,0.99,0.5095,0.51,0.481,0.98,0.2137,0.06,0.27,0.34,0.3386,0.55,0.4392,0.99,0.307,0.97,0.231,0.99,0.3318,0.07,0.3404,0.42
5,VCU,DOUGLAS.COREY,200:51,354.12,70.792,0.71,0.1037,0.86,1.011,0.31,0.9073,0.99,0.4916,0.3,0.4175,0.79,0.209,0.1,0.3141,0.76,0.33,0.45,0.4125,0.99,0.3498,0.74,0.2346,0.99,0.3592,0.01,0.3135,0.64
6,VCU,CROWFIELD.MALIK,186:35,322.36,70.5376,0.7,0.1529,0.97,0.9772,0.14,0.8242,0.99,0.502,0.43,0.496,0.98,0.2296,0.01,0.2611,0.27,0.379,0.83,0.4055,0.99,0.2873,0.99,0.2518,0.99,0.3194,0.12,0.2945,0.78
7,VCU,WILLIAMS.VINCE,166:15,302.8,72.0145,0.84,0.0762,0.78,0.9544,0.07,0.8782,0.99,0.4935,0.33,0.4156,0.78,0.2378,0.01,0.2745,0.38,0.4113,0.94,0.4295,0.99,0.3392,0.83,0.2543,0.99,0.3077,0.23,0.4097,0.1
8,VCU,MOBLEY.SEAN,163:08,278.76,67.735,0.28,0.3226,0.99,1.0654,0.67,0.7428,0.99,0.5452,0.89,0.4072,0.74,0.2188,0.03,0.2992,0.62,0.3575,0.7,0.3636,0.99,0.3773,0.44,0.2671,0.99,0.2866,0.5,0.2818,0.86
9,VCU,GILMORE.MICHAEL,99:39,178.12,73.9071,0.95,0.09,0.82,0.9263,0.03,0.8364,0.99,0.5,0.42,0.5385,0.99,0.2807,0.01,0.2805,0.43,0.3692,0.78,0.438,0.99,0.3721,0.51,0.2664,0.99,0.2111,0.99,0.4884,0.01
10,VCU,BYRD.PJ,46:18,78.36,67.6522,0.28,0.1812,0.97,0.8933,0.01,0.7121,0.99,0.5088,0.5,0.5263,0.99,0.2552,0.01,0.2,0.02,0.3333,0.5,0.3475,0.99,0.339,0.84,0.3237,0.99,0.3478,0.02,0.3559,0.34
11,VCU,VANN.ISAAC,44:59,76.56,67.2182,0.22,0.1539,0.97,1.1494,0.96,0.9955,0.83,0.5917,0.99,0.4833,0.98,0.209,0.1,0.2857,0.48,0.4,0.9,0.4113,0.99,0.4194,0.12,0.1262,0.01,0.2727,0.7,0.4516,0.02
12,VCU,RD.PJ,40:48,72.8,73.38,0.92,-0.189,0.02,0.8791,0.01,1.0681,0.3,0.4808,0.16,0.3846,0.6,0.3571,0.01,0.4242,0.99,0.3846,0.85,0.4554,0.98,0.3393,0.83,0.2028,0.8,0.3333,0.06,0.6071,0.01
13,VCU,CURRY.KESHAWN,40:10,71.0,71.76,0.83,-0.0342,0.34,1.0,0.25,1.0342,0.54,0.5385,0.83,0.3654,0.47,0.2535,0.01,0.303,0.66,0.4808,0.99,0.4492,0.98,0.322,0.92,0.1103,0.01,0.2045,0.99,0.5593,0.01
14,VCU,SHEEHY-GUISEPPI.D,04:20,6.88,63.2,0.01,-0.6621,0.01,0.7267,0.01,1.3889,0.01,0.2143,0.01,0.4286,0.82,0.436,0.01,0.6667,0.99,0.2857,0.13,0.625,0.01,0.5,0.01,0.0,0.01,0.0,0.99,1.0,0.01
15,VCU,JACKSON.XAVIER,03:16,6.0,79.2,0.99,-1.2007,0.01,0.5,0.01,1.7007,0.01,0.5,0.42,1.0,0.99,0.6667,0.01,0.5,0.99,0.0,0.01,0.8,0.01,0.6,0.01,0.0,0.01,0.0,0.99,0.4,0.14
