,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,206:26,369.36,70.1748,0.63,0.2711,0.99,1.1425,0.95,0.8714,0.99,0.5564,0.94,0.4107,0.76,0.176,0.65,0.3094,0.71,0.2947,0.18,0.4421,0.99,0.3825,0.39,0.2716,0.99,0.337,0.04,0.2667,0.91
1,VCU,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,197:23,341.56,68.6579,0.39,0.3112,0.99,1.1447,0.96,0.8335,0.99,0.5421,0.87,0.404,0.73,0.164,0.88,0.3125,0.74,0.3333,0.5,0.4257,0.99,0.3551,0.69,0.2898,0.99,0.3667,0.01,0.2283,0.99
2,VCU,EVANS.MARCUS,SANTOS-SILVA.MARCUS,185:49,327.88,70.0497,0.62,0.3653,0.99,1.162,0.98,0.7967,0.99,0.5632,0.95,0.3502,0.31,0.1586,0.91,0.2822,0.44,0.3682,0.78,0.3984,0.99,0.3984,0.26,0.2874,0.99,0.3391,0.04,0.3267,0.53
3,VCU,SANTOS-SILVA.MARCUS,VANN.ISSAC,178:34,307.48,68.427,0.37,0.2834,0.99,1.0993,0.84,0.8159,0.99,0.5018,0.43,0.3919,0.64,0.1398,0.99,0.2865,0.48,0.337,0.52,0.4116,0.99,0.3695,0.55,0.2819,0.99,0.3537,0.01,0.2329,0.99
4,VCU,JENKINS.DE'RIANTE,VANN.ISSAC,176:27,302.12,68.4273,0.37,0.2193,0.98,1.0526,0.61,0.8332,0.99,0.5,0.42,0.4098,0.75,0.1721,0.72,0.2927,0.54,0.2744,0.07,0.4143,0.99,0.3714,0.53,0.2866,0.99,0.3681,0.01,0.2694,0.9
5,VCU,EVANS.MARCUS,VANN.ISSAC,173:42,310.48,71.0382,0.74,0.227,0.99,1.079,0.72,0.852,0.99,0.513,0.55,0.3643,0.46,0.1514,0.95,0.2722,0.36,0.342,0.58,0.4236,0.99,0.4091,0.18,0.2829,0.99,0.3562,0.01,0.3099,0.66
6,VCU,DOUGLAS.COREY,JENKINS.DE'RIANTE,126:47,222.76,69.6254,0.54,0.1596,0.97,1.0953,0.82,0.9357,0.98,0.5201,0.65,0.4322,0.83,0.1751,0.65,0.325,0.84,0.2714,0.06,0.4508,0.98,0.3825,0.39,0.2316,0.99,0.3333,0.06,0.2842,0.85
7,VCU,DOUGLAS.COREY,EVANS.MARCUS,116:17,215.2,72.869,0.9,0.1052,0.86,1.0548,0.61,0.9497,0.96,0.5163,0.6,0.3967,0.68,0.1859,0.48,0.2973,0.61,0.2989,0.2,0.4392,0.99,0.3812,0.4,0.2266,0.98,0.3675,0.01,0.2818,0.86
8,VCU,CROWFIELD.MALIK,SIMMS.MIKE'L,107:50,185.24,71.0355,0.74,0.1098,0.86,0.9825,0.18,0.8727,0.99,0.5401,0.85,0.5328,0.99,0.2429,0.01,0.2073,0.03,0.3358,0.52,0.4088,0.99,0.2529,0.99,0.2207,0.96,0.3304,0.08,0.2647,0.92
9,VCU,DOUGLAS.COREY,VANN.ISSAC,103:43,184.76,72.0854,0.84,0.1703,0.97,1.0175,0.33,0.8473,0.99,0.4632,0.05,0.3681,0.5,0.1786,0.6,0.3271,0.84,0.3313,0.48,0.4183,0.99,0.3595,0.65,0.2949,0.99,0.396,0.01,0.2745,0.88
10,VCU,JENKINS.DE'RIANTE,MOBLEY.SEAN,102:04,178.04,67.8667,0.29,0.3245,0.99,1.0503,0.58,0.7258,0.99,0.5451,0.89,0.4236,0.8,0.2303,0.01,0.3125,0.74,0.2847,0.13,0.375,0.99,0.3864,0.35,0.2856,0.99,0.2766,0.64,0.2424,0.97
11,VCU,EVANS.MARCUS,MOBLEY.SEAN,100:58,174.88,69.672,0.54,0.4004,0.99,1.0979,0.83,0.6975,0.99,0.5612,0.95,0.3885,0.61,0.2059,0.14,0.2911,0.53,0.3741,0.8,0.3407,0.99,0.437,0.05,0.2997,0.99,0.3107,0.2,0.3111,0.65
12,VCU,MOBLEY.SEAN,VANN.ISSAC,98:04,169.96,67.7388,0.28,0.3922,0.99,1.0591,0.64,0.6668,0.99,0.4964,0.37,0.3237,0.15,0.2059,0.14,0.3529,0.97,0.4245,0.97,0.3417,0.99,0.3833,0.39,0.3149,0.99,0.2697,0.74,0.2833,0.85
13,VCU,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,97:09,163.52,66.3505,0.1,0.3809,0.99,1.0886,0.78,0.7076,0.99,0.5556,0.94,0.3333,0.19,0.2202,0.02,0.3243,0.83,0.4603,0.99,0.3548,0.99,0.4274,0.1,0.3033,0.99,0.3158,0.15,0.2984,0.75
