,TEAM,TEAM A,TEAM B,TEAM C,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,139:48,247.6,69.7957,0.56,0.4128,0.99,1.1834,0.99,0.7706,0.99,0.5645,0.95,0.3779,0.56,0.1575,0.92,0.3033,0.66,0.2995,0.21,0.3943,0.99,0.3763,0.45,0.3032,0.99,0.3643,0.01,0.2165,0.99
1,VCU,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,133:51,228.08,68.3248,0.36,0.2786,0.99,1.083,0.75,0.8043,0.99,0.4976,0.38,0.4106,0.76,0.1403,0.98,0.2812,0.44,0.2754,0.07,0.4016,0.99,0.3679,0.58,0.2961,0.99,0.3968,0.01,0.1917,0.99
2,VCU,EVANS.MARCUS,SANTOS-SILVA.MARCUS,VANN.ISSAC,127:32,222.84,69.0772,0.43,0.2568,0.99,1.077,0.72,0.8202,0.99,0.5102,0.53,0.3571,0.38,0.1436,0.98,0.2645,0.29,0.3112,0.3,0.4068,0.99,0.4181,0.13,0.2827,0.99,0.3621,0.01,0.2542,0.95
3,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,VANN.ISSAC,124:42,216.8,69.0774,0.43,0.2419,0.99,1.0978,0.83,0.8559,0.99,0.5227,0.68,0.3788,0.57,0.1476,0.97,0.2821,0.44,0.2273,0.01,0.4209,0.99,0.4068,0.2,0.2837,0.99,0.3894,0.01,0.2373,0.98
4,VCU,DOUGLAS.COREY,EVANS.MARCUS,JENKINS.DE'RIANTE,91:55,164.96,70.7253,0.71,0.1469,0.96,1.1033,0.85,0.9564,0.96,0.5265,0.71,0.3907,0.62,0.1697,0.79,0.3333,0.88,0.2252,0.01,0.4731,0.91,0.4077,0.19,0.2423,0.99,0.3333,0.06,0.2769,0.87
5,VCU,EVANS.MARCUS,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,70:31,120.04,67.6914,0.28,0.424,0.99,1.0913,0.79,0.6674,0.99,0.5526,0.93,0.3474,0.28,0.1833,0.51,0.2632,0.29,0.4316,0.98,0.3352,0.99,0.5165,0.01,0.3166,0.99,0.3151,0.15,0.2967,0.77
6,VCU,DOUGLAS.COREY,JENKINS.DE'RIANTE,VANN.ISSAC,70:31,124.88,70.5714,0.7,0.1655,0.97,1.009,0.3,0.8434,0.99,0.4655,0.06,0.3793,0.57,0.1602,0.9,0.3067,0.68,0.2328,0.01,0.4265,0.99,0.3922,0.32,0.303,0.99,0.403,0.01,0.2255,0.99
7,VCU,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,VANN.ISSAC,68:27,116.24,67.1059,0.19,0.388,0.99,1.0582,0.63,0.6701,0.99,0.4842,0.19,0.3263,0.16,0.1893,0.37,0.3443,0.94,0.4842,0.99,0.3631,0.99,0.4167,0.13,0.3306,0.99,0.2833,0.54,0.2143,0.99
8,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,MOBLEY.SEAN,67:12,119.0,69.397,0.49,0.4664,0.99,1.1008,0.84,0.6345,0.99,0.5657,0.95,0.4343,0.84,0.2101,0.07,0.3019,0.63,0.2525,0.03,0.3242,0.99,0.4066,0.2,0.3084,0.99,0.3077,0.23,0.1868,0.99
9,VCU,JENKINS.DE'RIANTE,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,63:37,108.2,67.6571,0.28,0.3304,0.99,1.0166,0.33,0.6862,0.99,0.5114,0.54,0.3523,0.34,0.2218,0.02,0.3269,0.84,0.3409,0.55,0.3598,0.99,0.4024,0.22,0.3336,0.99,0.3448,0.03,0.2195,0.99
10,VCU,EVANS.MARCUS,MOBLEY.SEAN,VANN.ISSAC,62:12,109.28,68.6194,0.39,0.4102,0.99,1.1255,0.92,0.7154,0.99,0.5215,0.67,0.3226,0.15,0.1647,0.87,0.3214,0.82,0.3978,0.89,0.36,0.99,0.48,0.01,0.3287,0.99,0.3091,0.21,0.3467,0.38
11,VCU,DOUGLAS.COREY,EVANS.MARCUS,VANN.ISSAC,61:37,113.88,73.5213,0.93,0.1847,0.97,1.0274,0.41,0.8427,0.99,0.4854,0.21,0.3398,0.24,0.1581,0.91,0.2923,0.54,0.2621,0.04,0.4158,0.99,0.4,0.24,0.299,0.99,0.4262,0.01,0.2,0.99
12,VCU,JENKINS.DE'RIANTE,MOBLEY.SEAN,VANN.ISSAC,60:30,106.2,68.6267,0.39,0.3378,0.99,0.9699,0.12,0.632,0.99,0.4602,0.05,0.3523,0.34,0.226,0.02,0.3455,0.94,0.3409,0.55,0.3176,0.99,0.3919,0.33,0.3411,0.99,0.3214,0.11,0.2973,0.76
13,VCU,DOUGLAS.COREY,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,57:08,98.68,68.8,0.4,0.4462,0.99,1.2059,0.99,0.7598,0.99,0.543,0.88,0.3978,0.69,0.1317,0.99,0.3208,0.81,0.2366,0.01,0.3941,0.99,0.3882,0.34,0.308,0.99,0.386,0.01,0.1176,0.99
14,VCU,CROWFIELD.MALIK,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,55:50,91.56,68.4509,0.37,0.2573,0.99,1.1468,0.96,0.8895,0.99,0.5422,0.87,0.4337,0.84,0.1857,0.48,0.38,0.99,0.2892,0.14,0.4803,0.88,0.2763,0.99,0.2793,0.99,0.32,0.12,0.2895,0.82
15,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,WILLIAMS.VINCE,50:21,91.44,70.896,0.72,0.3245,0.99,1.2686,0.99,0.9441,0.98,0.6037,0.99,0.3659,0.47,0.1203,0.99,0.2826,0.44,0.3171,0.35,0.5403,0.15,0.4032,0.22,0.3147,0.99,0.3243,0.1,0.3226,0.57
16,VCU,EVANS.MARCUS,VANN.ISSAC,WILLIAMS.VINCE,47:41,82.44,70.3149,0.67,0.1256,0.92,1.116,0.9,0.9903,0.87,0.5274,0.73,0.3699,0.5,0.1334,0.99,0.2653,0.3,0.3562,0.7,0.5308,0.22,0.3846,0.38,0.2657,0.99,0.325,0.1,0.3077,0.68
17,VCU,DOUGLAS.COREY,SANTOS-SILVA.MARCUS,VANN.ISSAC,47:16,83.36,70.8255,0.72,0.3333,0.99,1.0917,0.79,0.7583,0.99,0.5,0.42,0.3947,0.67,0.132,0.99,0.2609,0.27,0.25,0.03,0.3831,0.99,0.3766,0.45,0.313,0.99,0.451,0.01,0.0909,0.99
18,VCU,EVANS.MARCUS,SANTOS-SILVA.MARCUS,SIMMS.MIKE'L,46:40,87.84,74.887,0.96,0.309,0.99,1.1384,0.95,0.8294,0.99,0.5282,0.74,0.3521,0.34,0.1594,0.9,0.2826,0.44,0.507,0.99,0.4098,0.99,0.3607,0.64,0.2962,0.99,0.3617,0.01,0.5738,0.01
19,VCU,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,SIMMS.MIKE'L,46:40,83.52,73.5652,0.93,0.3818,0.99,1.2572,0.99,0.8754,0.99,0.5625,0.95,0.5139,0.99,0.1197,0.99,0.3023,0.64,0.4583,0.99,0.4627,0.97,0.2836,0.99,0.2568,0.99,0.3023,0.3,0.3284,0.52
20,VCU,DOUGLAS.COREY,EVANS.MARCUS,SANTOS-SILVA.MARCUS,46:12,84.16,71.9826,0.84,0.5228,0.99,1.2476,0.99,0.7248,0.99,0.6039,0.99,0.3377,0.22,0.1545,0.94,0.3158,0.76,0.1818,0.01,0.3732,0.99,0.4085,0.18,0.2948,0.99,0.375,0.01,0.1408,0.99
21,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SIMMS.MIKE'L,43:43,81.28,74.7535,0.96,0.2115,0.98,1.1934,0.99,0.9819,0.91,0.5368,0.8,0.5,0.98,0.1353,0.99,0.3182,0.79,0.5441,0.99,0.5086,0.5,0.3448,0.77,0.2644,0.99,0.3333,0.06,0.4483,0.03
22,VCU,CROWFIELD.MALIK,SANTOS-SILVA.MARCUS,VANN.ISSAC,43:22,72.56,67.6279,0.28,0.2375,0.99,1.075,0.71,0.8375,0.99,0.4766,0.11,0.4844,0.98,0.1516,0.95,0.3095,0.71,0.375,0.81,0.4286,0.99,0.2222,0.99,0.2471,0.99,0.3095,0.21,0.1746,0.99
23,VCU,SANTOS-SILVA.MARCUS,SIMMS.MIKE'L,VANN.ISSAC,43:14,79.68,73.8605,0.95,0.1947,0.97,1.0668,0.68,0.8721,0.99,0.4658,0.06,0.4247,0.8,0.1381,0.99,0.3043,0.66,0.3014,0.22,0.4583,0.97,0.2833,0.99,0.2022,0.8,0.1795,0.99,0.3833,0.19
24,VCU,CROWFIELD.MALIK,SIMMS.MIKE'L,WILLIAMS.VINCE,42:19,70.92,68.8,0.41,0.0429,0.71,0.8178,0.01,0.7749,0.99,0.4412,0.01,0.5294,0.99,0.282,0.01,0.2353,0.1,0.3529,0.66,0.3136,0.99,0.2881,0.99,0.2855,0.99,0.3864,0.01,0.4068,0.12
