,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,100:06,173.84,68.432,0.37,0.3032,0.99,1.0815,0.74,0.7783,0.99,0.5159,0.58,0.3822,0.58,0.1438,0.98,0.2609,0.27,0.2293,0.01,0.3767,0.99,0.3973,0.27,0.2852,0.99,0.3918,0.01,0.1918,0.99
1,VCU,EVANS.MARCUS,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,VANN.ISSAC,52:17,89.08,67.4,0.25,0.3824,0.99,1.044,0.55,0.6616,0.99,0.4865,0.22,0.3378,0.22,0.1572,0.92,0.2708,0.34,0.4324,0.98,0.3594,0.99,0.5156,0.01,0.3366,0.99,0.2766,0.64,0.2188,0.99
2,VCU,DOUGLAS.COREY,EVANS.MARCUS,JENKINS.DE'RIANTE,VANN.ISSAC,50:50,92.16,71.952,0.84,0.1753,0.97,1.0417,0.53,0.8664,0.99,0.4889,0.25,0.3333,0.19,0.1411,0.98,0.3091,0.71,0.1556,0.01,0.4459,0.99,0.4324,0.07,0.3078,0.99,0.413,0.01,0.1757,0.99
3,VCU,JENKINS.DE'RIANTE,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,VANN.ISSAC,46:11,79.0,67.1304,0.19,0.3254,0.99,0.962,0.08,0.6366,0.99,0.4338,0.01,0.3529,0.34,0.1899,0.37,0.3333,0.88,0.3676,0.77,0.3417,0.99,0.4167,0.13,0.3581,0.99,0.3721,0.01,0.1667,0.99
4,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,45:46,78.92,69.0844,0.43,0.502,0.99,1.077,0.72,0.575,0.99,0.5373,0.81,0.403,0.71,0.1774,0.62,0.2632,0.29,0.2687,0.05,0.3115,0.99,0.4426,0.04,0.3528,0.99,0.3333,0.06,0.1311,0.99
5,VCU,DOUGLAS.COREY,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,44:45,79.48,71.0182,0.74,0.3525,0.99,1.082,0.75,0.7295,0.99,0.4932,0.33,0.3919,0.64,0.1258,0.99,0.2667,0.3,0.2297,0.01,0.3786,0.99,0.3857,0.37,0.3257,0.99,0.4348,0.01,0.0571,0.99
6,VCU,DOUGLAS.COREY,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,44:10,80.28,71.3273,0.78,0.5031,0.99,1.2207,0.99,0.7176,0.99,0.5946,0.99,0.3378,0.22,0.1619,0.89,0.3243,0.83,0.1622,0.01,0.3864,0.99,0.4091,0.18,0.3001,0.99,0.3409,0.03,0.0909,0.99
7,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,MOBLEY.SEAN,VANN.ISSAC,43:39,77.36,69.5442,0.52,0.4225,0.99,1.06,0.64,0.6375,0.99,0.4926,0.31,0.3824,0.58,0.181,0.58,0.3171,0.78,0.2794,0.09,0.3158,0.99,0.4386,0.05,0.3326,0.99,0.3571,0.01,0.2456,0.97
8,VCU,DOUGLAS.COREY,EVANS.MARCUS,SANTOS-SILVA.MARCUS,VANN.ISSAC,35:25,65.96,72.9829,0.91,0.3953,0.99,1.0916,0.79,0.6962,0.99,0.5417,0.86,0.3333,0.19,0.1516,0.95,0.25,0.17,0.15,0.01,0.3534,0.99,0.4138,0.16,0.3076,0.99,0.4359,0.01,0.069,0.99
9,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,VANN.ISSAC,WILLIAMS.VINCE,28:57,46.08,66.7714,0.15,0.1411,0.96,1.2804,0.99,1.1392,0.03,0.6279,0.99,0.3256,0.15,0.1302,0.99,0.2727,0.36,0.1628,0.01,0.5897,0.01,0.4103,0.17,0.2743,0.99,0.4286,0.01,0.2564,0.94
10,VCU,CROWFIELD.MALIK,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,28:38,46.04,67.9429,0.31,0.2316,0.99,1.1077,0.87,0.8761,0.99,0.4773,0.12,0.5,0.98,0.1303,0.99,0.3548,0.97,0.3636,0.74,0.475,0.91,0.275,0.99,0.3056,0.99,0.36,0.01,0.175,0.99
11,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,WILLIAMS.VINCE,27:47,49.48,71.9407,0.84,0.4942,0.99,1.3339,0.99,0.8396,0.99,0.6829,0.99,0.2927,0.06,0.1415,0.98,0.2609,0.27,0.4146,0.95,0.4865,0.82,0.3243,0.91,0.3568,0.99,0.4091,0.01,0.1622,0.99
12,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,SIMMS.MIKE'L,26:03,50.0,75.7538,0.98,0.4962,0.99,1.28,0.99,0.7838,0.99,0.5488,0.92,0.439,0.86,0.12,0.99,0.32,0.81,0.6098,0.99,0.3857,0.99,0.3143,0.95,0.3094,0.99,0.375,0.01,0.4857,0.01
13,VCU,EVANS.MARCUS,SANTOS-SILVA.MARCUS,VANN.ISSAC,WILLIAMS.VINCE,24:52,41.72,68.9,0.41,0.221,0.99,1.2464,0.99,1.0254,0.62,0.5789,0.98,0.3421,0.26,0.1198,0.99,0.2917,0.53,0.3421,0.58,0.5294,0.22,0.3235,0.91,0.2686,0.99,0.4211,0.01,0.2647,0.92
14,VCU,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,WILLIAMS.VINCE,20:46,32.64,66.28,0.09,0.3373,0.99,1.348,0.99,1.0107,0.73,0.6724,0.99,0.3793,0.57,0.1225,0.99,0.2,0.02,0.2069,0.01,0.4839,0.86,0.3226,0.92,0.2675,0.99,0.5,0.01,0.1935,0.99
