,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,VANN.ISSAC,36:56,63.04,68.7111,0.4,0.4387,0.99,0.9994,0.25,0.5607,0.99,0.4636,0.05,0.4,0.71,0.1586,0.91,0.2571,0.24,0.2909,0.15,0.3,0.99,0.46,0.01,0.3463,0.99,0.3421,0.03,0.12,0.99
1,VCU,DOUGLAS.COREY,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,33:34,63.08,73.3091,0.92,0.3711,0.99,1.0621,0.64,0.6911,0.99,0.5345,0.79,0.3276,0.16,0.1585,0.91,0.2581,0.24,0.1207,0.01,0.3679,0.99,0.4151,0.15,0.311,0.99,0.4,0.01,0.0377,0.99
2,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,WILLIAMS.VINCE,16:18,25.64,64.25,0.02,0.3951,0.99,1.4821,0.99,1.087,0.21,0.7174,0.99,0.3478,0.28,0.117,0.99,0.2727,0.36,0.2609,0.04,0.5208,0.32,0.3333,0.87,0.2717,0.99,0.5385,0.01,0.1667,0.99
3,VCU,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,SIMMS.MIKE'L,VANN.ISSAC,09:26,15.76,74.6667,0.96,-0.1841,0.02,0.8249,0.01,1.009,0.75,0.2941,0.01,0.4118,0.76,0.0635,0.99,0.3333,0.88,0.2353,0.01,0.3571,0.99,0.2857,0.99,0.1121,0.01,0.3333,0.06,0.7857,0.01
4,VCU,CROWFIELD.MALIK,JENKINS.DE'RIANTE,MOBLEY.SEAN,SANTOS-SILVA.MARCUS,VANN.ISSAC,09:15,15.96,68.2667,0.34,-0.134,0.07,0.8145,0.01,0.9485,0.97,0.3077,0.01,0.1538,0.01,0.3133,0.01,0.6,0.99,0.6923,0.99,0.55,0.08,0.2,0.99,0.4065,0.99,0.6,0.01,0.4,0.14
5,VCU,CROWFIELD.MALIK,DOUGLAS.COREY,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISSAC,09:14,12.76,61.6889,0.01,0.2972,0.99,1.0972,0.83,0.8,0.99,0.3667,0.01,0.6,0.99,0.0,0.99,0.3333,0.88,0.2667,0.05,0.5,0.64,0.3333,0.87,0.4,0.99,0.4286,0.01,0.0,0.99
6,VCU,DOUGLAS.COREY,EVANS.MARCUS,JENKINS.DE'RIANTE,VANN.ISSAC,WILLIAMS.VINCE,09:04,14.44,64.8889,0.03,0.021,0.63,0.9695,0.12,0.9485,0.97,0.4375,0.01,0.25,0.01,0.0693,0.99,0.3,0.63,0.0625,0.01,0.6111,0.01,0.5556,0.01,0.4065,0.99,0.3333,0.06,0.4444,0.03
7,VCU,CROWFIELD.MALIK,EVANS.MARCUS,GILMORE.MICHAEL,JENKINS.DE'RIANTE,MOBLEY.SEAN,06:51,12.88,86.2667,0.99,0.3932,0.99,0.9317,0.04,0.5385,0.99,0.625,0.99,0.75,0.99,0.3106,0.01,0.0,0.01,0.25,0.03,0.3182,0.99,0.4545,0.02,0.2308,0.99,0.125,0.99,0.0,0.99
8,VCU,EVANS.MARCUS,SANTOS-SILVA.MARCUS,SIMMS.MIKE'L,VANN.ISSAC,WILLIAMS.VINCE,06:45,12.32,78.4,0.99,-0.0162,0.43,1.0552,0.62,1.0714,0.28,0.4583,0.04,0.25,0.01,0.0812,0.99,0.25,0.17,0.25,0.03,0.6429,0.01,0.2857,0.99,0.2679,0.99,0.25,0.89,0.7143,0.01
9,VCU,DOUGLAS.COREY,EVANS.MARCUS,JENKINS.DE'RIANTE,SANTOS-SILVA.MARCUS,VANN.ISAAC,06:25,9.44,64.0,0.01,0.2535,0.99,1.4831,0.99,1.2295,0.01,0.7222,0.99,0.3333,0.19,0.3178,0.01,0.75,0.99,0.1111,0.01,0.5625,0.04,0.125,0.99,0.1025,0.01,0.2,0.99,0.5,0.01
