,TEAM,TEAM A,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VIRGINIA,GUY.KYLE,1025:29,1534.44,59.7573,0.01,0.3307,0.99,1.2135,0.99,0.8828,0.99,0.5682,0.96,0.3901,0.62,0.1395,0.99,0.3129,0.74,0.2908,0.15,0.426,0.99,0.4111,0.16,0.1852,0.53,0.2632,0.8,0.2414,0.98
1,VIRGINIA,JEROME.TY,944:05,1422.12,60.0314,0.01,0.299,0.99,1.2066,0.99,0.9076,0.99,0.5668,0.96,0.4025,0.71,0.1371,0.99,0.3003,0.63,0.2932,0.17,0.4366,0.99,0.4273,0.1,0.1842,0.51,0.268,0.76,0.2375,0.98
2,VIRGINIA,HUNTER.DE'ANDRE,933:10,1402.76,59.6887,0.01,0.323,0.99,1.2197,0.99,0.8967,0.99,0.5719,0.97,0.3645,0.46,0.1447,0.98,0.3225,0.82,0.303,0.23,0.4255,0.99,0.4218,0.12,0.1802,0.43,0.2727,0.7,0.2345,0.99
3,VIRGINIA,CLARK.KIHEI,754:51,1132.04,60.2239,0.01,0.2859,0.99,1.1687,0.98,0.8828,0.99,0.5613,0.95,0.3783,0.57,0.1564,0.92,0.2887,0.51,0.2975,0.19,0.437,0.99,0.3975,0.27,0.1933,0.68,0.2539,0.87,0.2408,0.98
4,VIRGINIA,KEY.BRAXTON,634:34,962.6,61.012,0.01,0.2916,0.99,1.1531,0.96,0.8616,0.99,0.5327,0.78,0.3845,0.6,0.1402,0.98,0.2863,0.48,0.3452,0.6,0.4198,0.99,0.4012,0.23,0.2079,0.87,0.2658,0.78,0.2988,0.75
5,VIRGINIA,DIAKITE.MAMADI,614:06,931.32,60.7596,0.01,0.3514,0.99,1.18,0.98,0.8287,0.99,0.5585,0.94,0.3583,0.39,0.1503,0.96,0.3067,0.68,0.275,0.07,0.3867,0.99,0.4472,0.03,0.1692,0.25,0.2504,0.89,0.2398,0.98
6,VIRGINIA,SALT.JACK,509:00,755.36,59.1041,0.01,0.2063,0.98,1.1557,0.97,0.9495,0.96,0.5379,0.81,0.3743,0.54,0.1456,0.98,0.3282,0.85,0.2414,0.01,0.4646,0.96,0.4114,0.16,0.1749,0.33,0.2488,0.91,0.2481,0.96
7,VIRGINIA,HUFF.JAY,287:37,444.52,61.8983,0.01,0.3223,0.99,1.244,0.99,0.9218,0.99,0.6211,0.99,0.4,0.71,0.162,0.89,0.2895,0.52,0.2842,0.13,0.4339,0.99,0.4022,0.22,0.1623,0.14,0.208,0.99,0.3802,0.22
8,VIRGINIA,ANTHONY.MARCO,115:59,190.76,67.4017,0.25,0.1956,0.97,1.0746,0.71,0.8791,0.99,0.5229,0.68,0.3922,0.65,0.1887,0.39,0.2472,0.16,0.3529,0.66,0.414,0.99,0.3567,0.67,0.1575,0.1,0.193,0.99,0.4459,0.03
9,VIRGINIA,STATTMANN.KODY,70:22,121.12,71.5771,0.82,0.0439,0.71,1.0485,0.57,1.0046,0.77,0.4737,0.09,0.4211,0.8,0.2229,0.02,0.3492,0.96,0.5053,0.99,0.4559,0.98,0.2941,0.99,0.1236,0.01,0.2055,0.99,0.5882,0.01
10,VIRGINIA,NIXON.JAYDEN,40:09,69.0,71.36,0.78,0.0505,0.73,1.0,0.25,0.9495,0.96,0.4167,0.01,0.4333,0.84,0.1884,0.39,0.3488,0.96,0.4167,0.96,0.4083,0.99,0.2833,0.99,0.1085,0.01,0.234,0.95,0.6333,0.01
11,VIRGINIA,KATSTRA.AUSTIN,26:38,47.48,76.1846,0.98,-0.0768,0.22,0.9899,0.2,1.0667,0.31,0.4714,0.08,0.5143,0.99,0.2527,0.01,0.3043,0.66,0.4857,0.99,0.4773,0.89,0.2273,0.99,0.1164,0.01,0.3,0.33,0.5455,0.01
12,VIRGINIA,BADOCCHI.FRANCESCO,26:28,44.72,72.7692,0.9,-0.1588,0.04,0.9839,0.18,1.1427,0.03,0.4487,0.03,0.4359,0.85,0.2907,0.01,0.4643,0.99,0.3333,0.5,0.5,0.64,0.2791,0.99,0.0401,0.01,0.2258,0.97,0.6279,0.01
13,VIRGINIA,KERSEY.GRANT,15:07,30.84,83.0933,0.99,0.0257,0.63,1.2646,0.99,1.2389,0.01,0.6591,0.99,0.5909,0.99,0.2594,0.01,0.4,0.99,0.5,0.99,0.5385,0.16,0.3077,0.97,0.0953,0.01,0.3333,0.06,0.6538,0.01
