,TEAM,TEAM A,TEAM B,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VIRGINIA,GUY.KYLE,JEROME.TY,845:56,1270.28,59.8589,0.01,0.3327,0.99,1.2304,0.99,0.8977,0.99,0.5746,0.97,0.4101,0.76,0.133,0.99,0.3098,0.71,0.2941,0.18,0.4325,0.99,0.4185,0.13,0.1819,0.45,0.2655,0.78,0.2286,0.99
1,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,837:43,1253.6,59.4409,0.01,0.3442,0.99,1.238,0.99,0.8938,0.99,0.5775,0.98,0.372,0.52,0.142,0.98,0.3333,0.88,0.3012,0.22,0.4241,0.99,0.4114,0.16,0.1783,0.39,0.2745,0.68,0.226,0.99
2,VIRGINIA,HUNTER.DE'ANDRE,JEROME.TY,763:00,1145.04,59.5408,0.01,0.3073,0.99,1.2297,0.99,0.9224,0.99,0.5735,0.97,0.3846,0.6,0.1389,0.99,0.3209,0.81,0.3077,0.27,0.4361,0.99,0.4337,0.07,0.1758,0.34,0.2768,0.64,0.2238,0.99
3,VIRGINIA,CLARK.KIHEI,GUY.KYLE,630:18,935.4,59.6267,0.01,0.3159,0.99,1.1899,0.99,0.874,0.99,0.5709,0.97,0.3924,0.65,0.1518,0.95,0.2949,0.59,0.2873,0.13,0.4355,0.99,0.3833,0.39,0.1962,0.73,0.2599,0.83,0.2285,0.99
4,VIRGINIA,CLARK.KIHEI,HUNTER.DE'ANDRE,555:52,832.24,59.6353,0.01,0.295,0.99,1.1836,0.99,0.8886,0.99,0.5654,0.95,0.3533,0.34,0.1586,0.91,0.3045,0.66,0.3074,0.27,0.4304,0.99,0.3967,0.27,0.1933,0.68,0.2787,0.61,0.2149,0.99
5,VIRGINIA,CLARK.KIHEI,JEROME.TY,547:31,821.52,59.9737,0.01,0.2721,0.99,1.1795,0.98,0.9075,0.99,0.5634,0.95,0.4109,0.76,0.1436,0.98,0.2753,0.38,0.2897,0.14,0.452,0.98,0.4062,0.2,0.1942,0.69,0.2641,0.79,0.2172,0.99
6,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,530:52,802.56,60.5434,0.01,0.3918,0.99,1.2012,0.99,0.8094,0.99,0.5598,0.94,0.3686,0.5,0.142,0.98,0.3174,0.78,0.2737,0.07,0.3771,0.99,0.4492,0.03,0.1709,0.26,0.2587,0.83,0.2212,0.99
7,VIRGINIA,GUY.KYLE,KEY.BRAXTON,523:26,786.92,60.5109,0.01,0.3296,0.99,1.192,0.99,0.8624,0.99,0.5436,0.88,0.4043,0.73,0.1322,0.99,0.3054,0.67,0.3471,0.62,0.4195,0.99,0.388,0.34,0.2112,0.91,0.2751,0.66,0.3023,0.71
8,VIRGINIA,DIAKITE.MAMADI,JEROME.TY,502:23,761.64,60.7394,0.01,0.3677,0.99,1.204,0.99,0.8363,0.99,0.5711,0.97,0.3798,0.57,0.1471,0.97,0.3068,0.68,0.2654,0.05,0.3892,0.99,0.4576,0.01,0.1704,0.26,0.2615,0.82,0.2058,0.99
9,VIRGINIA,GUY.KYLE,SALT.JACK,483:40,713.08,58.9366,0.01,0.2178,0.98,1.1752,0.98,0.9574,0.95,0.5459,0.89,0.3789,0.57,0.143,0.98,0.3333,0.88,0.2361,0.01,0.4679,0.95,0.3997,0.24,0.169,0.23,0.2494,0.89,0.2343,0.99
10,VIRGINIA,DIAKITE.MAMADI,HUNTER.DE'ANDRE,479:30,720.24,60.1236,0.01,0.4146,0.99,1.2301,0.99,0.8156,0.99,0.5832,0.99,0.3297,0.17,0.1486,0.97,0.3265,0.84,0.2635,0.05,0.3737,0.99,0.4511,0.02,0.1612,0.13,0.2607,0.83,0.2075,0.99
11,VIRGINIA,HUNTER.DE'ANDRE,KEY.BRAXTON,461:46,703.72,60.682,0.01,0.3146,0.99,1.188,0.99,0.8734,0.99,0.5365,0.8,0.3571,0.38,0.1393,0.99,0.3212,0.82,0.3864,0.86,0.4107,0.99,0.4157,0.15,0.2029,0.8,0.2926,0.42,0.2922,0.8
12,VIRGINIA,JEROME.TY,KEY.BRAXTON,458:01,693.48,60.662,0.01,0.2725,0.99,1.1752,0.98,0.9027,0.99,0.5307,0.76,0.4233,0.8,0.1211,0.99,0.2869,0.48,0.3506,0.63,0.4354,0.99,0.4099,0.18,0.2056,0.86,0.2861,0.5,0.2925,0.8
13,VIRGINIA,JEROME.TY,SALT.JACK,435:59,645.0,58.9352,0.01,0.1925,0.97,1.1566,0.97,0.9641,0.95,0.5393,0.84,0.3913,0.64,0.138,0.99,0.3186,0.79,0.2508,0.03,0.4736,0.91,0.4327,0.07,0.1727,0.29,0.242,0.93,0.2473,0.96
14,VIRGINIA,HUNTER.DE'ANDRE,SALT.JACK,425:51,629.04,58.6372,0.01,0.2375,0.99,1.2018,0.99,0.9643,0.95,0.5539,0.94,0.3586,0.39,0.1399,0.99,0.3517,0.97,0.2374,0.01,0.4645,0.96,0.4236,0.12,0.1653,0.19,0.2624,0.81,0.2273,0.99
15,VIRGINIA,CLARK.KIHEI,KEY.BRAXTON,378:05,566.64,60.7259,0.01,0.3048,0.99,1.1171,0.9,0.8123,0.99,0.5322,0.78,0.3597,0.4,0.1553,0.94,0.2639,0.29,0.3243,0.42,0.4069,0.99,0.3891,0.34,0.2203,0.96,0.2538,0.87,0.2762,0.87
16,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,330:15,495.56,60.2303,0.01,0.3575,0.99,1.1623,0.98,0.8048,0.99,0.5494,0.92,0.3701,0.5,0.1534,0.95,0.303,0.66,0.2851,0.13,0.3889,0.99,0.4263,0.11,0.1846,0.51,0.2533,0.87,0.2177,0.99
17,VIRGINIA,CLARK.KIHEI,SALT.JACK,300:55,441.16,58.896,0.01,0.1543,0.97,1.1152,0.9,0.9609,0.95,0.5326,0.78,0.381,0.57,0.1587,0.91,0.2952,0.6,0.2231,0.01,0.4841,0.84,0.3704,0.54,0.1944,0.69,0.2643,0.79,0.2302,0.99
18,VIRGINIA,DIAKITE.MAMADI,KEY.BRAXTON,285:39,434.0,61.6253,0.01,0.2359,0.99,1.0599,0.64,0.824,0.99,0.4815,0.17,0.3545,0.36,0.1429,0.98,0.2607,0.27,0.3307,0.46,0.3911,0.99,0.4252,0.11,0.1936,0.68,0.2694,0.74,0.2992,0.74
19,VIRGINIA,KEY.BRAXTON,SALT.JACK,200:28,308.4,61.404,0.01,0.1961,0.97,1.1122,0.89,0.9161,0.99,0.5036,0.44,0.3843,0.6,0.1362,0.99,0.3152,0.76,0.3025,0.23,0.4689,0.95,0.3817,0.4,0.2192,0.95,0.236,0.94,0.3361,0.46
20,VIRGINIA,GUY.KYLE,HUFF.JAY,197:45,300.92,60.2152,0.01,0.4531,0.99,1.3293,0.99,0.8761,0.99,0.6686,0.99,0.4242,0.8,0.1429,0.98,0.2927,0.54,0.2576,0.03,0.4212,0.99,0.4191,0.12,0.1882,0.59,0.2294,0.96,0.332,0.51
21,VIRGINIA,CLARK.KIHEI,HUFF.JAY,180:52,277.68,62.3911,0.01,0.3123,0.99,1.2388,0.99,0.9266,0.99,0.6464,0.99,0.3919,0.64,0.1801,0.58,0.2653,0.3,0.3243,0.42,0.4596,0.97,0.426,0.11,0.1726,0.29,0.1769,0.99,0.3857,0.18
22,VIRGINIA,HUFF.JAY,JEROME.TY,177:24,273.08,60.6373,0.01,0.3843,0.99,1.3366,0.99,0.9523,0.96,0.6674,0.99,0.4463,0.89,0.1318,0.99,0.2655,0.3,0.2355,0.01,0.4437,0.99,0.4189,0.13,0.1821,0.48,0.2635,0.8,0.3333,0.49
23,VIRGINIA,HUFF.JAY,HUNTER.DE'ANDRE,173:26,263.72,59.8936,0.01,0.3724,0.99,1.312,0.99,0.9396,0.98,0.6615,0.99,0.3982,0.69,0.1479,0.97,0.2762,0.4,0.2788,0.09,0.4519,0.98,0.4279,0.1,0.1926,0.66,0.2357,0.94,0.3317,0.51
24,VIRGINIA,DIAKITE.MAMADI,SALT.JACK,162:21,244.36,59.9605,0.01,0.2553,0.99,1.1172,0.9,0.8619,0.99,0.5332,0.78,0.3363,0.22,0.1842,0.5,0.368,0.98,0.1947,0.01,0.3968,0.99,0.4817,0.01,0.1243,0.01,0.2013,0.99,0.2431,0.97
25,VIRGINIA,HUFF.JAY,KEY.BRAXTON,162:12,244.72,60.7654,0.01,0.3535,0.99,1.2668,0.99,0.9132,0.99,0.6517,0.99,0.4129,0.76,0.1675,0.82,0.2427,0.13,0.3134,0.32,0.4428,0.99,0.3881,0.34,0.1818,0.45,0.2154,0.99,0.3333,0.49
