,TEAM,TEAM A,TEAM B,TEAM C,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,680:04,1018.4,59.3529,0.01,0.3396,0.99,1.252,0.99,0.9124,0.99,0.5803,0.98,0.3909,0.62,0.1355,0.99,0.3313,0.87,0.3094,0.28,0.4335,0.99,0.4224,0.12,0.1751,0.34,0.2747,0.68,0.2106,0.99
1,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUNTER.DE'ANDRE,470:13,699.84,59.2272,0.01,0.3129,0.99,1.2046,0.99,0.8916,0.99,0.5766,0.98,0.3641,0.46,0.16,0.9,0.3166,0.77,0.3064,0.26,0.4337,0.99,0.3754,0.47,0.1893,0.61,0.28,0.6,0.2023,0.99
2,VIRGINIA,CLARK.KIHEI,GUY.KYLE,JEROME.TY,458:25,685.0,59.8114,0.01,0.3164,0.99,1.2146,0.99,0.8982,0.99,0.5817,0.98,0.4283,0.82,0.1431,0.98,0.2857,0.48,0.2917,0.16,0.4522,0.98,0.3859,0.37,0.1928,0.66,0.2601,0.83,0.2047,0.99
3,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,JEROME.TY,445:18,677.04,60.7461,0.01,0.418,0.99,1.2318,0.99,0.8139,0.99,0.5794,0.98,0.3879,0.61,0.1403,0.98,0.3138,0.75,0.2717,0.06,0.3766,0.99,0.4597,0.01,0.1675,0.22,0.2598,0.83,0.2,0.99
4,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,424:46,640.08,60.183,0.01,0.454,0.99,1.2514,0.99,0.7974,0.99,0.5886,0.99,0.3408,0.24,0.1437,0.98,0.3344,0.89,0.2702,0.06,0.362,0.99,0.4478,0.03,0.1604,0.12,0.2653,0.78,0.202,0.99
5,VIRGINIA,GUY.KYLE,JEROME.TY,SALT.JACK,412:42,605.6,58.5845,0.01,0.211,0.98,1.1806,0.98,0.9697,0.94,0.5487,0.92,0.3965,0.68,0.1338,0.99,0.3228,0.82,0.2478,0.02,0.4762,0.9,0.4221,0.12,0.1663,0.21,0.2407,0.94,0.23,0.99
6,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,SALT.JACK,406:23,595.64,58.2719,0.01,0.2415,0.99,1.2189,0.99,0.9774,0.92,0.561,0.95,0.3622,0.44,0.1377,0.99,0.3571,0.98,0.2314,0.01,0.4717,0.92,0.4113,0.16,0.1584,0.11,0.2615,0.82,0.2113,0.99
7,VIRGINIA,DIAKITE.MAMADI,HUNTER.DE'ANDRE,JEROME.TY,398:51,598.92,60.3357,0.01,0.4214,0.99,1.2556,0.99,0.8342,0.99,0.5996,0.99,0.3464,0.28,0.1486,0.97,0.3249,0.83,0.2663,0.05,0.3801,0.99,0.4618,0.01,0.1579,0.1,0.2629,0.81,0.1847,0.99
8,VIRGINIA,CLARK.KIHEI,HUNTER.DE'ANDRE,JEROME.TY,395:03,593.16,59.4795,0.01,0.2532,0.99,1.1869,0.99,0.9337,0.99,0.5614,0.95,0.384,0.6,0.1517,0.95,0.296,0.6,0.3197,0.37,0.4538,0.98,0.4077,0.19,0.1874,0.57,0.2853,0.52,0.1904,0.99
9,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,KEY.BRAXTON,378:07,573.44,60.3302,0.01,0.3492,0.99,1.219,0.99,0.8698,0.99,0.5453,0.89,0.378,0.56,0.1378,0.99,0.3434,0.94,0.3957,0.89,0.4082,0.99,0.3939,0.31,0.2047,0.85,0.2986,0.34,0.2959,0.78
10,VIRGINIA,GUY.KYLE,JEROME.TY,KEY.BRAXTON,374:08,564.08,60.5947,0.01,0.3252,0.99,1.2179,0.99,0.8927,0.99,0.5451,0.89,0.449,0.9,0.1152,0.99,0.3033,0.66,0.3569,0.7,0.4332,0.99,0.3883,0.34,0.2091,0.89,0.2862,0.5,0.2944,0.78
11,VIRGINIA,HUNTER.DE'ANDRE,JEROME.TY,SALT.JACK,359:32,529.0,58.3331,0.01,0.2141,0.98,1.1985,0.99,0.9844,0.9,0.552,0.93,0.376,0.55,0.1323,0.99,0.3429,0.93,0.25,0.03,0.4771,0.89,0.4498,0.03,0.1641,0.18,0.2553,0.86,0.2336,0.99
12,VIRGINIA,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,321:40,489.2,60.5533,0.01,0.2636,0.99,1.1917,0.99,0.9282,0.99,0.5207,0.65,0.3977,0.69,0.1247,0.99,0.3245,0.83,0.4138,0.94,0.4313,0.99,0.4313,0.08,0.1968,0.73,0.3121,0.18,0.2891,0.82
13,VIRGINIA,CLARK.KIHEI,GUY.KYLE,KEY.BRAXTON,279:31,411.28,60.195,0.01,0.352,0.99,1.1549,0.97,0.8029,0.99,0.5492,0.92,0.3848,0.6,0.1483,0.97,0.2792,0.42,0.3146,0.33,0.4057,0.99,0.36,0.65,0.2264,0.98,0.2582,0.83,0.2886,0.82
14,VIRGINIA,CLARK.KIHEI,GUY.KYLE,SALT.JACK,277:19,402.76,58.5791,0.01,0.1729,0.97,1.1471,0.96,0.9742,0.93,0.5492,0.92,0.388,0.61,0.1564,0.92,0.299,0.62,0.2158,0.01,0.4915,0.77,0.3493,0.74,0.186,0.54,0.2632,0.8,0.2085,0.99
15,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,GUY.KYLE,263:00,394.88,60.1764,0.01,0.4007,0.99,1.1852,0.99,0.7845,0.99,0.5559,0.94,0.3897,0.62,0.1494,0.96,0.3118,0.73,0.2923,0.17,0.3754,0.99,0.4174,0.13,0.1867,0.54,0.2677,0.76,0.2129,0.99
16,VIRGINIA,CLARK.KIHEI,JEROME.TY,SALT.JACK,233:38,340.56,58.3725,0.01,0.1173,0.89,1.1041,0.85,0.9868,0.89,0.5294,0.75,0.4118,0.76,0.1468,0.97,0.2682,0.32,0.2418,0.01,0.507,0.53,0.3916,0.33,0.1944,0.69,0.2515,0.88,0.2343,0.99
17,VIRGINIA,CLARK.KIHEI,HUNTER.DE'ANDRE,KEY.BRAXTON,232:29,352.72,60.4345,0.01,0.316,0.99,1.1199,0.91,0.8039,0.99,0.5203,0.65,0.2983,0.08,0.1644,0.87,0.3012,0.63,0.3831,0.85,0.3817,0.99,0.4,0.24,0.2182,0.95,0.2897,0.45,0.26,0.94
18,VIRGINIA,CLARK.KIHEI,HUNTER.DE'ANDRE,SALT.JACK,231:14,338.48,58.1714,0.01,0.1832,0.97,1.167,0.98,0.9838,0.9,0.5513,0.93,0.359,0.39,0.1536,0.95,0.3179,0.78,0.2147,0.01,0.4831,0.86,0.375,0.48,0.183,0.48,0.289,0.45,0.2027,0.99
19,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,JEROME.TY,230:55,350.52,60.807,0.01,0.3839,0.99,1.2011,0.99,0.8172,0.99,0.5712,0.97,0.411,0.76,0.1484,0.97,0.2975,0.61,0.2686,0.05,0.3943,0.99,0.4353,0.06,0.1835,0.49,0.2642,0.79,0.1703,0.99
20,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,KEY.BRAXTON,223:17,339.64,61.643,0.01,0.2694,0.99,1.0776,0.72,0.8082,0.99,0.4767,0.11,0.3867,0.6,0.1325,0.99,0.2723,0.36,0.3533,0.67,0.3742,0.99,0.4195,0.12,0.2042,0.85,0.2922,0.42,0.3255,0.54
21,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,HUNTER.DE'ANDRE,221:48,330.2,59.7249,0.01,0.4381,0.99,1.2265,0.99,0.7885,0.99,0.5842,0.99,0.3265,0.16,0.1545,0.94,0.3219,0.82,0.2749,0.07,0.3672,0.99,0.4098,0.18,0.182,0.45,0.2783,0.61,0.177,0.99
22,VIRGINIA,CLARK.KIHEI,JEROME.TY,KEY.BRAXTON,214:27,320.84,60.6206,0.01,0.2585,0.99,1.1096,0.87,0.8511,0.99,0.5142,0.57,0.4184,0.79,0.1247,0.99,0.2407,0.13,0.305,0.25,0.4301,0.99,0.3934,0.31,0.2196,0.95,0.2686,0.75,0.2574,0.94
23,VIRGINIA,DIAKITE.MAMADI,JEROME.TY,KEY.BRAXTON,206:12,313.72,61.6544,0.01,0.2218,0.99,1.087,0.77,0.8652,0.99,0.4946,0.34,0.3986,0.69,0.1371,0.99,0.2604,0.27,0.3188,0.36,0.4025,0.99,0.4255,0.11,0.193,0.66,0.2984,0.34,0.2766,0.87
24,VIRGINIA,DIAKITE.MAMADI,HUNTER.DE'ANDRE,KEY.BRAXTON,196:20,298.8,61.249,0.01,0.3383,0.99,1.1312,0.92,0.7929,0.99,0.5115,0.54,0.3077,0.1,0.1372,0.99,0.2821,0.44,0.3654,0.76,0.3638,0.99,0.4478,0.03,0.1825,0.48,0.2778,0.62,0.2836,0.85
25,VIRGINIA,GUY.KYLE,KEY.BRAXTON,SALT.JACK,178:30,270.12,61.0652,0.01,0.2039,0.98,1.155,0.97,0.9511,0.96,0.52,0.65,0.396,0.68,0.1259,0.99,0.3217,0.82,0.292,0.17,0.4909,0.78,0.3562,0.67,0.2085,0.88,0.234,0.95,0.3151,0.63
26,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,SALT.JACK,153:26,231.72,59.9059,0.01,0.2829,0.99,1.1436,0.95,0.8607,0.99,0.5436,0.88,0.3349,0.2,0.1813,0.55,0.3814,0.99,0.1743,0.01,0.3961,0.99,0.4734,0.01,0.1236,0.01,0.2098,0.99,0.2367,0.98
27,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,KEY.BRAXTON,152:55,225.08,60.0368,0.01,0.1861,0.97,0.9863,0.19,0.8002,0.99,0.4518,0.03,0.3401,0.24,0.1422,0.98,0.2397,0.12,0.2893,0.14,0.3954,0.99,0.4133,0.16,0.2076,0.87,0.2701,0.72,0.2806,0.86
28,VIRGINIA,JEROME.TY,KEY.BRAXTON,SALT.JACK,151:21,231.36,60.7894,0.01,0.1575,0.97,1.1065,0.86,0.949,0.96,0.4953,0.36,0.4252,0.81,0.1167,0.99,0.3101,0.72,0.3224,0.4,0.4971,0.67,0.4104,0.17,0.2241,0.98,0.2212,0.98,0.3757,0.24
29,VIRGINIA,GUY.KYLE,HUFF.JAY,JEROME.TY,141:40,220.12,60.6582,0.01,0.4845,0.99,1.3856,0.99,0.9011,0.99,0.6869,0.99,0.4495,0.9,0.1227,0.99,0.2857,0.48,0.2424,0.01,0.4229,0.99,0.4,0.24,0.1831,0.49,0.2541,0.87,0.3314,0.51
30,VIRGINIA,HUNTER.DE'ANDRE,KEY.BRAXTON,SALT.JACK,138:06,214.48,60.7594,0.01,0.2415,0.99,1.1889,0.99,0.9475,0.97,0.5174,0.61,0.3582,0.39,0.1259,0.99,0.3707,0.99,0.3333,0.5,0.4647,0.96,0.4176,0.13,0.2149,0.92,0.2895,0.45,0.3176,0.61
31,VIRGINIA,DIAKITE.MAMADI,HUNTER.DE'ANDRE,SALT.JACK,137:34,201.76,58.8672,0.01,0.3408,0.99,1.2094,0.99,0.8686,0.99,0.5769,0.98,0.2974,0.08,0.1636,0.88,0.39,0.99,0.1487,0.01,0.3895,0.99,0.4895,0.01,0.1042,0.01,0.2137,0.99,0.2211,0.99
32,VIRGINIA,GUY.KYLE,HUFF.JAY,HUNTER.DE'ANDRE,136:41,207.44,59.5059,0.01,0.437,0.99,1.3498,0.99,0.9128,0.99,0.6768,0.99,0.4088,0.75,0.1446,0.98,0.3095,0.71,0.2818,0.11,0.4438,0.99,0.4062,0.2,0.2028,0.8,0.2411,0.93,0.3438,0.41
33,VIRGINIA,DIAKITE.MAMADI,JEROME.TY,SALT.JACK,133:40,199.84,59.3323,0.01,0.278,0.99,1.1459,0.96,0.8679,0.99,0.5541,0.94,0.3514,0.32,0.1751,0.65,0.3564,0.97,0.1946,0.01,0.3917,0.99,0.5111,0.01,0.113,0.01,0.1967,0.99,0.2111,0.99
34,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUFF.JAY,122:50,185.92,61.5672,0.01,0.3724,0.99,1.2425,0.99,0.8701,0.99,0.6623,0.99,0.404,0.72,0.1721,0.72,0.25,0.17,0.2848,0.13,0.4517,0.98,0.4345,0.07,0.2004,0.78,0.18,0.99,0.3862,0.18
