,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,355:01,536.52,60.4079,0.01,0.4722,0.99,1.2767,0.99,0.8045,0.99,0.6056,0.99,0.354,0.36,0.1435,0.98,0.3293,0.86,0.2754,0.07,0.3653,0.99,0.4594,0.01,0.1587,0.11,0.262,0.82,0.1743,0.99
1,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,SALT.JACK,342:07,498.48,57.8854,0.01,0.2245,0.99,1.2197,0.99,0.9952,0.83,0.5601,0.95,0.3797,0.57,0.1284,0.99,0.3473,0.95,0.2468,0.02,0.4841,0.84,0.4386,0.05,0.1567,0.09,0.2519,0.88,0.2136,0.99
2,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,318:50,477.4,59.3912,0.01,0.2959,0.99,1.2233,0.99,0.9274,0.99,0.5799,0.98,0.3995,0.7,0.1529,0.95,0.3105,0.72,0.3269,0.43,0.4585,0.97,0.3815,0.4,0.1863,0.54,0.2802,0.58,0.1611,0.99
3,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,249:22,378.56,60.4048,0.01,0.3312,0.99,1.2415,0.99,0.9104,0.99,0.5322,0.78,0.4269,0.81,0.1189,0.99,0.3524,0.97,0.4357,0.98,0.4264,0.99,0.4049,0.21,0.2035,0.82,0.3136,0.17,0.2822,0.85
4,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUNTER.DE'ANDRE,SALT.JACK,213:05,307.96,57.754,0.01,0.1823,0.97,1.195,0.99,1.0126,0.72,0.5667,0.96,0.3649,0.46,0.1526,0.95,0.3226,0.82,0.207,0.01,0.4982,0.66,0.3513,0.74,0.1693,0.25,0.2866,0.5,0.172,0.99
5,VIRGINIA,CLARK.KIHEI,GUY.KYLE,JEROME.TY,SALT.JACK,212:05,305.04,57.9057,0.01,0.1499,0.96,1.1474,0.96,0.9975,0.83,0.5509,0.93,0.4218,0.8,0.141,0.98,0.2675,0.31,0.24,0.01,0.5151,0.39,0.3698,0.55,0.1846,0.51,0.245,0.92,0.2038,0.99
6,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,GUY.KYLE,JEROME.TY,181:20,278.24,61.1845,0.01,0.4702,0.99,1.2543,0.99,0.7841,0.99,0.5988,0.99,0.4403,0.86,0.1474,0.97,0.3083,0.7,0.2922,0.17,0.376,0.99,0.4331,0.07,0.1815,0.45,0.267,0.76,0.1654,0.99
7,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,175:44,263.92,59.9817,0.01,0.4953,0.99,1.258,0.99,0.7627,0.99,0.6017,0.99,0.3463,0.28,0.1554,0.94,0.3304,0.87,0.2944,0.18,0.3496,0.99,0.3943,0.28,0.1801,0.43,0.2881,0.48,0.1748,0.99
8,VIRGINIA,CLARK.KIHEI,HUNTER.DE'ANDRE,JEROME.TY,SALT.JACK,169:18,247.2,57.8698,0.01,0.1274,0.92,1.1489,0.96,1.0215,0.66,0.542,0.87,0.3938,0.66,0.1416,0.98,0.2901,0.53,0.2434,0.01,0.5143,0.41,0.4048,0.21,0.1861,0.54,0.2797,0.6,0.2143,0.99
9,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,JEROME.TY,KEY.BRAXTON,159:45,244.56,62.5208,0.01,0.2806,0.99,1.1163,0.9,0.8357,0.99,0.5,0.42,0.4352,0.85,0.1308,0.99,0.2687,0.32,0.3426,0.58,0.3795,0.99,0.4182,0.13,0.202,0.79,0.3117,0.19,0.3045,0.7
