,TEAM,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,TOTAL TIME,POSS.,PACE,PACE PCTL,NET,NET PCTL,OE,OE PCTL,DE,DE PCTL,eFG%,eFG% PCTL,3PTrate,3PTrate PCTL,TOrate,TOrate PCTL,OREB%,OREB% PCTL,FTrate,FTrate PCTL,Opp eFG%,Opp eFG% PCTL,Opp 3PTrate,Opp 3PTrate PCTL,Opp TOrate,Opp TOrate PCTL,Opp OREB%,Opp OREB% PCTL,Opp FTrate,Opp FTrate PCTL
0,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,SALT.JACK,153:12,219.56,57.2654,0.01,0.1362,0.95,1.1887,0.99,1.0525,0.39,0.5622,0.95,0.403,0.71,0.1366,0.99,0.2895,0.52,0.2438,0.01,0.5333,0.19,0.3795,0.43,0.1693,0.25,0.2692,0.74,0.1692,0.99
1,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,SALT.JACK,110:21,161.68,58.2618,0.01,0.3804,0.99,1.237,0.99,0.8566,0.99,0.5955,0.99,0.3057,0.09,0.1546,0.94,0.3797,0.99,0.1401,0.01,0.3791,0.99,0.5098,0.01,0.1008,0.01,0.215,0.99,0.1895,0.99
2,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,109:53,169.24,61.7248,0.01,0.5756,0.99,1.3413,0.99,0.7657,0.99,0.6573,0.99,0.3846,0.6,0.1595,0.9,0.3231,0.83,0.3217,0.39,0.358,0.99,0.4074,0.19,0.1795,0.41,0.2793,0.6,0.0864,0.99
3,VIRGINIA,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,103:46,159.52,63.2155,0.01,0.3835,0.99,1.1785,0.98,0.795,0.99,0.5255,0.7,0.3723,0.52,0.1379,0.99,0.2941,0.59,0.4234,0.97,0.3547,0.99,0.4459,0.03,0.1927,0.66,0.2991,0.33,0.277,0.87
4,VIRGINIA,GUY.KYLE,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,SALT.JACK,78:34,117.24,59.3128,0.01,0.1756,0.97,1.2538,0.99,1.0782,0.24,0.5086,0.5,0.4397,0.86,0.0768,0.99,0.4058,0.99,0.3966,0.89,0.5543,0.05,0.4457,0.03,0.2104,0.9,0.2909,0.43,0.3478,0.38
5,VIRGINIA,CLARK.KIHEI,GUY.KYLE,JEROME.TY,KEY.BRAXTON,SALT.JACK,45:13,63.96,60.1956,0.01,0.2567,0.99,1.1101,0.87,0.8534,0.99,0.569,0.96,0.431,0.83,0.1094,0.99,0.1613,0.01,0.1552,0.01,0.4904,0.78,0.3077,0.97,0.2238,0.98,0.1143,0.99,0.3269,0.53
6,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,GUY.KYLE,HUNTER.DE'ANDRE,KEY.BRAXTON,43:49,64.24,58.5674,0.01,0.3938,0.99,1.0585,0.63,0.6647,0.99,0.4821,0.18,0.2857,0.05,0.1245,0.99,0.2571,0.24,0.375,0.81,0.2778,0.99,0.4074,0.19,0.2108,0.9,0.3125,0.18,0.4074,0.12
7,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUFF.JAY,HUNTER.DE'ANDRE,KEY.BRAXTON,41:20,61.8,62.2439,0.01,0.4091,0.99,1.2298,0.99,0.8207,0.99,0.6739,0.99,0.3043,0.09,0.2265,0.02,0.35,0.96,0.4348,0.98,0.4271,0.99,0.4167,0.13,0.2432,0.99,0.2,0.99,0.4167,0.08
8,VIRGINIA,CLARK.KIHEI,GUY.KYLE,HUNTER.DE'ANDRE,KEY.BRAXTON,SALT.JACK,39:42,59.96,61.2718,0.01,0.3437,0.99,1.2342,0.99,0.8905,0.99,0.6019,0.99,0.2593,0.02,0.1835,0.51,0.3462,0.95,0.1667,0.01,0.4035,0.99,0.2807,0.99,0.1848,0.51,0.3243,0.1,0.1404,0.99
9,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,GUY.KYLE,JEROME.TY,KEY.BRAXTON,39:17,57.4,60.1641,0.01,0.1775,0.97,1.0453,0.55,0.8678,0.99,0.4815,0.17,0.5556,0.99,0.1045,0.99,0.2258,0.07,0.1852,0.01,0.4038,0.99,0.3846,0.38,0.217,0.95,0.3824,0.01,0.3462,0.38
10,VIRGINIA,GUY.KYLE,HUFF.JAY,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,37:32,56.48,57.5784,0.01,0.4635,0.99,1.5227,0.99,1.0592,0.34,0.7212,0.99,0.5385,0.99,0.1062,0.99,0.3103,0.72,0.3269,0.43,0.4444,0.99,0.2889,0.99,0.1799,0.41,0.3667,0.01,0.3556,0.34
11,VIRGINIA,CLARK.KIHEI,DIAKITE.MAMADI,HUNTER.DE'ANDRE,JEROME.TY,KEY.BRAXTON,31:31,44.52,57.2387,0.01,0.0604,0.75,1.0332,0.46,0.9729,0.93,0.4756,0.11,0.2439,0.01,0.1348,0.99,0.2609,0.27,0.1951,0.01,0.4651,0.96,0.4186,0.13,0.1357,0.01,0.28,0.6,0.1163,0.99
