index,DATE,TEAM,OPPONENT,TIME IN,TIME OUT,TOTAL_TIME,SCORE IN,SCORE OUT,+/-,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,POSS,FGM,FGA,2ptFGM,2ptFGA,3ptFGM,3ptFGA,FTM,FTA,AST,TO,OREB,DREB,STL,BLK,FOULS,Opp_POSS.,Opp_FGM,Opp_FGA,Opp_2ptFGM,Opp_2ptFGA,Opp_3ptFGM,Opp_3ptFGA,Opp_FTM,Opp_FTA,Opp_AST,Opp_TO,Opp_OREB,Opp_DREB,Opp_STL,Opp_BLK,Opp_FOULS
2,11/06/18,DAVIDSON,CLEVELAND STATE,15:58,13:19,159,8-6,13-11,0,COLLINS.CARTER,EKWU.NATHAN,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,4.0,2,6,1,3,1,3,0,0,2,0,2,2,0,0,0,4.0,2,4,1,1,1,3,0,0,2,0,0,2,0,0,1
25,11/06/18,DAVIDSON,CLEVELAND STATE,01:19,00:00,79,83-57,83-63,-6,COLLINS.CARTER,CZERAPOWICZ.DAVID,FREUNDLICH.CAL,JONES.BATES,WYNTER.MALCOLM,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,2,2,0,0,2,2,0,0,2,0,0,1,0,0,0
4,11/09/18,DAVIDSON,DARTMOUTH,06:51,04:23,148,24-22,28-32,-6,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,5.0,2,5,2,3,0,2,0,0,0,1,1,0,0,1,1,4.0,4,5,2,3,2,2,0,0,2,0,1,2,0,1,0
7,11/09/18,DAVIDSON,DARTMOUTH,03:48,03:14,34,30-35,30-37,-2,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,11/09/18,DAVIDSON,DARTMOUTH,03:14,00:54,140,30-37,32-40,-1,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,2.0,1,2,1,2,0,0,0,0,1,0,0,1,0,1,0,2.0,1,3,0,1,1,2,0,0,1,0,1,1,0,0,1
9,11/09/18,DAVIDSON,DARTMOUTH,00:54,00:06,48,32-40,32-40,0,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,FRAMPTON.LUKE,PRITCHETT.KISHAWN,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
3,11/15/18,DAVIDSON,WICHITA STATE,13:07,11:56,71,10-12,12-12,2,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,KOVACEVIC.DUSAN,PRITCHETT.KISHAWN,1.88,0,1,0,0,0,1,2,2,0,0,0,0,1,0,0,1.0,0,2,0,0,0,2,0,0,0,1,2,1,0,0,1
12,11/15/18,DAVIDSON,WICHITA STATE,17:00,15:28,92,27-32,27-37,-5,COLLINS.CARTER,CZERAPOWICZ.DAVID,EKWU.NATHAN,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2.0,2,7,1,4,1,3,0,0,1,0,5,1,0,0,0
6,11/16/18,DAVIDSON,PURDUE,06:26,05:33,53,18-25,21-28,0,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,1.0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
7,11/16/18,DAVIDSON,PURDUE,05:33,04:33,60,21-28,23-28,2,BRAJKOVIC.LUKA,COLLINS.CARTER,CZERAPOWICZ.DAVID,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,2.0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1.0,0,3,0,1,0,2,0,0,0,0,2,1,0,0,0
12,11/16/18,DAVIDSON,PURDUE,17:59,17:26,33,28-37,28-37,0,BRAJKOVIC.LUKA,COLLINS.CARTER,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,11/16/18,DAVIDSON,PURDUE,17:26,16:37,49,28-37,28-41,-4,COLLINS.CARTER,EKWU.NATHAN,FRAMPTON.LUKE,GUDMUNDSSON.JONAX,PRITCHETT.KISHAWN,1.88,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,2.0,2,3,2,2,0,1,0,0,1,0,1,2,0,0,1
