INDEX,DATE,TEAM,OPPONENT,TIME IN,TIME OUT,TOTAL TIME,SCORE IN,SCORE OUT,+/-,TEAM A,TEAM B,TEAM C,TEAM D,TEAM E,POSS.,FGM,FGA,2ptFGM,2ptFGA,3ptFGM,3ptFGA,FTM,FTA,AST,TO,OREB,DREB,STL,BLK,FOULS,OppPOSS.,OppFGM,OppFGA,Opp2ptFGM,Opp2ptFGA,Opp3ptFGM,Opp3ptFGA,OppFTM,OppFTA,OppAST,OppTO,OppOREB,OppDREB,OppSTL,OppBLK,OppFOULS
0,11/06/18,NORTH CAROLINA,WOFFORD,20:00,14:17,343,0-0,6-6,0,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,11.44,3,9,3,5,0,4,0,1,3,3,1,5,0,0,1,10.0,2,8,0,1,2,7,0,0,1,3,1,5,1,0,1
1,11/06/18,NORTH CAROLINA,WOFFORD,14:17,13:17,60,6-6,9-10,-1,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,1.0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2.0,2,4,2,2,0,2,0,0,0,0,2,0,0,0,1
2,11/06/18,NORTH CAROLINA,WOFFORD,13:17,13:10,7,9-10,12-10,3,BLACK.LEAKY,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WHITE.COBY,1.0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11/06/18,NORTH CAROLINA,WOFFORD,13:10,08:45,265,12-10,18-12,4,BLACK.LEAKY,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WOODS.SEVENTH,8.0,3,7,3,6,0,1,0,0,2,2,1,3,2,0,1,7.0,1,7,1,4,0,3,0,0,0,2,2,3,1,0,1
4,11/06/18,NORTH CAROLINA,WOFFORD,08:45,05:26,199,18-12,24-14,4,JOHNSON.CAMERON,MAYE.LUKE,ROBINSON.BRANDON,WHITE.COBY,WILLIAMS.KENNY,4.0,2,5,0,2,2,3,0,0,2,0,1,3,0,0,0,5.0,1,5,1,3,0,2,0,0,0,0,0,2,0,0,0
5,11/06/18,NORTH CAROLINA,WOFFORD,05:26,04:48,38,24-14,24-14,0,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,ROBINSON.BRANDON,WOODS.SEVENTH,2.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6,11/06/18,NORTH CAROLINA,WOFFORD,04:48,04:02,46,24-14,24-14,0,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WILLIAMS.KENNY,WOODS.SEVENTH,1.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2.0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0
7,11/06/18,NORTH CAROLINA,WOFFORD,04:02,00:47,195,24-14,31-24,-3,BROOKS.GARRISON,LITTLE.NASSIR,MANLEY.STERLING,WILLIAMS.KENNY,WOODS.SEVENTH,7.32,3,6,3,5,0,1,1,3,2,1,1,0,1,0,0,6.0,5,5,5,5,0,0,0,0,0,1,0,1,0,1,2
8,11/06/18,NORTH CAROLINA,WOFFORD,00:47,00:17,30,31-24,31-26,-2,BROOKS.GARRISON,LITTLE.NASSIR,MANLEY.STERLING,WHITE.COBY,WILLIAMS.KENNY,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
9,11/06/18,NORTH CAROLINA,WOFFORD,00:17,00:00,17,31-26,33-26,2,BROOKS.GARRISON,LITTLE.NASSIR,MANLEY.STERLING,PLATEK.ANDREW,WHITE.COBY,1.0,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10,11/06/18,NORTH CAROLINA,WOFFORD,20:00,15:05,295,33-26,43-34,2,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,8.879999999999999,4,6,4,5,0,1,2,2,2,4,2,4,0,0,1,7.879999999999999,2,7,0,1,2,6,2,2,1,1,1,0,3,0,3
11,11/06/18,NORTH CAROLINA,WOFFORD,15:05,12:44,141,43-34,46-42,-5,BROOKS.GARRISON,LITTLE.NASSIR,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,3.0,1,3,0,1,1,2,0,0,1,0,0,1,0,1,1,4.88,2,4,0,1,2,3,2,2,2,0,0,2,0,0,1
12,11/06/18,NORTH CAROLINA,WOFFORD,12:44,10:31,133,46-42,46-46,-4,BLACK.LEAKY,JOHNSON.CAMERON,LITTLE.NASSIR,MANLEY.STERLING,WOODS.SEVENTH,3.0,0,3,0,1,0,2,0,0,0,1,1,1,0,0,2,2.88,1,3,1,1,0,2,2,2,1,0,1,2,0,0,1
13,11/06/18,NORTH CAROLINA,WOFFORD,10:31,09:35,56,46-46,51-48,3,BLACK.LEAKY,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WOODS.SEVENTH,2.0,2,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1.88,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0
14,11/06/18,NORTH CAROLINA,WOFFORD,09:35,07:51,104,51-48,57-51,3,JOHNSON.CAMERON,LITTLE.NASSIR,MAYE.LUKE,WILLIAMS.KENNY,WOODS.SEVENTH,2.3200000000000003,1,1,0,0,1,1,3,3,1,0,0,0,0,0,2,1.0,1,2,0,0,1,2,0,0,1,0,1,0,0,0,1
15,11/06/18,NORTH CAROLINA,WOFFORD,07:51,05:40,131,57-51,62-55,1,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WILLIAMS.KENNY,WOODS.SEVENTH,4.0,2,3,1,1,1,2,0,0,2,2,1,2,0,0,2,3.4400000000000004,2,4,2,3,0,1,0,1,0,0,1,0,0,0,0
16,11/06/18,NORTH CAROLINA,WOFFORD,05:40,03:41,119,62-55,70-59,4,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,4.44,3,5,2,4,1,1,1,1,2,0,1,1,0,0,1,2.88,1,2,1,1,0,1,2,2,0,0,0,0,0,0,1
17,11/06/18,NORTH CAROLINA,WOFFORD,03:41,02:18,83,70-59,73-59,3,BLACK.LEAKY,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,1.88,1,1,1,1,0,0,1,2,1,0,0,1,1,0,0,2.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
18,11/06/18,NORTH CAROLINA,WOFFORD,02:18,00:00,138,73-59,78-64,0,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,4.32,1,2,1,1,0,1,3,3,0,1,0,1,1,0,0,5.0,3,4,1,1,2,3,0,0,1,1,0,1,0,0,2
0,11/09/18,NORTH CAROLINA,ELON,20:00,15:58,242,0-0,9-10,-1,BROOKS.GARRISON,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,8.0,4,9,3,6,1,3,0,0,2,3,4,2,0,0,3,7.88,4,5,3,3,1,2,1,2,3,2,0,1,0,1,0
1,11/09/18,NORTH CAROLINA,ELON,15:58,14:49,69,9-10,11-12,0,BROOKS.GARRISON,LITTLE.NASSIR,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,2.0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,2.0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
2,11/09/18,NORTH CAROLINA,ELON,14:49,14:06,43,11-12,13-12,2,LITTLE.NASSIR,MANLEY.STERLING,MAYE.LUKE,ROBINSON.BRANDON,WHITE.COBY,1.0,1,2,1,1,0,1,0,0,0,0,1,1,0,1,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3,11/09/18,NORTH CAROLINA,ELON,14:06,12:34,92,13-12,21-14,6,LITTLE.NASSIR,MANLEY.STERLING,MAYE.LUKE,ROBINSON.BRANDON,WOODS.SEVENTH,3.4400000000000004,3,5,2,3,1,2,1,1,2,0,2,1,0,0,0,2.0,1,3,1,2,0,1,0,0,0,0,1,0,0,0,1
4,11/09/18,NORTH CAROLINA,ELON,12:34,10:47,107,21-14,25-22,-4,BROOKS.GARRISON,LITTLE.NASSIR,MANLEY.STERLING,ROBINSON.BRANDON,WOODS.SEVENTH,3.0,2,3,2,3,0,0,0,0,1,1,1,1,0,0,2,3.88,2,4,0,0,2,4,2,2,2,0,1,0,0,0,1
5,11/09/18,NORTH CAROLINA,ELON,10:47,09:42,65,25-22,30-24,3,BROOKS.GARRISON,LITTLE.NASSIR,MANLEY.STERLING,WILLIAMS.KENNY,WOODS.SEVENTH,2.4400000000000004,2,5,2,3,0,2,1,1,0,0,3,1,0,0,1,1.88,0,1,0,1,0,0,2,2,0,0,0,0,0,0,2
6,11/09/18,NORTH CAROLINA,ELON,09:42,07:31,131,30-24,38-32,0,BLACK.LEAKY,JOHNSON.CAMERON,MAYE.LUKE,WILLIAMS.KENNY,WOODS.SEVENTH,4.0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4.0,4,4,4,4,0,0,0,0,1,0,0,0,0,0,1
7,11/09/18,NORTH CAROLINA,ELON,07:31,06:45,46,38-32,41-32,3,BLACK.LEAKY,JOHNSON.CAMERON,MAYE.LUKE,WHITE.COBY,WILLIAMS.KENNY,1.3200000000000003,0,1,0,1,0,0,3,3,0,0,1,1,0,0,0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
8,11/09/18,NORTH CAROLINA,ELON,06:45,05:23,82,41-32,45-34,2,BLACK.LEAKY,JOHNSON.CAMERON,MAYE.LUKE,PLATEK.ANDREW,WHITE.COBY,3.88,1,3,1,2,0,1,2,2,1,0,0,2,0,0,3,2.2,0,1,0,0,0,1,2,5,0,0,1,2,0,0,1
9,11/09/18,NORTH CAROLINA,ELON,05:23,03:37,106,45-34,49-37,1,JOHNSON.CAMERON,MAYE.LUKE,PLATEK.ANDREW,ROBINSON.BRANDON,WHITE.COBY,4.0,2,4,2,3,0,1,0,0,0,0,0,2,0,0,0,3.0,1,4,0,1,1,3,0,0,0,0,1,2,0,0,0
10,11/09/18,NORTH CAROLINA,ELON,03:37,02:41,56,49-37,53-37,4,BROOKS.GARRISON,MAYE.LUKE,ROBINSON.BRANDON,WHITE.COBY,WILLIAMS.KENNY,1.88,1,1,1,1,0,0,2,2,0,0,0,0,2,0,0,3.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
