Percentile,PACE,NET,OE,eFG%,TOrate,OREB%,FTrate,3PTrate,DE,Opp eFG%,Opp TOrate,Opp OREB%,Opp FTrate,Opp 3PTrate
0.99,76.5,0.22,1.181,0.582,0.14,0.37,0.438,0.503,0.934,0.447,0.23,0.221,0.235,0.297
0.98,75.5,0.2,1.16,0.575,0.146,0.357,0.429,0.476,0.945,0.457,0.223,0.225,0.242,0.305
0.97,74.9,0.15,1.154,0.57,0.149,0.351,0.423,0.475,0.949,0.463,0.221,0.226,0.247,0.308
0.96,74.5,0.14,1.144,0.566,0.151,0.348,0.416,0.469,0.957,0.467,0.22,0.231,0.252,0.311
0.95,73.8,0.13,1.136,0.56,0.154,0.346,0.414,0.465,0.968,0.469,0.216,0.235,0.256,0.315
0.94,73.6,0.13,1.135,0.553,0.156,0.343,0.411,0.461,0.972,0.47,0.216,0.241,0.26,0.319
0.93,73.4,0.13,1.132,0.55,0.156,0.342,0.407,0.457,0.975,0.471,0.215,0.244,0.262,0.322
0.92,73,0.12,1.121,0.548,0.158,0.34,0.405,0.454,0.979,0.472,0.213,0.246,0.265,0.323
0.91,72.9,0.12,1.118,0.547,0.159,0.338,0.403,0.453,0.982,0.475,0.211,0.249,0.267,0.326
0.9,72.7,0.12,1.115,0.546,0.161,0.336,0.398,0.449,0.986,0.477,0.21,0.249,0.271,0.327
0.89,72.5,0.11,1.112,0.544,0.163,0.334,0.392,0.445,0.989,0.478,0.209,0.251,0.272,0.329
0.88,72.4,0.11,1.111,0.543,0.164,0.333,0.39,0.444,0.99,0.481,0.208,0.253,0.275,0.333
0.87,72.3,0.11,1.107,0.542,0.165,0.33,0.387,0.441,0.992,0.483,0.206,0.255,0.28,0.334
0.86,72.2,0.1,1.105,0.541,0.165,0.329,0.385,0.437,0.993,0.484,0.205,0.256,0.282,0.336
0.85,72.1,0.1,1.103,0.54,0.166,0.328,0.383,0.435,0.994,0.484,0.204,0.257,0.285,0.337
0.84,71.8,0.09,1.098,0.539,0.167,0.325,0.38,0.433,0.995,0.485,0.204,0.258,0.285,0.339
0.83,71.6,0.09,1.096,0.538,0.167,0.323,0.378,0.431,0.998,0.486,0.204,0.261,0.287,0.34
0.82,71.5,0.08,1.094,0.538,0.168,0.321,0.377,0.427,0.999,0.488,0.203,0.262,0.29,0.341
0.81,71.5,0.08,1.092,0.537,0.168,0.32,0.375,0.425,1,0.488,0.203,0.263,0.292,0.342
0.8,71.4,0.08,1.092,0.535,0.169,0.319,0.373,0.421,1.002,0.49,0.202,0.264,0.293,0.342
0.79,71.4,0.08,1.09,0.534,0.17,0.318,0.37,0.417,1.003,0.49,0.201,0.265,0.294,0.343
0.78,71.2,0.07,1.088,0.532,0.17,0.317,0.368,0.414,1.004,0.491,0.2,0.266,0.296,0.344
0.77,71.2,0.07,1.085,0.531,0.171,0.316,0.366,0.413,1.006,0.492,0.199,0.267,0.297,0.346
0.76,71.2,0.07,1.084,0.53,0.171,0.314,0.365,0.41,1.008,0.492,0.198,0.268,0.298,0.348
0.75,71.1,0.06,1.082,0.529,0.172,0.313,0.365,0.408,1.009,0.492,0.198,0.269,0.299,0.349
0.74,71,0.06,1.08,0.528,0.172,0.312,0.363,0.405,1.01,0.493,0.197,0.27,0.3,0.352
0.73,70.9,0.05,1.079,0.527,0.172,0.311,0.361,0.404,1.012,0.494,0.196,0.27,0.301,0.352
0.72,70.8,0.05,1.076,0.527,0.173,0.31,0.359,0.403,1.013,0.494,0.195,0.271,0.302,0.354
0.71,70.6,0.04,1.074,0.526,0.173,0.309,0.358,0.4,1.015,0.496,0.195,0.272,0.303,0.355
0.7,70.5,0.04,1.072,0.525,0.174,0.307,0.356,0.399,1.015,0.496,0.195,0.273,0.305,0.355
0.69,70.4,0.04,1.067,0.523,0.174,0.307,0.355,0.397,1.018,0.497,0.194,0.274,0.306,0.356
0.68,70.4,0.04,1.066,0.522,0.174,0.306,0.354,0.396,1.021,0.497,0.193,0.275,0.308,0.356
0.67,70.3,0.03,1.065,0.521,0.175,0.305,0.353,0.394,1.021,0.498,0.193,0.275,0.308,0.357
0.66,70.3,0.03,1.064,0.521,0.175,0.303,0.352,0.393,1.022,0.499,0.192,0.276,0.311,0.359
0.65,70.2,0.03,1.063,0.52,0.176,0.303,0.351,0.392,1.024,0.499,0.191,0.276,0.312,0.36
0.64,70.2,0.03,1.059,0.52,0.176,0.302,0.351,0.391,1.024,0.5,0.191,0.277,0.314,0.361
0.63,70.1,0.02,1.056,0.518,0.177,0.3,0.348,0.391,1.025,0.5,0.19,0.277,0.316,0.363
0.62,70,0.02,1.055,0.518,0.178,0.299,0.346,0.389,1.026,0.501,0.19,0.278,0.317,0.365
0.61,70,0.02,1.052,0.517,0.178,0.297,0.346,0.387,1.027,0.501,0.189,0.279,0.318,0.365
0.6,69.9,0.02,1.052,0.516,0.179,0.295,0.345,0.384,1.028,0.502,0.189,0.28,0.319,0.366
0.59,69.9,0.01,1.051,0.516,0.179,0.294,0.344,0.383,1.029,0.503,0.188,0.28,0.321,0.367
0.58,69.8,0.01,1.049,0.515,0.181,0.294,0.342,0.381,1.03,0.504,0.188,0.281,0.322,0.368
0.57,69.8,0.01,1.048,0.514,0.181,0.294,0.341,0.378,1.031,0.505,0.187,0.282,0.323,0.369
0.56,69.7,0.01,1.048,0.514,0.181,0.293,0.341,0.377,1.032,0.505,0.187,0.282,0.324,0.369
0.55,69.7,0.01,1.044,0.512,0.182,0.293,0.338,0.375,1.033,0.505,0.187,0.283,0.325,0.37
0.54,69.6,0,1.042,0.511,0.182,0.292,0.338,0.373,1.035,0.506,0.186,0.284,0.326,0.371
0.53,69.6,0,1.041,0.51,0.183,0.29,0.337,0.373,1.036,0.507,0.185,0.285,0.328,0.372
0.52,69.5,0,1.04,0.51,0.183,0.289,0.335,0.372,1.037,0.508,0.185,0.286,0.33,0.372
0.51,69.5,0,1.039,0.509,0.184,0.288,0.334,0.371,1.038,0.508,0.184,0.286,0.332,0.373
0.5,69.4,0,1.037,0.508,0.185,0.287,0.333,0.368,1.039,0.509,0.184,0.287,0.333,0.373
0.49,69.3,-0.01,1.036,0.507,0.185,0.287,0.332,0.367,1.04,0.51,0.183,0.288,0.334,0.374
0.48,69.3,-0.01,1.035,0.506,0.186,0.285,0.331,0.366,1.041,0.51,0.182,0.289,0.335,0.375
0.47,69.2,-0.01,1.034,0.505,0.186,0.285,0.331,0.365,1.042,0.511,0.182,0.289,0.336,0.376
0.46,69.2,-0.01,1.033,0.504,0.187,0.283,0.33,0.364,1.043,0.511,0.182,0.289,0.337,0.376
0.45,69.1,-0.01,1.031,0.504,0.187,0.283,0.328,0.363,1.045,0.512,0.181,0.29,0.338,0.377
0.44,69.1,-0.01,1.03,0.503,0.187,0.281,0.327,0.362,1.046,0.513,0.181,0.29,0.339,0.378
0.43,69,-0.02,1.029,0.501,0.187,0.28,0.326,0.362,1.048,0.514,0.18,0.291,0.34,0.38
0.42,68.9,-0.02,1.028,0.499,0.188,0.279,0.324,0.361,1.049,0.514,0.18,0.293,0.342,0.381
0.41,68.8,-0.02,1.026,0.499,0.188,0.278,0.324,0.36,1.051,0.515,0.179,0.293,0.344,0.381
0.4,68.7,-0.02,1.025,0.498,0.188,0.276,0.322,0.359,1.052,0.515,0.179,0.294,0.345,0.382
0.39,68.6,-0.03,1.024,0.498,0.189,0.276,0.321,0.358,1.054,0.516,0.178,0.295,0.346,0.384
0.38,68.5,-0.03,1.024,0.497,0.189,0.274,0.32,0.357,1.055,0.516,0.178,0.296,0.351,0.385
0.37,68.4,-0.03,1.023,0.496,0.191,0.273,0.319,0.356,1.057,0.517,0.177,0.297,0.352,0.386
0.36,68.3,-0.03,1.02,0.495,0.191,0.271,0.318,0.354,1.057,0.518,0.176,0.297,0.352,0.386
0.35,68.3,-0.03,1.019,0.495,0.191,0.271,0.317,0.354,1.059,0.519,0.176,0.298,0.355,0.387
0.34,68.2,-0.04,1.018,0.494,0.192,0.27,0.315,0.352,1.06,0.52,0.175,0.299,0.358,0.39
0.33,68.1,-0.04,1.015,0.493,0.192,0.27,0.314,0.352,1.062,0.52,0.174,0.3,0.361,0.392
0.32,68,-0.04,1.011,0.493,0.192,0.268,0.313,0.351,1.063,0.522,0.174,0.3,0.362,0.393
0.31,67.9,-0.05,1.01,0.492,0.193,0.267,0.312,0.35,1.067,0.523,0.174,0.301,0.365,0.394
0.3,67.9,-0.05,1.008,0.491,0.194,0.265,0.31,0.349,1.069,0.523,0.173,0.304,0.366,0.394
